source_id,paper_title,local_relpath,response_type,source_match_status,figure_or_table_label,page,panel_label,extraction_provenance,qa_status,Author,Year,Species,Outcome_Type,Control_Mean,Control_Var,Wounded_Mean,Wounded_Var,Var_Type,Sample_Size,Stressor,Notes
2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Hall,1998,Acropora hyacinthus,Egg Number/Polyp,6.2,0.08,5.1,0.07,SE,57,Experimental Wounding,Sampled near vs away from injury
2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Hall,1998,Acropora gemmifera,Egg Number/Polyp,6.0,0.08,5.0,0.06,SE,57,Experimental Wounding,Sampled near vs away from injury
a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Oren,2001,Favia favus,Oocytes/Septum,14.5,2.5,0.9,1.1,SD,18,Monthly Repeated Lesion,Large E-10 lesions at 1cm distance
2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Van Veghel,1994,Montastraea annularis (Bumpy),Eggs/Polyp,69.9,46,35.0,40,SD,225,Natural/Regenerating Lesion,Control sampled >20cm away
2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Van Veghel,1994,Montastraea annularis (Massive),Eggs/Polyp,29.2,37,7.6,15,SD,261,Natural/Regenerating Lesion,Significant reduction in fecundity
6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Ward,1995,Pocillopora damicornis,Reproductive Potential (IRP),43.94,4.57,59.58,4.55,SE,36,Experimental Fragmentation,Counter-intuitive increase in fecundity
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Soong,1992,Siderastrea radians,Eggs/20 mesenteries,13.0,0,6.0,0,None,29,Experimental Artificial Margin,Paired comparison within colony
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Lirman,2000,Acropora palmata,% Colonies with Gametes,80,0,0,0,None,10,Natural Hurricane Damage,Comparison of undamaged vs damaged colonies
fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,reproduction,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rotjan,2009,Montastraea annularis,Egg Area (mm2),0.055,0.005,0.049,0.006,SE,24,Parrotfish Grazing,Sampled adjacent to scars
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Cameron,2014,Porites spp. (massive),Growth (mg cm-2 d-1),2.83,0.15,1.72,0.12,SE,8,Excavated Damage,Significant growth reduction
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Cameron,2014,Pocillopora meandrina,Growth (mg cm-2 d-1),2.15,0.09,0.99,0.08,SE,8,Excavated Damage,54% reduction in growth
