candidate_id,source_id,response_type,paper_title,local_relpath,covariate,tier,domain,recommended_grain,evidence_source,candidate_rank,candidate_text,existing_value,target_status,needs_pdf_verification
cand_000001,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,initial_wound_area_mm2,1,wound_geometry,treatment_or_observation,pdf_text_regex,1,ImageJ to quantify wound area and signs of healing.,"22, 95",existing_source_covariate,1
cand_000002,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,initial_wound_area_mm2,1,wound_geometry,treatment_or_observation,pdf_text_regex,2,"area minus wound surface area (i.e., the area of coral tissue removed or damaged by the","22, 95",existing_source_covariate,1
cand_000003,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,initial_wound_area_mm2,1,wound_geometry,treatment_or_observation,pdf_text_regex,3,"was 1.07 ± 0.04 cm-2, with a resulting wound area of only 0.22 ± 0.02 cm-2.","22, 95",existing_source_covariate,1
cand_000004,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,injury_mechanism_standard,1,wound_design,treatment,pdf_text_regex,1,however tissue regeneration was faster in abraded corals.,"tapered micro spatula tool, Gryphon Diamond Blade Saw",existing_source_covariate,1
cand_000005,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,injury_mechanism_standard,1,wound_design,treatment,pdf_text_regex,2,"known to rapidly regrow fragmented branches (Bak, 1983) as well as the “Phoenix effect”","tapered micro spatula tool, Gryphon Diamond Blade Saw",existing_source_covariate,1
cand_000006,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,injury_mechanism_standard,1,wound_design,treatment,pdf_text_regex,3,"allow for more rapid healing of damaged tissue (the phoenix effect), with more abraded","tapered micro spatula tool, Gryphon Diamond Blade Saw",existing_source_covariate,1
cand_000007,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,tissue_skeleton_involvement,1,wound_design,treatment,pdf_text_regex,1,"tissue and skeleton following various disturbances such as predation (Rotjan and Lewis, 2008),",fragmentation,existing_model_covariate,1
cand_000008,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,temperature_c,1,environment,treatment_or_source,pdf_text_regex,1,Oxygen concentration ([O2]) and temperature were recorded within each,27.9,existing_source_covariate,1
cand_000009,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,temperature_c,1,environment,treatment_or_source,pdf_text_regex,2,Daily average temperatures ranged from 27.12 to 28.31°C and 28.74 to,27.9,existing_source_covariate,1
cand_000010,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,temperature_regime,1,environment,treatment_or_source,pdf_text_regex,1,"picture, with the impacts of elevated temperature on healing and associated costs varying",29.5,existing_source_covariate,1
cand_000011,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,temperature_regime,1,environment,treatment_or_source,pdf_text_regex,2,"genus Pocillopora, elevated temperatures, within certain limits, might actually enhance or",29.5,existing_source_covariate,1
cand_000012,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,temperature_regime,1,environment,treatment_or_source,pdf_text_regex,3,Seawater was heated in the elevated temperature sump with a Finnex TH Deluxe,29.5,existing_source_covariate,1
cand_000013,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,colony_size_value,1,intrinsic_state,observation_or_treatment,pdf_text_regex,1,"respect to colony size, competition for space (Highsmith, 1982), and disease susceptibility",,pdf_text_candidate,1
cand_000014,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,colony_size_value,1,intrinsic_state,observation_or_treatment,pdf_text_regex,2,"colonization, colony size, lesion size, and lesion shape.",,pdf_text_candidate,1
cand_000015,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,timepoint_days,1,response_timing,observation,pdf_text_regex,1,"1) , middle (day 10), and end (day 19) of the experiment, I documented regeneration (healing)",,pdf_text_candidate,1
cand_000016,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,timepoint_days,1,response_timing,observation,pdf_text_regex,2,"(day 0, 10, 19) with an Underwater Fluorometer Diving-PAM (Heinz Walz GmbH, Germany).",,pdf_text_candidate,1
cand_000017,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,timepoint_days,1,response_timing,observation,pdf_text_regex,3,"show stages of wound regeneration at the beginning (day 1), middle (day 10), and end (day",,pdf_text_candidate,1
cand_000018,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,sample_size,1,study_design,observation_or_treatment,pdf_text_regex,1,"Each coral aquaria (20 L, N=6) exchanged filtered seawater (200",108,existing_source_covariate,1
cand_000019,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,sample_size,1,study_design,observation_or_treatment,pdf_text_regex,2,Each coral fragment (N=108) was randomly assigned to one of three groups to run 12,108,existing_source_covariate,1
