source_id,response_type,paper_title,local_relpath,covariate,tier,domain,recommended_grain,expected_accessibility,current_schema_status,target_status,existing_value,existing_source,pdf_candidate_count,needs_pdf_verification,needs_notebooklm_check,notes
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,taxon_raw,1,taxonomy,observation_or_treatment,high,present_as_species,existing_source_covariate,Acropora pulchra,notebook_covariates/notebook_covariates_primary_geoaugmented.csv,0,1,1,Keep verbatim taxon string before canonicalization.
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,taxon_canonical,1,taxonomy,observation_or_treatment,high,absent,not_extracted,,,0,0,1,Needed as the join key for taxon traits.
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,initial_wound_area_mm2,1,wound_geometry,treatment_or_observation,high,present_as_area_mm2_source_level,existing_source_covariate,"22, 95",notebook_covariates/notebook_covariates_primary_geoaugmented.csv,3,1,1,Move from source-level multi-value text to treatment/observation rows.
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,injury_mechanism_standard,1,wound_design,treatment,high,present_as_lesion_method_source_level,existing_source_covariate,"tapered micro spatula tool, Gryphon Diamond Blade Saw",notebook_covariates/notebook_covariates_primary_geoaugmented.csv,3,1,1,Standardize Dremel/chisel/pliers/Waterpik/bone-cutter/natural scar.
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,tissue_skeleton_involvement,1,wound_design,treatment,high,present_as_lesion_type_source_level,existing_model_covariate,fragmentation,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,1,1,"Distinguish tissue-only, tissue+skeleton, fragmentation, partial mortality."
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,temperature_c,1,environment,treatment_or_source,high,present_source_level,existing_source_covariate,27.9,notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,1,1,Separate static lab treatments from field temperatures and seasonal ranges.
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,temperature_regime,1,environment,treatment_or_source,high,partial_in_temp_manip,existing_source_covariate,29.5,notebook_covariates/notebook_covariates_primary_geoaugmented.csv,3,1,1,Needed for warming/bleaching studies.
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,colony_size_value,1,intrinsic_state,observation_or_treatment,high,present_as_colony_size_cm_source_level,pdf_text_candidate,,,2,1,1,Do not force all metrics into cm without preserving metric type.
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,colony_size_metric,1,intrinsic_state,observation_or_treatment,high,absent,not_extracted,,,0,0,1,"Diameter, area, volume, buoyant mass, fragment length, nubbin height."
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,monitoring_duration_days,1,study_design,source_or_treatment,high,absent,not_extracted,,,0,0,1,Required for initial/final and rate conversions.
