normalized_row_id,source_table,source_row,source_id,paper_title,local_relpath,response_type,taxon_raw,outcome_type,treatment_or_stressor,response_value,response_unit,control_value,wounded_value,variance_type,variance_value,sample_size,duration_days,figure_or_table_label,page,panel_label,qa_status,notes
EXTRACTION_RATES-2,data/extraction/EXTRACTION_RATES.csv,2,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,Acropora palmata,,None,-0.048,Exponential Slope (k),,,None,0,32,,,,,needs_source_provenance_review,Standard 1cm2 lesion
EXTRACTION_RATES-3,data/extraction/EXTRACTION_RATES.csv,3,09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,rate,Porites lutea,,Seasonal Variation,13.0,mm2 d-1,,,SD,7.0,170,,,,,needs_source_provenance_review,Initial rate range 6-20
EXTRACTION_RATES-4,data/extraction/EXTRACTION_RATES.csv,4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,rate,Favia favus,,Lesion Shape,4.7,mm2 d-1,,,SD,3.1,46,,,,,needs_source_provenance_review,Range 1.6 - 7.8
EXTRACTION_RATES-5,data/extraction/EXTRACTION_RATES.csv,5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,rate,Montastraea annularis,,Lesion Size,-0.076,Exponential Slope (k),,,95% CL,0.01,25,,,,,needs_source_provenance_review,Steepest slope in smallest lesions
EXTRACTION_RATES-6,data/extraction/EXTRACTION_RATES.csv,6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,Porites lutea,,Light Intensity,0.11,mm d-1,,,SD,0.05,5,,,,,needs_source_provenance_review,Tissue spreading rate
EXTRACTION_RATES-7,data/extraction/EXTRACTION_RATES.csv,7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,rate,Montastraea cavernosa,,None,2.8,mm2 d-1,,,SE,0.002,30,,,,,needs_source_provenance_review,Modeled closure rate
EXTRACTION_RATES-8,data/extraction/EXTRACTION_RATES.csv,8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,Acropora hyacinthus,,Injury Type,3.1,% d-1,,,SE,0.13,60,,,,,needs_source_provenance_review,Scraping healed fastest
EXTRACTION_FITNESS-2,data/extraction/EXTRACTION_FITNESS.csv,2,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,Acropora hyacinthus,Egg Number/Polyp,Experimental Wounding,,,6.2,5.1,SE,,57,,,,,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS-3,data/extraction/EXTRACTION_FITNESS.csv,3,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,Acropora gemmifera,Egg Number/Polyp,Experimental Wounding,,,6.0,5.0,SE,,57,,,,,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS-4,data/extraction/EXTRACTION_FITNESS.csv,4,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,reproduction,Favia favus,Oocytes/Septum,Monthly Repeated Lesion,,,14.5,0.9,SD,,18,,,,,needs_source_provenance_review,Large E-10 lesions at 1cm distance
EXTRACTION_FITNESS-5,data/extraction/EXTRACTION_FITNESS.csv,5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,Montastraea annularis (Bumpy),Eggs/Polyp,Natural/Regenerating Lesion,,,69.9,35.0,SD,,225,,,,,needs_source_provenance_review,Control sampled >20cm away
EXTRACTION_FITNESS-6,data/extraction/EXTRACTION_FITNESS.csv,6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,Montastraea annularis (Massive),Eggs/Polyp,Natural/Regenerating Lesion,,,29.2,7.6,SD,,261,,,,,needs_source_provenance_review,Significant reduction in fecundity
EXTRACTION_FITNESS-7,data/extraction/EXTRACTION_FITNESS.csv,7,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",reproduction,Pocillopora damicornis,Reproductive Potential (IRP),Experimental Fragmentation,,,43.94,59.58,SE,,36,,,,,needs_source_provenance_review,Counter-intuitive increase in fecundity
EXTRACTION_FITNESS-8,data/extraction/EXTRACTION_FITNESS.csv,8,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,Siderastrea radians,Eggs/20 mesenteries,Experimental Artificial Margin,,,13.0,6.0,None,,29,,,,,needs_source_provenance_review,Paired comparison within colony
EXTRACTION_FITNESS-9,data/extraction/EXTRACTION_FITNESS.csv,9,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",reproduction,Acropora palmata,% Colonies with Gametes,Natural Hurricane Damage,,,80,0,None,,10,,,,,needs_source_provenance_review,Comparison of undamaged vs damaged colonies
EXTRACTION_FITNESS-10,data/extraction/EXTRACTION_FITNESS.csv,10,fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,reproduction,Montastraea annularis,Egg Area (mm2),Parrotfish Grazing,,,0.055,0.049,SE,,24,,,,,needs_source_provenance_review,Sampled adjacent to scars
EXTRACTION_FITNESS-11,data/extraction/EXTRACTION_FITNESS.csv,11,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,Porites spp. (massive),Growth (mg cm-2 d-1),Excavated Damage,,,2.83,1.72,SE,,8,,,,,needs_source_provenance_review,Significant growth reduction
EXTRACTION_FITNESS-12,data/extraction/EXTRACTION_FITNESS.csv,12,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,Pocillopora meandrina,Growth (mg cm-2 d-1),Excavated Damage,,,2.15,0.99,SE,,8,,,,,needs_source_provenance_review,54% reduction in growth
EXTRACTION_FITNESS-13,data/extraction/EXTRACTION_FITNESS.csv,13,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,growth,Porites spp. (massive),Growth (mg cm-2 d-1),Wounding (26.7C),,,1.39,1.74,SE,,10,,,,,needs_source_provenance_review,Compensatory growth observed
EXTRACTION_FITNESS-14,data/extraction/EXTRACTION_FITNESS.csv,14,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,growth,Porites spp. (massive),Growth (mg cm-2 d-1),Wounding (29.6C),,,1.58,1.18,SE,,10,,,,,needs_source_provenance_review,Growth inhibition at high temp
