source_id,paper_title,local_relpath,response_types,response_count,workplan_response_rows,source_file_status,pdf_read_status,pdf_page_count,pdf_text_chars,pdf_text_sha256,notebook_present,local_present,extraction_readiness
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,rate|survival,2,2,available,read_cached,14,96350,985079be5784f59425e88d9a55fd59a7a8397c899b38f3fb37596f6aeacb5157,1,1,needs_digitization
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,1,1,available,read_cached,11,34648,961ab686833b1ac298860283fb339e9080b2498006caf132addbd447746df730,1,1,needs_digitization
04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,1,1,available,read_cached,7,42289,9868f09918c363438c2aede18484964b21880ce2965bdfd678b84a39fb9b5f9b,1,1,needs_digitization
06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,growth|survival,2,2,available,read_cached,9,42410,f35293fa33df7c43e8479e882564810626f9390e216dbc111cd222de99c3ab2b,1,1,needs_digitization
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,literature/META_ANALYSIS_POOL/Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,1,1,available,read_cached,2,22792,cd510a3e280d3c4d842357d18596a5d575c00414cef499819b90ee8c17ba2d13,1,1,needs_digitization
09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,rate,1,1,available,read_cached,13,67871,edd2dd37647b500cb2de2e9e7c7e49acdf0d8d20fc5e0233e029589739f9ba4f,1,1,ready_extract
0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,rate,1,1,available,read_cached,25,126454,01eaa144ff494979a3c037c5bb27314794f8f5588392dbe4938568fdf6da60f8,1,1,needs_digitization
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,rate|survival,2,2,available,read_cached,21,86256,a7dd713768be6a4eea73d71db42d7658d9840e40e525e7a8ad9f1ef1e54c6046,1,1,ready_extract
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate|survival,2,2,available,read_cached,5,20454,9682611ae71814beccc74a3f005c165d8db61385829c1f40687acf8ea48106b9,1,1,needs_digitization
1d237b2c-1d5d-479a-985a-bde3d28a4fce,Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,literature/META_ANALYSIS_POOL/Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,growth|survival,2,2,available,read_cached,8,48661,314d1f6e08b957b678109177a3ecfc8ee34b1774cbeb0d185103f3b919381ed7,1,1,needs_digitization
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,rate,1,1,available,read_cached,9,52713,42e573a2e5744cd7f39269872c5575eedb4f6fb929a3b6774a8319eb58bdd1ab,1,1,ready_extract
2059b598-335f-4890-8512-6e1f86fed557,Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,literature/META_ANALYSIS_POOL/Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,rate,1,1,available,read_cached,8,68432,c4fb2f8d5626f2a4c78e699e8bfa6d64fa0b3e37e9b0552354c3af97b8b4fae0,1,1,needs_digitization
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth|rate,2,2,available,read_cached,10,54988,74acc22913893c01cc7c136bd0d5ebbc27cced977dfcd123a09bf33f0574127d,1,1,ready_extract
26d408bb-bf97-4b1a-8b59-a62f74d3d475,Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,literature/META_ANALYSIS_POOL/Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,rate,1,1,available,read_cached,8,37657,28875897220487c2d3239c7c424d998c304e188e3f8c04b355df43351b0a51ef,1,1,needs_digitization
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf","literature/META_ANALYSIS_POOL/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",rate,1,1,available,read_cached,10,85639,2e8549d2a97ed88267c562b1fd1d2aa23fb5f0dcca659591405d6018c1926e2f,1,1,needs_digitization
292bbd72-e4b1-422c-8fbb-5b3201d2cd0c,Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,literature/META_ANALYSIS_POOL/Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,rate,1,1,available,read_cached,6,34813,190b214fd3729b6b4d1367217d0c934ef86eaa738ab68341208a08e72de801b7,1,1,needs_digitization
2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,growth|rate|reproduction,3,3,available,read_cached,136,284330,e6f4ee22b3be609d6d2b438d4466f1a65016b6674d20cf6b2adbc0115ff84b9f,1,1,needs_digitization
2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,growth|rate,2,2,available,read_cached,7,67724,06372914131896c48db5a4411ecad7526f95b38c622f038001a6e74c6941356d,1,1,ready_extract
2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,1,1,available,read_cached,6,28177,ef9edd485a2d3130da0bdaea58414f3a8c9fe4d45fc40da7960abd2264e2ec09,1,1,needs_digitization
32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,literature/META_ANALYSIS_POOL/Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,survival,1,1,available,read_cached,6,41416,e7034de47ca5932a135e61bdeaad90a32efb2b0bbd35d5ca418ebdca15e2687e,1,1,needs_digitization
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,1,1,available,read_cached,7,58924,06915e9c23f23da9f7954054c253f1ccafa2228a742f57a00d9a4c3afd67e9d9,1,1,needs_digitization
33d2bc0d-ec51-4225-a216-bf74b34fa89d,Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,literature/META_ANALYSIS_POOL/Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,survival,1,1,available,read_cached,9,48337,347cc9d3bd360b599dbedf6d2c91c4fbe8c96e74447bc41e5430015564050be7,1,1,needs_digitization
347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,1,1,available,read_cached,11,66107,8a7c3c6f895e91094e0aecff2df6270978df6d844afacb89765672e7c53e2de6,1,1,needs_digitization
348d7203-b68d-472c-89da-e3e6704b2f50,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,literature/META_ANALYSIS_POOL/Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,rate,1,1,available,read_cached,7,34306,55c141a004792016fc84a8f8c3e6991395906b20a8c52f99bae934737bee47e0,1,1,ready_extract
3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",rate,1,1,available,read_cached,7,41726,5b4f0fdbfcd72d4bd6a1600d86c895bd3fd5835946e01bf07391aed417555c58,1,1,ready_extract
398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,survival,1,1,available,read_cached,15,65048,5b526ef1aa24d29ea3a91772ed4d604b9d56f9ed3f1d1c622f0676574c70406d,1,1,needs_digitization
3a3fb59c-a303-49f1-aa80-21ffe7d182cf,Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,literature/META_ANALYSIS_POOL/Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,growth|rate|survival,3,3,available,read_cached,19,71684,4bc321567ad452b1d590ccf24e6f401518858318c5ff04bf9887afc681ee0275,1,1,ready_extract
3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",growth|rate|survival,3,3,available,read_cached,12,95228,7e65b16b532784cbb3dccf90c3b25dda0e9a125cd73015a9a3956528b2e0fa44,1,1,needs_digitization
3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,growth|survival,2,2,available,read_cached,12,72446,ae0d82568356dbfa9b9dd95dc70705e2a6712e0d0dbe33387ed67d8eb0bd7a38,1,1,needs_digitization
40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,growth|rate,2,2,available,read_cached,13,81084,b39825c2fb221422d12a66fdbd7d251351f75c2cc934e4da55a2bbea91c2e6c6,1,1,needs_digitization
45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,growth|survival,2,2,available,read_cached,8,41412,1be8ca5c811404bea28b23b80a9301447fd7fc0af3c2851f1c7159dbc7641718,1,1,needs_digitization
4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,growth|rate,2,2,available,read_cached,5,27572,e08b447d7956b27ca9ba18c38f6d9a6c43de511ab4c70d6f093b38d19fb4076b,1,1,needs_digitization
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,growth|rate,2,2,available,read_cached,7,51011,9a36d0b637e24c18be7e4cb9f9545f5c07f4c63fb8d9cbcfa88275be02b549c7,1,1,ready_extract
58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf","literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",growth|rate,2,2,available,read_cached,12,84549,19474eb33005171d39d032c8379a90e7b8025a6fa55b5d8aaa7990707793b5e1,1,1,needs_digitization
5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,literature/META_ANALYSIS_POOL/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,rate,1,1,available,read_cached,11,63114,db9b204420f950d7ce8a3052fb6e12950b6a23a45dcae9c3efe80db78bd4893b,1,1,needs_digitization
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,1,1,available,read_cached,14,100664,fa6d956d18a7e5fe1197b6ae0e0f321190effa397468056eaf070b4a2b0b83fd,1,1,needs_digitization
65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,rate,1,1,available,read_cached,17,115600,0f57a3cd1aef4b6bdac7eebdb72aa84158a186486c60afa4207c7734b894eb83,1,1,ready_extract
6a14a9e9-da4e-425f-bf9d-59fa573487e1,"Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf","literature/META_ANALYSIS_POOL/Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf",growth|rate|survival,3,3,available,read_cached,11,69709,17786f79466f3733cfca89de5253cc5ed6b282572e06abba10df03d78beb36c7,1,1,ready_extract
6b96575e-9bf7-46f2-a12e-73b565f46629,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,literature/META_ANALYSIS_POOL/Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,rate|survival,2,2,available,read_cached,10,66015,b1cd23c61000d9ba9b49553e4b013f8f243a146b381a21fb0b24e493a2c65c97,1,1,ready_extract
6da70b1c-7428-4a76-904c-b69d981f2824,Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,literature/META_ANALYSIS_POOL/Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,rate,1,1,available,read_cached,12,101956,aacd7bbd2b944288f612b1f2d0fbfc7925e801e72314cdd1d834fc526988a7e2,1,1,needs_digitization
6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",growth|reproduction|survival,3,3,available,read_cached,14,41056,060753e0d43431a0de4270dc8c6f175b6a58af4060f747197797a55562470604,1,1,needs_digitization
6f750c49-3261-482c-ade2-373835f7cf40,Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,literature/META_ANALYSIS_POOL/Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,rate,1,1,available,read_cached,8,55161,85920fa2b5878fe15c3e8aba70617238c5b897d49b390cdfcda0c5854dafcc76,1,1,needs_digitization
84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,rate,1,1,available,read_cached,8,41051,3d0adf6d0b1d452569bbf53286c7e55609f8d4ddb69d427d9145df906e1c1ad9,1,1,needs_digitization
8c205a55-4093-46c5-a7c2-e356c8bf6a7c,Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,literature/META_ANALYSIS_POOL/Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,rate,1,1,available,read_cached,5,31291,1c39dd86f40f57c460cbb061fd52540ade1601b9d01894549f8dec3876fddf27,1,1,needs_digitization
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",growth|rate,2,2,available,read_cached,13,76481,268d83944c91135ddec552c7c20c318b243d9ca5ae9e4f7d287ba364f53d84e1,1,1,ready_extract
