normalized_row_id,source_table,source_row,source_id,response_type,paper_title,local_relpath,analysis_ready,readiness_status,blocking_issue_count,blocking_issues,warning_issues,next_action,taxon_raw,outcome_type,treatment_or_stressor,response_value,response_unit,rate_value,rate_unit,rate_derivation_basis,observation_type,control_value,wounded_value,variance_type,variance_value,sample_size,duration_days,timepoint_or_interval,figure_or_table_label,page,panel_label,qa_status,evidence_key,extraction_provenance,calculation_notes,value_data_file,matched_crop_count,matched_crop_paths,matched_crop_review_statuses,matched_final_clip_paths,matched_digitized_data_paths,concrete_digitized_data_files,concrete_final_clip_files
EXTRACTION_RATES-2,data/extraction/EXTRACTION_RATES.csv,2,dde85c3e-6c0d-4057-9a5a-116138865992,rate,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",0,blocked,5,variance_missing|time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora palmata,,None,-0.048,Exponential Slope (k),-0.048,Exponential Slope (k),,,,,None,0,32,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Standard 1cm2 lesion,data/extraction/EXTRACTION_RATES.csv,0,,,,,,
EXTRACTION_RATES-3,data/extraction/EXTRACTION_RATES.csv,3,09f69156-3ca0-4bf2-98e2-fe2b25612587,rate,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites lutea,,Seasonal Variation,13.0,mm2 d-1,13.0,mm2 d-1,,,,,SD,7.0,170,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Initial rate range 6-20,data/extraction/EXTRACTION_RATES.csv,0,,,,,,
EXTRACTION_RATES-4,data/extraction/EXTRACTION_RATES.csv,4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,rate,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Favia favus,,Lesion Shape,4.7,mm2 d-1,4.7,mm2 d-1,,,,,SD,3.1,46,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Range 1.6 - 7.8,data/extraction/EXTRACTION_RATES.csv,0,,,,,,
EXTRACTION_RATES-5,data/extraction/EXTRACTION_RATES.csv,5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,rate,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Montastraea annularis,,Lesion Size,-0.076,Exponential Slope (k),-0.076,Exponential Slope (k),,,,,95% CL,0.01,25,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Steepest slope in smallest lesions,data/extraction/EXTRACTION_RATES.csv,0,,,,,,
EXTRACTION_RATES-6,data/extraction/EXTRACTION_RATES.csv,6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,rate,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites lutea,,Light Intensity,0.11,mm d-1,0.11,mm d-1,,,,,SD,0.05,5,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Tissue spreading rate,data/extraction/EXTRACTION_RATES.csv,0,,,,,,
EXTRACTION_RATES-7,data/extraction/EXTRACTION_RATES.csv,7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,rate,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Montastraea cavernosa,,None,2.8,mm2 d-1,2.8,mm2 d-1,,,,,SE,0.002,30,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Modeled closure rate,data/extraction/EXTRACTION_RATES.csv,0,,,,,,
EXTRACTION_RATES-8,data/extraction/EXTRACTION_RATES.csv,8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,rate,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora hyacinthus,,Injury Type,3.1,% d-1,3.1,% d-1,,,,,SE,0.13,60,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Scraping healed fastest,data/extraction/EXTRACTION_RATES.csv,0,,,,,,
EXTRACTION_FITNESS-2,data/extraction/EXTRACTION_FITNESS.csv,2,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora hyacinthus,Egg Number/Polyp,Experimental Wounding,,,,,,Egg Number/Polyp,6.2,5.1,SE,,57,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Sampled near vs away from injury,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-3,data/extraction/EXTRACTION_FITNESS.csv,3,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora gemmifera,Egg Number/Polyp,Experimental Wounding,,,,,,Egg Number/Polyp,6.0,5.0,SE,,57,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Sampled near vs away from injury,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-4,data/extraction/EXTRACTION_FITNESS.csv,4,a3b88246-eb7f-49ed-a997-67c6d36e9413,reproduction,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Favia favus,Oocytes/Septum,Monthly Repeated Lesion,,,,,,Oocytes/Septum,14.5,0.9,SD,,18,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Large E-10 lesions at 1cm distance,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
