severity,issue_id,normalized_row_id,source_id,response_type,source_table,source_row,message,expected,observed
blocker,variance_missing,EXTRACTION_RATES-2,dde85c3e-6c0d-4057-9a5a-116138865992,rate,data/extraction/EXTRACTION_RATES.csv,2,Extracted row lacks variance or raw-count information.,,
blocker,time_or_duration_missing,EXTRACTION_RATES-2,dde85c3e-6c0d-4057-9a5a-116138865992,rate,data/extraction/EXTRACTION_RATES.csv,2,"Extracted row has no timepoint, interval, or duration.",,
blocker,source_provenance_missing,EXTRACTION_RATES-2,dde85c3e-6c0d-4057-9a5a-116138865992,rate,data/extraction/EXTRACTION_RATES.csv,2,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_RATES-2,dde85c3e-6c0d-4057-9a5a-116138865992,rate,data/extraction/EXTRACTION_RATES.csv,2,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_RATES-2,dde85c3e-6c0d-4057-9a5a-116138865992,rate,data/extraction/EXTRACTION_RATES.csv,2,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,time_or_duration_missing,EXTRACTION_RATES-3,09f69156-3ca0-4bf2-98e2-fe2b25612587,rate,data/extraction/EXTRACTION_RATES.csv,3,"Extracted row has no timepoint, interval, or duration.",,
blocker,source_provenance_missing,EXTRACTION_RATES-3,09f69156-3ca0-4bf2-98e2-fe2b25612587,rate,data/extraction/EXTRACTION_RATES.csv,3,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_RATES-3,09f69156-3ca0-4bf2-98e2-fe2b25612587,rate,data/extraction/EXTRACTION_RATES.csv,3,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_RATES-3,09f69156-3ca0-4bf2-98e2-fe2b25612587,rate,data/extraction/EXTRACTION_RATES.csv,3,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,time_or_duration_missing,EXTRACTION_RATES-4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,rate,data/extraction/EXTRACTION_RATES.csv,4,"Extracted row has no timepoint, interval, or duration.",,
blocker,source_provenance_missing,EXTRACTION_RATES-4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,rate,data/extraction/EXTRACTION_RATES.csv,4,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_RATES-4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,rate,data/extraction/EXTRACTION_RATES.csv,4,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_RATES-4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,rate,data/extraction/EXTRACTION_RATES.csv,4,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,time_or_duration_missing,EXTRACTION_RATES-5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,rate,data/extraction/EXTRACTION_RATES.csv,5,"Extracted row has no timepoint, interval, or duration.",,
blocker,source_provenance_missing,EXTRACTION_RATES-5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,rate,data/extraction/EXTRACTION_RATES.csv,5,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_RATES-5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,rate,data/extraction/EXTRACTION_RATES.csv,5,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_RATES-5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,rate,data/extraction/EXTRACTION_RATES.csv,5,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,time_or_duration_missing,EXTRACTION_RATES-6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,rate,data/extraction/EXTRACTION_RATES.csv,6,"Extracted row has no timepoint, interval, or duration.",,
blocker,source_provenance_missing,EXTRACTION_RATES-6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,rate,data/extraction/EXTRACTION_RATES.csv,6,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_RATES-6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,rate,data/extraction/EXTRACTION_RATES.csv,6,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_RATES-6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,rate,data/extraction/EXTRACTION_RATES.csv,6,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,time_or_duration_missing,EXTRACTION_RATES-7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,rate,data/extraction/EXTRACTION_RATES.csv,7,"Extracted row has no timepoint, interval, or duration.",,
blocker,source_provenance_missing,EXTRACTION_RATES-7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,rate,data/extraction/EXTRACTION_RATES.csv,7,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_RATES-7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,rate,data/extraction/EXTRACTION_RATES.csv,7,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_RATES-7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,rate,data/extraction/EXTRACTION_RATES.csv,7,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,time_or_duration_missing,EXTRACTION_RATES-8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,rate,data/extraction/EXTRACTION_RATES.csv,8,"Extracted row has no timepoint, interval, or duration.",,
blocker,source_provenance_missing,EXTRACTION_RATES-8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,rate,data/extraction/EXTRACTION_RATES.csv,8,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_RATES-8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,rate,data/extraction/EXTRACTION_RATES.csv,8,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_RATES-8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,rate,data/extraction/EXTRACTION_RATES.csv,8,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,source_provenance_missing,EXTRACTION_FITNESS-2,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,data/extraction/EXTRACTION_FITNESS.csv,2,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_FITNESS-2,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,data/extraction/EXTRACTION_FITNESS.csv,2,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_FITNESS-2,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,data/extraction/EXTRACTION_FITNESS.csv,2,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,source_provenance_missing,EXTRACTION_FITNESS-3,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,data/extraction/EXTRACTION_FITNESS.csv,3,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_FITNESS-3,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,data/extraction/EXTRACTION_FITNESS.csv,3,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_FITNESS-3,2b8676ad-34ad-450c-8649-095d5be68458,reproduction,data/extraction/EXTRACTION_FITNESS.csv,3,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,source_provenance_missing,EXTRACTION_FITNESS-4,a3b88246-eb7f-49ed-a997-67c6d36e9413,reproduction,data/extraction/EXTRACTION_FITNESS.csv,4,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_FITNESS-4,a3b88246-eb7f-49ed-a997-67c6d36e9413,reproduction,data/extraction/EXTRACTION_FITNESS.csv,4,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_FITNESS-4,a3b88246-eb7f-49ed-a997-67c6d36e9413,reproduction,data/extraction/EXTRACTION_FITNESS.csv,4,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,source_provenance_missing,EXTRACTION_FITNESS-5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,data/extraction/EXTRACTION_FITNESS.csv,5,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_FITNESS-5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,data/extraction/EXTRACTION_FITNESS.csv,5,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_FITNESS-5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,data/extraction/EXTRACTION_FITNESS.csv,5,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
blocker,source_provenance_missing,EXTRACTION_FITNESS-6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,data/extraction/EXTRACTION_FITNESS.csv,6,Exact figure/table label is missing.,,
blocker,page_missing,EXTRACTION_FITNESS-6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,data/extraction/EXTRACTION_FITNESS.csv,6,PDF page is missing.,,
blocker,qa_status_not_ready,EXTRACTION_FITNESS-6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,data/extraction/EXTRACTION_FITNESS.csv,6,Extracted row has not passed independent QC.,analysis_ready | qc_passed | ready_for_analysis,needs_source_provenance_review
