source_id,response_type,paper_title,local_relpath,priority_rank,extraction_readiness,existing_extraction_rows,analysis_ready_rows,blocking_extraction_rows,crop_proposals,crop_proposals_need_human_qa,concrete_digitized_data_files,pdf_text_candidate_rows,notebooklm_batch_id,notebooklm_validation_status,response_gate_status,next_action,blocking_summary
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,1,ready_extract,0,0,0,0,0,0,57,growth_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,rate,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,1,ready_extract,1,0,1,0,0,0,57,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=1 | figure_digitized_data_missing=1 | figure_final_clip_missing=1 | qa_status_not_ready=1
12939915-cb9c-4190-9682-7477eb8d2698,rate,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,1,ready_extract,4,0,4,0,0,0,46,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=4 | figure_digitized_data_missing=4 | figure_final_clip_missing=4 | qa_status_not_ready=4 | variance_missing=4
12939915-cb9c-4190-9682-7477eb8d2698,survival,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,1,ready_extract,0,0,0,0,0,0,46,survival_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,growth,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",1,ready_extract,0,0,0,0,0,0,67,growth_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,rate,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",1,ready_extract,0,0,0,0,0,0,67,rate_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
26babed0-9e6c-4621-9dca-9253eb39b9fb,growth,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,1,ready_extract,2,0,2,0,0,0,48,growth_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=2 | qa_status_not_ready=2 | source_provenance_missing=2 | time_or_duration_missing=2
26babed0-9e6c-4621-9dca-9253eb39b9fb,rate,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,1,ready_extract,0,0,0,0,0,0,48,rate_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
09f69156-3ca0-4bf2-98e2-fe2b25612587,rate,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,1,ready_extract,1,0,1,0,0,0,45,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | source_provenance_missing=1 | time_or_duration_missing=1
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,growth,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,1,ready_extract,0,0,0,0,0,0,50,growth_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,rate,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,1,ready_extract,4,0,4,0,0,0,50,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=4 | figure_digitized_data_missing=4 | figure_final_clip_missing=4 | qa_status_not_ready=4 | variance_missing=2
b0949a7c-520e-4a37-af04-25979598ec2d,growth,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,1,ready_extract,2,0,2,0,0,0,55,growth_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=2 | qa_status_not_ready=2 | source_provenance_missing=2 | time_or_duration_missing=2
b0949a7c-520e-4a37-af04-25979598ec2d,rate,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,1,ready_extract,1,0,1,0,0,0,55,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=1 | figure_digitized_data_missing=1 | figure_final_clip_missing=1 | qa_status_not_ready=1
2e3b055f-28df-4def-97aa-660ac537a95f,growth,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,1,ready_extract,1,0,1,0,0,0,56,growth_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | source_provenance_missing=1 | time_or_duration_missing=1
2e3b055f-28df-4def-97aa-660ac537a95f,rate,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,1,ready_extract,4,0,4,0,0,0,56,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=4 | figure_digitized_data_missing=4 | figure_final_clip_missing=4 | qa_status_not_ready=4 | variance_missing=2
348d7203-b68d-472c-89da-e3e6704b2f50,rate,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,literature/META_ANALYSIS_POOL/Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,1,ready_extract,3,0,3,0,0,0,33,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",qa_status_not_ready=3
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,rate,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,1,ready_extract,1,0,1,0,0,0,36,rate_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | source_provenance_missing=1 | time_or_duration_missing=1
a1e7fabd-36e1-4556-804c-e6f1a9c17581,rate,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,literature/META_ANALYSIS_POOL/Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,1,ready_extract,6,0,6,0,0,0,49,rate_02,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=6 | figure_digitized_data_missing=6 | figure_final_clip_missing=6 | qa_status_not_ready=6 | sample_size_missing=6
