source_id,paper_title,taxon_raw,taxon_count,taxon_parse_status,genus_candidates,genus,genus_model_status,family_candidates,family,family_model_status,taxonomy_lookup_status,growth_form_raw,growth_form_standard_candidates,growth_form_standard,growth_form_model_status,tissue_type_raw,skeletal_porosity_raw_evidence,skeletal_porosity_candidates,skeletal_porosity,skeletal_porosity_model_status,study_type_raw,field_lab_mesocosm,field_lab_mesocosm_status,depth_min_m,depth_max_m,depth_mid_m,depth_span_m,initial_wound_area_raw,initial_wound_area_min_mm2,initial_wound_area_max_mm2,initial_wound_area_mid_mm2,initial_wound_area_status,wound_perimeter_raw,wound_perimeter_min_mm,wound_perimeter_max_mm,wound_perimeter_mid_mm,wound_perimeter_status,lesion_depth_raw,lesion_depth_min_mm,lesion_depth_max_mm,lesion_depth_mid_mm,lesion_depth_status,num_lesions_raw,num_lesions_min,num_lesions_max,num_lesions_mid,num_lesions_status,temperature_raw,temperature_min_c,temperature_max_c,temperature_mid_c,temperature_status,pH_or_pCO2_raw,pH_min,pH_max,pH_mid,pCO2_uatm_min,pCO2_uatm_max,pCO2_uatm_mid,carbonate_chemistry_status,nutrient_enrichment_raw,nutrient_enrichment_standard,sedimentation_raw,sedimentation_standard,flow_regime_raw,flow_regime_standard,light_raw,light_standard,symbiont_status_raw,symbiont_status_standard,lesion_method_raw,injury_mechanism_standard,lesion_type_raw,tissue_skeleton_involvement_standard,location_raw,site,country_territory,water_body,latitude,longitude,coordinate_basis,coordinate_confidence,covariate_readiness_status,covariate_blockers,covariate_warnings,notes
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,"Agaricia agaricites f. purpurea, Porites astreoides",2,multi_taxon,Agaricia; Porites,,multi_taxon,Agariciidae; Poritidae,,multiple_families_not_collapsed,worms_scleractinia_match,"massive, encrusting, plating",massive_submassive; encrusting; plating_foliose,,multiple_growth_forms_not_collapsed,living surfaces,,,,porosity_missing,field,field,single_setting_ready,18,25,21.5,7,"100, 500",100,500,300,range_or_multiple_values,,,,,missing,,,,,missing,147,147,147,147,single_value,,,,,missing,,,,,,,,missing,,,,,,,,,,,method: Bak et al. 1977,,"tissue, tissue and skeleton",tissue_and_skeleton,"fringing reef 700-800 m northwest of the entrance of Piscadera Bay, southwest coast of Curacao",,Netherlands Antilles,,12.132222,-68.968611,reef_centroid,medium,covariates_partial,,multi_taxon_row_trait_moderators_need_observation_taxon; multiple_families_not_collapsed; growth_form_not_single_standard_category; skeletal_porosity_not_single_standard_category,"Regeneration of 1 cm2 and 5 cm2 lesions studied over 140 days in situ. [repair: Coordinates and temperature were not reported; growth forms were inferred from the standard morphologies of Porites astreoides (massive/encrusting) and Agaricia agaricites (encrusting/plating).] [agent repair: Multiple depth bands were explicitly reported. Lesion areas were reported as 1 cm2 and 5 cm2, converted here to 100 mm2 and 500 mm2. Coordinates and temperature were not recoverable.]"
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",Acropora palmata,1,single_taxon,Acropora,Acropora,single_genus_ready,Acroporidae,Acroporidae,single_family_ready,worms_scleractinia_match,branched,branching,branching,single_growth_form_ready,branch,,,,porosity_missing,field,field,single_setting_ready,1,2,1.5,1,100,100,100,100,single_value,,,,,missing,,,,,missing,32,32,32,32,single_value,,,,,missing,,,,,,,,missing,,,,,,,,,,,compressed air; scraping protruding skeletal elements,air_or_water_jet; scraping_or_abrasion,"tissue, tissue and skeleton",tissue_and_skeleton,"southwest, leeward coast of Curacao",,Netherlands Antilles,Caribbean Sea,12.13,-69.13,coast_or_region_centroid,low,core_covariates_ready,,skeletal_porosity_not_single_standard_category,"Studied regeneration of 1 cm2 lesions alongside effects of natural neoplasia on growth. All A. palmata recovered from all lesions within 80 d. [repair: Coordinates and experimental or ambient temperatures were not explicitly reported in the study.] [agent repair: Depth was explicitly reported as 1-2 m. Lesion area was 1 cm2, converted here to 100 mm2. Growth form was branching. Coordinates and temperature were not explicitly reported.]"
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,Acropora aspera,1,single_taxon,Acropora,Acropora,single_genus_ready,Acroporidae,Acroporidae,single_family_ready,worms_scleractinia_match,branching,branching,branching,single_growth_form_ready,apical tips,,,,porosity_missing,mesocosm,mesocosm,single_setting_ready,0.3,0.3,0.3,0,,,,,missing,,,,,missing,30,30,30,30,single_value,,,,,missing,"26, 32",26,32,29,range_or_multiple_values,,,,,,,,missing,,,,,flow-through seawater with high turnover rate and internal pumps,present_or_manipulated,700-1500; full sunlight with no direct shading,absent_or_control,,,removal of apical tips (~3 cm of the apical region),,tissue and skeleton,tissue_and_skeleton,Heron Island reef flat,,Australia,Great Barrier Reef,-23.443389,151.911972,reported_exact,high,core_covariates_ready,,skeletal_porosity_not_single_standard_category; initial_wound_area_mid_mm2_missing,"Monitored GFP fluorescence, linear extension, and gene expression for catalase, HSP70, HSP90. [repair: Lesion area was not reported; the study only notes the removal of approximately 3 cm of the apical region.] [agent repair: Damage is described as apical-region removal rather than an explicit lesion area.]"
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",Astrangia poculata,1,single_taxon,Astrangia,Astrangia,single_genus_ready,Astrangiidae,Astrangiidae,single_family_ready,worms_scleractinia_match,,,,growth_form_missing,single polyp,,,,porosity_missing,laboratory,lab,single_setting_ready,6,10,8,4,38.4,38.4,38.4,38.4,single_value,,,,,missing,,,,,missing,1,1,1,1,single_value,"9, 18, 24",9,24,16.5,range_or_multiple_values,,,,,,,,missing,,,,,flow-through aquarium system,present_or_manipulated,37.5; 10 h d−1 using T5 HO fluorescent lighting,present_or_manipulated,symbiotic and aposymbiotic,aposymbiotic,"single polyp removed using a scalpel, cleared of tissue using a Waterpik, surrounding skeleton filed to a uniform basal skeletal height",air_or_water_jet; scraping_or_abrasion; cutting_or_punch,tissue and skeleton,tissue_and_skeleton,"Fort Wetherill State Park in Jamestown, RI",Fort Wetherill State Park,USA,,41.477778,-71.359444,reported_exact,high,covariates_partial,,growth_form_not_single_standard_category; skeletal_porosity_not_single_standard_category,"Assessed how symbiotic state (symbiotic vs. aposymbiotic) and temperature deviations (winter 9 °C, elevated 24 °C) affected wound healing and tissue loss. [repair: Growth form was not explicitly reported in the text and cannot be unambiguously inferred for Astrangia poculata.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]"
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,Astrangia poculata,1,single_taxon,Astrangia,Astrangia,single_genus_ready,Astrangiidae,Astrangiidae,single_family_ready,worms_scleractinia_match,solitary,solitary,solitary,single_growth_form_ready,single polyp and coenenchyme,,,,porosity_missing,laboratory,lab,single_setting_ready,6,10,8,4,34.28,34.28,34.28,34.28,single_value,,,,,missing,,,,,missing,1,1,1,1,single_value,18,18,18,18,single_value,,,,,,,,missing,fed (frozen copepod slurry 50 g/L) vs starved,present_or_manipulated,,,,,10-hr light cycles (14 hr dark) via T5 HO fluorescent lighting,present_or_manipulated,symbiotic or aposymbiotic,aposymbiotic,"single polyp and surrounding connective tissue removed using a scalpel, wound site cleaned via Waterpik",air_or_water_jet; cutting_or_punch,tissue,tissue_only,Fort Wetherill State Park in Jamestown RI,Fort Wetherill State Park,USA,,41.477778,-71.359444,reported_exact,high,core_covariates_ready,,skeletal_porosity_not_single_standard_category,"Assessed how symbiotic state (symbiotic vs. aposymbiotic) and nutritional state (fed vs. starved) affected wound healing, colony tissue cover, and polyp activity. [repair: Growth form was not explicitly reported in the text and cannot be unambiguously inferred for Astrangia poculata.] [agent repair: Growth form inferred from Astrangia poculata, which is a solitary coral. Growth-form label was not explicit in the text, but the inference is unambiguous.]"
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,"Porites spp., Pocillopora meandrina",2,multi_taxon,Porites; Pocillopora,,multi_taxon,Poritidae; Pocilloporidae,,multiple_families_not_collapsed,worms_scleractinia_match,"massive, branching",branching; massive_submassive,,multiple_growth_forms_not_collapsed,"perforate, imperforate","tissue_type=perforate, imperforate",imperforate; perforate,,multiple_porosity_values_not_collapsed,field,field,single_setting_ready,2,3,2.5,1,"35, 105, 108",35,108,71.5,range_or_multiple_values,,,,,missing,1-5,1,5,3,range_or_multiple_values,1,1,1,1,single_value,29.00,29,29,29,single_value,,,,,,,,missing,,,,,,,1200,present_or_manipulated,,,pressurized seawater from a 60 ml syringe; snub-nose pliers to abrade,air_or_water_jet,"tissue, tissue and skeleton",tissue_and_skeleton,back reef along the north shore of Moorea,,French Polynesia,,-17.500000,-149.833333,reported_exact,high,covariates_partial,,multi_taxon_row_trait_moderators_need_observation_taxon; multiple_families_not_collapsed; growth_form_not_single_standard_category; skeletal_porosity_not_single_standard_category,"Simulated damage caused by fishes belonging to 3 functional feeding guilds: excavators, scrapers, and browsers. [repair: The study explicitly contrasts two taxa with different skeletal porosities, identifying Porites as perforate and Pocillopora as imperforate.]"
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,Fungia granulosa,1,single_taxon,Fungia,Fungia,single_genus_ready,Fungiidae,Fungiidae,single_family_ready,worms_scleractinia_match,solitary,solitary,solitary,single_growth_form_ready,,,,,porosity_missing,field,field,single_setting_ready,10,10,10,0,,,,,missing,,,,,missing,,,,,missing,,,,,missing,,,,,missing,,,,,,,,missing,,,,,,,,,,,broken into fragments with the aid of a hammer and chisel,fragmentation_or_breakage,fragmentation,fragmentation,"fringing coral reef adjacent to the H. Steinitz Marine Biology Laboratory, Eilat, Gulf of Eilat, Red Sea",H. Steinitz Marine Biology Laboratory,Israel,Red Sea,29.500000,34.916667,site_facility_centroid,high,core_covariates_ready,,skeletal_porosity_not_single_standard_category; initial_wound_area_mid_mm2_missing,"Studied regeneration after experimental breakage. Recovery depended on fracture orientation (parallel vs perpendicular to septa), fragment size, and percent breakage. [repair: Coordinates, tissue type (perforate/imperforate), precise initial lesion area, and experimental temperatures were not explicitly reported in the study.] [agent repair: Depth was explicitly reported as 10 m. Growth form was solitary. No explicit coordinates, tissue type, lesion area, or temperature were recoverable.]"
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,Pocillopora spp.,1,single_genus_species_ambiguous,Pocillopora,Pocillopora,single_genus_ready,Pocilloporidae,Pocilloporidae,single_family_ready,worms_scleractinia_match,branching,branching,branching,single_growth_form_ready,surface tissue,,,,porosity_missing,laboratory,lab,single_setting_ready,,,,,"148, 382",148,382,265,range_or_multiple_values,,,,,missing,,,,,missing,1,1,1,1,single_value,,,,,missing,,,,,,,,missing,2 g of TetraMarine Saltwater Flakes three times per day,present_or_manipulated,,,flow-through aquaria supplied with unfiltered seawater at ~6 L h-1,present_or_manipulated,ambient light,absent_or_control,,,airbrush fitted with a circular stencil to remove surface tissue,air_or_water_jet; scraping_or_abrasion,tissue,tissue_only,"northshore lagoon reef, Mo'orea",Richard B. Gump South Pacific Research Station,French Polynesia,,-17.500000,-149.833333,reported_exact,high,core_covariates_ready,,skeletal_porosity_not_single_standard_category; depth_mid_m_missing,"Tested whether coral-associated yellowtail damselfish (Dascyllus flavicaudus) facilitate wound healing, calcification, and photosynthetic recovery in Pocillopora spp. [repair: Numeric depth bounds and specific experimental or ambient temperatures were not explicitly reported in the study.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]"
ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Pocillopora meandrina,1,single_taxon,Pocillopora,Pocillopora,single_genus_ready,Pocilloporidae,Pocilloporidae,single_family_ready,worms_scleractinia_match,branching,branching,branching,single_growth_form_ready,branch,,,,porosity_missing,field,field,single_setting_ready,1,8,4.5,7,,,,,missing,,,,,missing,,,,,missing,108,108,108,108,single_value,26.77-27.25,26.77,27.25,27.01,range_or_multiple_values,,,,,,,,missing,,,,,,,,,,,breaking branches using bone cutters,cutting_or_punch; fragmentation_or_breakage,tissue and skeleton,tissue_and_skeleton,"four sites on O‘ahu, Hawai‘i","Lanikai, Kāne‘ohe Bay, Kewalo Shallow, Kewalo Deep",USA,Pacific Ocean,21.289800,-157.862800,reported_exact,high,core_covariates_ready,,skeletal_porosity_not_single_standard_category; initial_wound_area_mid_mm2_missing,"Investigated the effects of colony size, depth, and disturbance history (bleaching) on the wound repair of broken branches. Larger colonies and shallower colonies healed faster. [repair: Lesion area was not explicitly reported; the study only provided the mean wound diameter of 13.4 mm.]"
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,Montastraea annularis,1,single_taxon,Montastraea,Montastraea,single_genus_ready,Montastraeidae,Montastraeidae,single_family_ready,worms_scleractinia_match,massive,massive_submassive,massive_submassive,single_growth_form_ready,imperforate,tissue_type=imperforate,imperforate,imperforate,single_porosity_ready,field,field,single_setting_ready,1,1.5,1.25,0.5,,,,,missing,,,,,missing,,,,,missing,32,32,32,32,single_value,26-31,26,31,28.5,range_or_multiple_values,,,,,,,,missing,,,"0.16 g/cm2/day, 0.266 g/cm2/day",present_or_manipulated,,,,,,,scratching the coral surface with a hard-nylon brush; jetting out the tissue from the polyps using a syringe,scraping_or_abrasion,"tissue, tissue and skeleton",tissue_and_skeleton,"Dos Mosquises, Archipiélago Los Roques National Park",S1 (horseshoe reef) and S2 (fringing reef lagoon),Venezuela,,11.976667,-66.882500,reported_exact,high,core_covariates_ready,,initial_wound_area_mid_mm2_missing,"Lesion diameter ranged from 4.5-5 cm (small) to 7.5-8 cm (large). Evaluated tissue regeneration under different sedimentation regimes, lesion types (simulated parrotfish vs butterflyfish), sizes, and positions. [repair: Growth form and tissue type were inferred from the standard characteristics of Montastraea annularis, while initial lesion area was provided as a range of diameters rather than a explicitly stated area.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]"
