rate_effect_id,source_id,paper_title,local_relpath,seed_source,seed_source_row,effect_status,analysis_ready,rate_derivation_basis,effect_measure,species,location,stressor_or_treatment,wound_area_mm2,rate_value,rate_unit,variance_type,variance_value,sample_size,time_to_healing_days,final_extent,duration_days,figure_or_table_label,page,panel_label,provenance_status,notes
LEGACY-dde85c3e-2,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",data/extraction/EXTRACTION_RATES.csv,2,legacy_numeric_value_needs_provenance,0,reported_exponential_slope,rate_constant_k,Acropora palmata,Curacao,None,100,-0.048,Exponential Slope (k),None,0,32,,,,,,,needs_source_provenance_review,Standard 1cm2 lesion
LEGACY-09f69156-3,09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,data/extraction/EXTRACTION_RATES.csv,3,legacy_numeric_value_needs_provenance,0,reported_areal_rate,areal_rate,Porites lutea,Reunion Island,Seasonal Variation,330,13.0,mm2 d-1,SD,7.0,170,,,,,,,needs_source_provenance_review,Initial rate range 6-20
LEGACY-84a7b2a4-4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,data/extraction/EXTRACTION_RATES.csv,4,legacy_numeric_value_needs_provenance,0,reported_areal_rate,areal_rate,Favia favus,"Eilat, Red Sea",Lesion Shape,110,4.7,mm2 d-1,SD,3.1,46,,,,,,,needs_source_provenance_review,Range 1.6 - 7.8
LEGACY-1d9e4e6d-5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,data/extraction/EXTRACTION_RATES.csv,5,legacy_numeric_value_needs_provenance,0,reported_exponential_slope,rate_constant_k,Montastraea annularis,Curacao,Lesion Size,83,-0.076,Exponential Slope (k),95% CL,0.01,25,,,,,,,needs_source_provenance_review,Steepest slope in smallest lesions
LEGACY-b269f689-6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,data/extraction/EXTRACTION_RATES.csv,6,legacy_numeric_value_needs_provenance,0,reported_linear_rate,linear_rate,Porites lutea,"Okinawa, Japan",Light Intensity,0,0.11,mm d-1,SD,0.05,5,,,,,,,needs_source_provenance_review,Tissue spreading rate
LEGACY-65ccf3b6-7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,data/extraction/EXTRACTION_RATES.csv,7,legacy_numeric_value_needs_provenance,0,reported_areal_rate,areal_rate,Montastraea cavernosa,Grenada,None,159,2.8,mm2 d-1,SE,0.002,30,,,,,,,needs_source_provenance_review,Modeled closure rate
LEGACY-b9536b7f-8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,data/extraction/EXTRACTION_RATES.csv,8,legacy_numeric_value_needs_provenance,0,reported_proportional_rate,proportional_rate,Acropora hyacinthus,Lizard Island,Injury Type,330,3.1,% d-1,SE,0.13,60,,,,,,,needs_source_provenance_review,Scraping healed fastest
PILOT-dde85c3e-2,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",data/extraction/TIER1_EXTRACTION_PILOT.csv,2,pilot_seed_conflicts_or_overlaps_with_legacy_rate,0,reported_or_calculated_areal_rate,areal_rate,Acropora palmata,Curacao,,100,1.25,Areal_Rate,SD,,32,80,100,80,,,,needs_source_provenance_review,Superior regenerator among Caribbean corals
PILOT-9616c9c9-3,9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",data/extraction/TIER1_EXTRACTION_PILOT.csv,3,pilot_seed_needs_source_review,0,pilot_covariate_only_no_rate_value,none,Astrangia poculata,Boston (USA),,12,,,SE,,NA,NA,100,NA,,,,needs_source_provenance_review,Symbiotic state significantly improved healing
PILOT-26babed0-4,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,data/extraction/TIER1_EXTRACTION_PILOT.csv,4,pilot_seed_needs_source_review,0,pilot_covariate_only_no_rate_value,none,Porites spp.,Moorea,,35,,,SE,,32,NA,100,NA,,,,needs_source_provenance_review,Simulated browsing (butterflyfish)
