observation_id,source_id,analysis_ready,qa_status,rate_derivation_basis,observation_type,species,site,treatment,timepoint_or_interval,response_value,response_unit,rate_value,rate_unit,variance_type,variance_value,sample_size,figure_or_table_label,page,evidence_key,calculation_notes
CUR-c9a7e412-001,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,0,extracted_needs_independent_qc,time_to_closure,event_proportion,Acropora pulchra,,all treatments pooled,19 d,13/14,corals with at least two healing signs,,,,,14,Figure 1; Table 1,17,pdf_page_17_text,Prose reports 92 percent or 13 of 14 fragments by day 19; event definition is at least two of polyp corallite or tissue regeneration.
CUR-12939915-001,12939915-cb9c-4190-9682-7477eb8d2698,0,extracted_needs_independent_qc,time_to_closure,endpoint_complete_regrowth,Acropora aspera,,ambient SST 26 C,12 d,complete,apical tip regrowth,,,,,5,Figures 2A-2F,7,pdf_page_7_text,Ambient injured colonies had complete apical tip regrowth by experimental day 12.
CUR-12939915-002,12939915-cb9c-4190-9682-7477eb8d2698,0,extracted_needs_independent_qc,time_series_wound_size,linear_extension_endpoint,Acropora aspera,,ambient SST 26 C,6 d,1.44,mm apical extension,,,,,5,Figure 5,9,pdf_page_9_text,SEM endpoint from fixed landmark to apical tip; ambient extension evident by day 6.
CUR-12939915-003,12939915-cb9c-4190-9682-7477eb8d2698,0,extracted_needs_independent_qc,time_series_wound_size,linear_extension_endpoint,Acropora aspera,,ambient SST 26 C,12 d,2.2,mm apical extension,,,,,5,Figure 5,9,pdf_page_9_text,SEM endpoint from fixed landmark to apical tip; complete extension evident by day 12.
CUR-12939915-004,12939915-cb9c-4190-9682-7477eb8d2698,0,extracted_needs_independent_qc,time_series_wound_size,linear_extension_endpoint,Acropora aspera,,sub-bleaching SST 32 C,10 d,0.5,mm apical extension,,,,,5,Figure 5,9,pdf_page_9_text,Elevated-temperature treatment had emergent apical tip in some samples by day 10 with only about 0.5 mm extension.
CUR-4d1dfa9c-001,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,0,extracted_needs_independent_qc,reported_exponential_slope,model_slope_and_time_to_closure,Acropora muricata,Planch'Alize,site,53 d,24,percent initial lesion size remaining,-0.024,d-1,SD,0.012,25,Figure 3,3,pdf_page_3_text,Exponential decay slope reported for remaining lesion size; modeled complete healing averaged 192 d.
CUR-4d1dfa9c-002,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,0,extracted_needs_independent_qc,time_to_closure,model_time_to_closure,Acropora muricata,Planch'Alize,site,192 d,complete,modeled healing,,,,,25,Figure 3,3,pdf_page_3_text,Same exponential model as slope row; complete healing averaged 192 d.
CUR-4d1dfa9c-003,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,0,extracted_needs_independent_qc,reported_exponential_slope,model_slope_and_time_to_closure,Acropora muricata,Kiosque,site,53 d,3,percent initial lesion size remaining,-0.057,d-1,SD,0.017,23,Figure 3,3,pdf_page_3_text,Exponential decay slope reported for remaining lesion size; modeled complete healing averaged 81 d.
CUR-4d1dfa9c-004,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,0,extracted_needs_independent_qc,time_to_closure,model_time_to_closure,Acropora muricata,Kiosque,site,81 d,complete,modeled healing,,,,,23,Figure 3,3,pdf_page_3_text,Same exponential model as slope row; complete healing averaged 81 d.
CUR-b0949a7c-001,b0949a7c-520e-4a37-af04-25979598ec2d,0,coarse_extraction_needs_qc,reported_proportional_rate,range_across_treatments,Porites spp.,Moorea,all temperature-flow treatments,10 d,42-54,percent lesion area decline,4-5,percent d-1,range,across treatments,40,Figure 2,6,pdf_page_6_text,Text reports mean lesion-area decline range over four treatments and equivalent healing rates.
CUR-2e3b055f-001,2e3b055f-28df-4def-97aa-660ac537a95f,0,extracted_needs_independent_qc,reported_proportional_rate,initial_decline_rate,Porites spp.,Moorea,ambient PCO2,first 3 d,20.6,percent original lesion area remaining at 20 d,7.6,percent d-1,SE,0.8,20,Figure 2,4,pdf_page_4_text,Initial decline rate from Experiment 2; final endpoint after 20 d retained in response fields.
CUR-2e3b055f-002,2e3b055f-28df-4def-97aa-660ac537a95f,0,extracted_needs_independent_qc,reported_proportional_rate,initial_decline_rate,Porites spp.,Moorea,elevated PCO2,first 3 d,22.7,percent original lesion area remaining at 20 d,9.0,percent d-1,SE,0.9,20,Figure 2,4,pdf_page_4_text,Initial decline rate from Experiment 2; final endpoint after 20 d retained in response fields.
CUR-2e3b055f-003,2e3b055f-28df-4def-97aa-660ac537a95f,0,extracted_needs_independent_qc,reported_proportional_rate,overall_rate,Porites spp.,Moorea,ambient PCO2,20 d,,percent original lesion area,4.0,percent d-1,not_reported,,20,Figure 2,5,pdf_page_5_text,Discussion reports overall healing rate in ambient PCO2 during Experiment 2.
CUR-2e3b055f-004,2e3b055f-28df-4def-97aa-660ac537a95f,0,extracted_needs_independent_qc,reported_proportional_rate,overall_rate,Porites spp.,Moorea,elevated PCO2,20 d,,percent original lesion area,3.9,percent d-1,not_reported,,20,Figure 2,5,pdf_page_5_text,Discussion reports overall healing rate in elevated PCO2 during Experiment 2.
CUR-348d7203-001,348d7203-b68d-472c-89da-e3e6704b2f50,0,extracted_needs_independent_qc,reported_exponential_slope,model_slope,Acropora palmata,Curacao,3 cm from branch tip,30 d,,lesion surface area,0.213,base10 exponential slope d-1,95% CI,0.170-0.267,21,Table 1,4,pdf_page_4_table_1,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.
CUR-348d7203-002,348d7203-b68d-472c-89da-e3e6704b2f50,0,extracted_needs_independent_qc,reported_exponential_slope,model_slope,Acropora palmata,Curacao,12 cm from branch tip,30 d,,lesion surface area,0.127,base10 exponential slope d-1,95% CI,0.095-0.170,21,Table 1,4,pdf_page_4_table_1,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.
