source_id,paper_title,local_relpath,evidence_rank,pdf_page,evidence_kind,candidate_label,candidate_type,score,snippet,text_sha256
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,1,39,caption_or_table_start,Figure 3,figure,25,"Figure 3. Average A) respiration rates, B/C) gross photosynthesis rates, and D) daily P:R from respirometry trials during the beginning (day 1), middle (day 10), and end (day 19) of regeneration. Average rates in plots A & D are subset by ambient (blue, open circles) and warming (red, closed circles) temperatures pooled across injury type because there was no significant effect or interactive effects of injury with temperature or time. Average rates in plot",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,2,39,numeric_keyword_window,,text,23,"Figure 3. Average A) respiration rates, B/C) gross photosynthesis rates, and D) daily P:R from / respirometry trials during the beginning (day 1), middle (day 10), and end (day 19) of / regeneration. Average rates in plots A & D are subset by ambient (blue, open circles) and / warming (red, closed circles) temperatures pooled across injury type because there was no",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,3,34,caption_or_table_start,Figure 1,figure,20,"Figure 1. Photograph time series of wound regeneration in A. pulchra from abrasion and fragmentation injury at ambient and warming temperature. From left to right, photographs show stages of wound regeneration at the beginning (day 1), middle (day 10), and end (day 19) of the experiment.",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,4,40,caption_or_table_start,Figure 4,figure,20,"Figure 4. Average rates of net photosynthesis from respirometry trials during the beginning (day 1), middle (day 10), and end (day 19) of regeneration. Average rates are subset by ambient (blue) and warming (red) temperatures and injuries: no injury (circle), fragmentation (triangle), abrasion (square). Bars around circles are standard errors. Letters show statistically significant differences based on estimated marginal means from linear mixed effects models with injury, temperature, time (all categorical), and all their interactions.",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,5,44,caption_or_table_start,Table 4,table,20,"Table 4. ANOVA tables of a linear mixed effects model for photosynthetic efficiency using Satterthwaite’s approximation for degrees of freedom. The model had parental colony as a random effect and fixed effects of temperature (ambient and warming), injury (no injury, fragmentation, or abrasion), and time (beginning (day 1), middle (day 10), and end (day 19)). Effects of temperature, injury, and time were fixed and fully crossed.",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,6,41,numeric_keyword_window,,text,19,"fixed effects of temperature (ambient and warming), injury (no injury, fragmentation, or / abrasion), and time (beginning (day 1), middle (day 10), and end (day 19)). Effects of / temperature, injury, and time were fixed and fully crossed. / Mean",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,7,44,numeric_keyword_window,,text,19,"colony as a random effect and fixed effects of temperature (ambient and warming), injury / (no injury, fragmentation, or abrasion), and time (beginning (day 1), middle (day 10), and / end (day 19)). Effects of temperature, injury, and time were fixed and fully crossed. / Variable Effect SS Mean SS df DenDF F p",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,8,34,numeric_keyword_window,,text,18,"Figure 1. Photograph time series of wound regeneration in A. pulchra from abrasion and / fragmentation injury at ambient and warming temperature. From left to right, photographs / show stages of wound regeneration at the beginning (day 1), middle (day 10), and end (day",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,9,40,numeric_keyword_window,,text,18,"Figure 4. Average rates of net photosynthesis from respirometry trials during the beginning / (day 1), middle (day 10), and end (day 19) of regeneration. Average rates are subset by ambient / (blue) and warming (red) temperatures and injuries: no injury (circle), fragmentation (triangle), / abrasion (square). Bars around circles are standard errors. Letters show statistically significant",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,10,16,numeric_keyword_window,,text,17,"temperature-time combinations pooled across injury types). To determine how injury and / temperature influence regeneration, I conducted 1) Kaplan Meier survival curves and 2) Cox / Proportional Hazards mixed models. I treat signs of healing (polyp, corallite, and tissue",92f4e8c5003438c23a2d60fb4b733f9cabc9c8fde733839331804c538e6801d0
