Filename,Status,Reason,Bin1_Rate,Bin2_Growth,Bin3_Repro,Bin4_Survival,Bin5_Mechanism,Bin6_Stressor,Is_Review
Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,Keep,Primary Data Pool,1,1,0,0,0,0,N
Bak - 1983 - Neoplasia,Keep,Primary Data Pool,1,1,0,1,0,0,N
Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,Keep,Primary Data Pool,0,0,0,1,1,0,Y
Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded,Keep,Primary Data Pool,1,0,0,0,0,1,N
Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,Keep,Primary Data Pool,1,0,0,1,0,1,N
Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,Keep,Primary Data Pool,1,1,0,1,0,0,N
Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,Keep,Primary Data Pool,1,0,0,1,0,0,N
Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,Keep,Primary Data Pool,0,1,0,0,0,1,N
Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Cox - 2014 - Corallivory The Coral’s Point of View.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,Y
Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,Keep,Mechanism Narrative,0,0,0,0,1,0,N
Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria,Keep,Mechanism Narrative,0,0,0,0,1,0,N
D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,Keep,Primary Data Pool,0,1,0,0,1,0,N
DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral,Keep,Primary Data Pool,1,0,0,1,0,0,N
Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Dias et al. - 2018 - Mortality,Keep,Primary Data Pool,1,1,0,1,0,1,N
Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change,Keep,Primary Data Pool,0,0,0,1,0,0,N
Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,Keep,Primary Data Pool,1,1,0,0,0,1,N
Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,Keep,Primary Data Pool,1,1,0,0,0,1,N
Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,Keep,Primary Data Pool,1,1,0,0,0,1,N
Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
