paper_title,source_id,notebook_present,local_present,local_relpath,local_filename,current_folder,final_status,extraction_readiness,alias_of,response_rate,response_growth,response_reproduction,response_survival,response_mechanism,moderator_environment,moderator_traits,hypothesis_traits,hypothesis_environment,hypothesis_wound_type,hypothesis_geometry,hypothesis_integration,adjudication_basis,final_rationale,screening_bucket,candidate_bins,screening_notes
Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,5e605749-8df3-44d9-8113-3b61c21f4386,1,1,literature/EXCLUDED_FINAL/Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,carry_forward_prior_audit,"[Exclude] The studied organisms are sponges (Demospongiae), falling entirely outside the scope of a Scleractinian regeneration data pool.",exclude_scope,,"[Exclude] The studied organisms are sponges (Demospongiae), falling entirely outside the scope of a Scleractinian regeneration data pool."
Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,12e9e864-5ff1-42c4-a63d-19b5d62a7464,1,1,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,META_ANALYSIS_POOL,include_primary,needs_digitization,,1,0,0,1,0,0,0,0,0,1,0,0,manual_override,Foundational early study on superficial-damage regeneration in Agaricia and Porites.,review_needed,,No audit record yet.
"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",dde85c3e-6c0d-4057-9a5a-116138865992,1,1,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",META_ANALYSIS_POOL,include_primary,needs_digitization,,1,1,0,0,0,0,0,0,0,0,0,0,manual_override,"Foundational Acropora palmata injury, regeneration, and growth study.",include_primary_needs_fulltext,growth|rate,"[Include in Bins 1, 2] Contains primary quantitative macroscopic data for temporal healing and growth costs, although variance will require figure digitization to extract."
Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,,0,1,literature/EXCLUDED_FINAL/Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,"Gastropod diversity paper, not a coral wound-response study.",review_needed,,No audit record yet.
Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,e5029ad6-d2ad-4e7a-86eb-d54975b0d760,1,1,literature/EXCLUDED_FINAL/Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,EXCLUDED_FINAL,exclude_review,not_for_extraction,,0,0,0,0,0,0,0,0,0,1,0,0,carry_forward_prior_audit,"[Exclude] This is a review paper focused on the aquaculture and restoration techniques of coral fragmentation, completely lacking raw macroscopic tissue outcomes for meta-analysis extraction.",exclude_review,,"[Exclude] This is a review paper focused on the aquaculture and restoration techniques of coral fragmentation, completely lacking raw macroscopic tissue outcomes for meta-analysis extraction."
Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,,0,1,literature/EXCLUDED_FINAL/Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Calcification physiology without a wound or lesion treatment.,review_needed,,No audit record yet.
Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,12939915-cb9c-4190-9682-7477eb8d2698,1,1,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,META_ANALYSIS_POOL,include_primary,ready_extract,,1,0,0,1,0,1,0,0,1,0,0,0,carry_forward_prior_audit,"[Include in Bin 1] The paper provides excellent primary temporal data for skeletal regeneration and tissue repair during heat stress, with cleanly reported SE and sample sizes.",include_primary,rate,"[Include in Bin 1] The paper provides excellent primary temporal data for skeletal regeneration and tissue repair during heat stress, with cleanly reported SE and sample sizes."
Brown et al. - 2021 - Extended phenotypes on coral reefs cryptic phenotypes modulate coral-vermetid interactions.pdf,7b6c3c16-42d6-411f-8069-1ae430f0761d,1,0,,,,exclude_scope,not_for_extraction,,0,0,0,0,0,1,0,0,1,0,0,0,manual_override,Interaction ecology paper without physical injury or regeneration endpoints.,review_needed,,No audit record yet.
Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,c50bc867-17ea-4393-80b1-b34f18d5fde2,1,1,literature/EXCLUDED_FINAL/Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,1,0,0,manual_override,Predation-description paper lacking coral healing or post-damage consequence measurements.,review_needed,,No audit record yet.
Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,,0,1,literature/EXCLUDED_FINAL/Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Community-ecology dissertation on reef associates rather than coral wounding responses.,review_fulltext_needed,,"[Exclude] The source text is missing from the data pool, preventing any data extraction."
