source_id,source_title,notebook_present,local_relpath,local_filename,current_folder,local_present,source_to_local_score,audit_count,audit_titles,audit_verdicts,candidate_bins,conflicting_audits,screening_bucket,screening_notes
5e605749-8df3-44d9-8113-3b61c21f4386,Ayling_1983_Growth_and_regeneration_rates_in_thinly_encrusting_Demospon..._doi-10.2307-1541200.pdf,1,literature/META_ANALYSIS_POOL/Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,META_ANALYSIS_POOL,1,1.104,1,1. Ayling (1983),[Exclude],,0,exclude_scope,"[Exclude] The studied organisms are sponges (Demospongiae), falling entirely outside the scope of a Scleractinian regeneration data pool."
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak_1980_Regeneration_of_superficial_damage_in_the_scleractinian_cora....pdf,1,literature/extraction_ready/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,extraction_ready,1,0.713,0,,,,0,review_needed,No audit record yet.
dde85c3e-6c0d-4057-9a5a-116138865992,Bak_1983_Neoplasia_regeneration_and_growth_in_the_reef-building_cora..._doi-10.1007-bf00395810.pdf,1,"literature/high_confidence/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",high_confidence,1,1.115,1,2. Bak (1983),"[Include in Bins 1, 2]",growth|rate,0,include_primary_needs_fulltext,"[Include in Bins 1, 2] Contains primary quantitative macroscopic data for temporal healing and growth costs, although variance will require figure digitization to extract."
,,0,literature/EXCLUDED_FINAL/Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,EXCLUDED_FINAL,1,,0,,,,0,review_needed,No audit record yet.
e5029ad6-d2ad-4e7a-86eb-d54975b0d760,Barton_2017_Coral_propagation_a_review_of_techniques_for_ornamental_tra..._doi-10.1111-raq.12135.pdf,1,literature/META_ANALYSIS_POOL/Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,META_ANALYSIS_POOL,1,1.099,1,3. Barton et al. (2017),[Exclude],,0,exclude_review,"[Exclude] This is a review paper focused on the aquaculture and restoration techniques of coral fragmentation, completely lacking raw macroscopic tissue outcomes for meta-analysis extraction."
,,0,literature/EXCLUDED_FINAL/Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,EXCLUDED_FINAL,1,,0,,,,0,review_needed,No audit record yet.
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso_2017_Exposure_to_elevated_sea-surface_temperatures_below_the_blea..._doi-10.7717-peerj.3719.pdf,1,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,META_ANALYSIS_POOL,1,1.085,1,4. Bonesso et al. (2017),[Include in Bin 1],rate,0,include_primary,"[Include in Bin 1] The paper provides excellent primary temporal data for skeletal regeneration and tissue repair during heat stress, with cleanly reported SE and sample sizes."
7b6c3c16-42d6-411f-8069-1ae430f0761d,Brown et al. - 2021 - Extended phenotypes on coral reefs cryptic phenotypes modulate coral-vermetid interactions.pdf,1,,,,0,,0,,,,0,review_needed,No audit record yet.
c50bc867-17ea-4393-80b1-b34f18d5fde2,Bruckner_2000_Parrotfish_predation_on_live_coral_spot_biting_and_focus..._doi-10.1007-s003380050225.pdf,1,literature/EXCLUDED_FINAL/Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,EXCLUDED_FINAL,1,1.128,0,,,,0,review_needed,No audit record yet.
,,0,literature/META_ANALYSIS_POOL/Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,META_ANALYSIS_POOL,1,,1,2. Brush (2024) [Ecology of Fishes and Invertebrates Inhabiting the...],[Exclude],,0,review_fulltext_needed,"[Exclude] The source text is missing from the data pool, preventing any data extraction."
,,0,literature/EXCLUDED_FINAL/Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,EXCLUDED_FINAL,1,,0,,,,0,review_needed,No audit record yet.
,,0,literature/EXCLUDED_FINAL/Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,EXCLUDED_FINAL,1,,0,,,,0,review_needed,No audit record yet.
