source_id,source_title,notebook_present,local_relpath,local_filename,current_folder,local_present,source_to_local_score,audit_count,audit_titles,audit_verdicts,candidate_bins,conflicting_audits,screening_bucket,screening_notes
ec19aed9-6875-473a-accb-914b065e6e10,Counsell_2019_Colony_size_and_depth_affect_wound_repair_in_a_branching_cor..._doi-10.1007-s00227-019-3601-6.pdf,1,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,META_ANALYSIS_POOL,1,1.147,2,1 & 2. Counsell et al. 2019 (Colony size and depth affect wound repair in a branching coral) || 1. Counsell et al. (2019) [Colony size and depth affect wound repair in a branching coral],"[Exclude] || [Include in Bins 1, 4]",rate|survival,1,include_primary_conflicted,"[Exclude] The study reports the total time to heal rather than a standardized continuous daily rate, and it fails to report a standard measure of variance (SD/SE/CI) for the healing metric in the text. || [Include in Bins 1, 4] Robust primary field data linking wound recovery time and partial mortality to colony depth and size."
ad751939-b061-4323-9097-c1e7d2e9576f,Fine_2002_Bleaching_effect_on_regeneration_and_resource_translocation..._doi-10.3354-meps234119.pdf,1,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,META_ANALYSIS_POOL,1,1.135,2,3. Fine et al. (2002) [Bleaching effect on regeneration and resource translocation...] || 3. Fine et al. (2002) [Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica],"[Include in Bins 1, 4] || [Exclude]",rate|survival,1,include_primary_conflicted,"[Include in Bins 1, 4] Contains primary macroscopic data for wound recovery under stress, but variance and sample size must be extracted from the figures/tables in the full manuscript, as the text excerpt is deficient. || [Exclude] Primary quantitative parameters essential for meta-analysis (variance and *n*) cannot be extracted from the provided text fragments."
e2191f69-a271-4c74-be4c-ebe977248362,Hall_1997_Interspecific_differences_in_the_regeneration_of_artificial..._doi-10.1016-s0022-0981_96_02760-8.pdf,1,literature/META_ANALYSIS_POOL/Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,META_ANALYSIS_POOL,1,1.009,2,2. Hall (1997) [Interspecific differences in the regeneration of artificial injuries...] || 2. Hall (1997) [Interspecific differences in the regeneration of artificial injuries on scleractinian corals],[Exclude] || [Include in Bin 1],rate,1,include_primary_conflicted,"[Exclude] Reports total regeneration amounts at the end of the study period rather than a standardized daily areal or percentage rate. || [Include in Bin 1] A highly rigorous and foundational primary data source comparing recovery across different morphologies and injury types, providing precise means, variances, and sample sizes directly in the text and tables."
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall_2015_Lesion_recovery_of_two_scleractinian_corals_under_low_pH_c..._doi-10.1016-j.marpolbul.2015.08.030.pdf,1,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,META_ANALYSIS_POOL,1,1.085,2,4. Hall et al. (2015) [Lesion recovery of two scleractinian corals under low pH conditions...] || 4. Hall et al. (2015) [Lesion recovery of two scleractinian corals under low pH conditions: Implications for restoration efforts],"[Exclude] || [Include in Bins 1, 5]",rate|mechanism,1,include_primary_conflicted,"[Exclude] Provides total percent recovery over the study period but lacks an extractable, standardized daily regeneration rate. || [Include in Bins 1, 5] A highly relevant paper testing the interaction of ocean acidification (pH) and fragment size on recovery, but the required raw means and variances for meta-analysis will need to be extracted by digitizing the figures."
f7335f31-f560-4d42-9f0d-52fdbec8ece6,Eh_1992_Effects_of_Sedimentation_and_Lesion_Position_on_Coral....pdf,1,literature/META_ANALYSIS_POOL/Meesters et al 1992 sedimentation and lesion position.pdf,Meesters et al 1992 sedimentation and lesion position.pdf,META_ANALYSIS_POOL,1,0.736,2,3. Meesters et al. (1992) [Effects of sedimentation and lesion position on coral tissue regeneration],[Include in Bin 1] || [Exclude],rate,1,include_primary_conflicted,"[Include in Bin 1] A highly relevant paper testing sedimentation and intra-colony photoadaptation, but effect sizes will need to be extracted by digitizing the figures since the provided text is deficient. || [Exclude] The provided text lacks the extractable raw numerical means and variances necessary to quantify continuous regeneration rates. Data would need to be back-calculated or digitized from the unprovided original figures."
b2eaa7a6-c475-4f8e-bec2-2a52585da7c3,Nagelkerken_1999_Depth-related_variation_in_regeneration_of_artificial_lesion..._doi-10.1016-s0022-0981_98_00147-6.pdf,1,literature/META_ANALYSIS_POOL/Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,META_ANALYSIS_POOL,1,0.997,2,4. Nagelkerken et al. (1999) [Depth-related variation in regeneration of artificial lesions...] || 2. Nagelkerken et al. (1999) [Depth-related variation in regeneration of artificial lesions in the Caribbean corals...],[Exclude] || [Include in Bin 1],rate,1,include_primary_conflicted,"[Exclude] *Reason:* While highly relevant for depth-related regeneration tradeoffs, the provided text snippet is deficient. The raw means and variances for the healing rates are completely missing from the text and are only depicted visually in the paper's figures. || [Include in Bin 1] A highly relevant primary study testing depth-related environmental influences on continuous regeneration rates. However, data extraction will require digitizing the figures, as the provided text is deficient in raw regeneration numbers."
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice_2021_Complex_interactions_with_nutrients_and_sediment_alter_the_e..._doi-10.1111-maec.12670.pdf,1,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,META_ANALYSIS_POOL,1,1.065,2,5. Rice et al. (2021) [Complex interactions with nutrients and sediment alter the effects of predation...] || 2. Rice et al. (2021) [Complex interactions with nutrients and sediment alter the effects of predation on a reef-building coral],"[Exclude] || [Include in Bins 1, 4]",rate|survival,1,include_primary_conflicted,"[Exclude] While the study's design and sample sizes are perfectly detailed, the raw extractable means and variances for the continuous macroscopic outcomes (healing rates and mortality) are missing from the provided text snippets. || [Include in Bins 1, 4] A highly relevant multi-stressor field experiment, but raw numerical effect sizes for healing and partial mortality must be digitized from the manuscript's figures."
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,1,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,META_ANALYSIS_POOL,1,1.200,2,4. Soong and Lang (1992) [Reproductive Integration in Reef Corals] || 1. Soong and Lang (1992) [Reproductive Integration in Reef Corals],[Exclude] || [Include in Bin 3],reproduction,1,include_primary_conflicted,"[Exclude] The source text is missing from the data pool, preventing any data extraction. || [Include in Bin 3] The study explicitly tests the localized reproductive costs of wounding and colony integration. However, the exact effect sizes (means and variances) will need to be extracted by digitizing the full manuscript's figures or tables."
292bbd72-e4b1-422c-8fbb-5b3201d2cd0c,Titlyanov_2009_The_dynamics_of_the_restoration_of_mechanical_damage_to_colo..._doi-10.1134-s1063074009030067.pdf,1,literature/META_ANALYSIS_POOL/Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,META_ANALYSIS_POOL,1,1.061,2,1. Titlyanov and Titlyanova (2009) [The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites] || 3. Titlyanov and Titlyanova (2009) [The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites...],[Exclude] || [Include in Bin 1],rate,1,include_primary_conflicted,"[Exclude] The provided text lacks the extractable raw numerical means, variances, and exact sample sizes necessary to quantify regeneration rates. || [Include in Bin 1] *(Update from previous evaluation based on newly provided text)*: The text explicitly provides extractable continuous healing rates and variances under controlled illumination conditions, making it suitable for temporal regeneration comparisons."
26d408bb-bf97-4b1a-8b59-a62f74d3d475,Van_Woesik_1998_Lesion_healing_on_massive_Porites_spp._corals_doi-10.3354-meps164213.pdf,1,literature/META_ANALYSIS_POOL/Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,META_ANALYSIS_POOL,1,1.200,2,5. Van Woesik (1998) [Lesion healing on massive Porites spp. corals] || 1. Van Woesik (1998) [Lesion healing on massive Porites spp. corals],[Exclude] || [Include in Bin 1],rate,1,include_primary_conflicted,"[Exclude] The provided source text is completely deficient. The excerpt consists of only a single table caption (Table 1) without the accompanying data rows, making primary quantitative data extraction impossible. || [Include in Bin 1] Provides highly standardized, extractable quantitative data for continuous exponential tissue regeneration rates with clear variances and sample sizes directly in the text and tables [1, 4]."
dde85c3e-6c0d-4057-9a5a-116138865992,Bak_1983_Neoplasia_regeneration_and_growth_in_the_reef-building_cora..._doi-10.1007-bf00395810.pdf,1,"literature/high_confidence/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",high_confidence,1,1.115,1,2. Bak (1983),"[Include in Bins 1, 2]",growth|rate,0,include_primary_needs_fulltext,"[Include in Bins 1, 2] Contains primary quantitative macroscopic data for temporal healing and growth costs, although variance will require figure digitization to extract."
