crop_row_type,crop_status,crop_review_status,extractability_class,queue_id,source_id,paper_title,response_type,candidate_descriptor,candidate_type,candidate_label,pdf_page,local_relpath,source_page_render,source_page_width,source_page_height,crop_path,crop_box_xywh,crop_method,caption_locator_status,panel_label,final_clip_path,digitized_data_path,axis_units_status,variance_sample_size_status,caption_text,rejection_reason,recommended_action
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-002a60bc-rate,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,rate,figure:Figure 5:p9,figure,Figure 5,9,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,digitization/figures/source_pages/002a60bc__page-009.png,1489,1956,digitization/figures/crop_review/002a60bc__rate__figure-figure-5__page-9__crop-001.png,"94,65,698,549",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/002a60bc__rate__figure-figure-5_panel-<panel>.png,digitization/data/002a60bc__rate__figure-figure-5_panel-<panel>.csv,not_checked,not_checked,FIGURE 5. Percent of each wound healed (mean +/- SE; n = 10-11 per treatment) for massive Porites nubbins exposed to predation by Coralliophila violacea. Corals were exposed to nutrient enrichment and sediment addition.,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-002a60bc-survival,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,figure:Figure 4:p7,figure,Figure 4,7,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,digitization/figures/source_pages/002a60bc__page-007.png,1489,1956,digitization/figures/crop_review/002a60bc__survival__figure-figure-4__page-7__crop-001.png,"94,34,1296,1818",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/002a60bc__survival__figure-figure-4_panel-<panel>.png,digitization/data/002a60bc__survival__figure-figure-4_panel-<panel>.csv,not_checked,not_checked,"FIGURE 4. The percent tissue mortality (mean +/- SE; n = 10-11 per treatment) of massive Porites nubbins after the addition of Coralliophila violacea snails, averaged over three study dates. Panels show significant two-way interactions among nutrient enrichment, snail predation, and sediment addition.",,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,figure:Fig. 2:p4,figure,Fig. 2,4,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,digitization/figures/source_pages/034d4e10__page-004.png,1530,1980,digitization/figures/crop_review/034d4e10__rate__figure-fig-2__page-4__crop-001.png,"42,24,1444,1935",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/034d4e10__rate__figure-fig-2_panel-<panel>.png,digitization/data/034d4e10__rate__figure-fig-2_panel-<panel>.csv,not_checked,not_checked,Fig. 2. Means and standard deviations of tissue regeneration of small injuries. a. Small-Top-Tissue lesion (STT). b. Small-Top-Skeleton lesion (STSk). c. Small-Bottom-Tissue lesion (SBT). d. Small-Bottom-Skeleton lesion (SBSk).,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,figure:Fig. 3:p4,figure,Fig. 3,4,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,digitization/figures/source_pages/034d4e10__page-004.png,1530,1980,digitization/figures/crop_review/034d4e10__rate__figure-fig-3__page-4__crop-002.png,"42,24,1444,1935",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/034d4e10__rate__figure-fig-3_panel-<panel>.png,digitization/data/034d4e10__rate__figure-fig-3_panel-<panel>.csv,not_checked,not_checked,Fig. 3. Means and standard deviations of tissue regeneration of large injuries. a. Large-Top-Tissue lesion (LTT). b. Large-Top-Skeleton lesion (LTSk). c. Large-Bottom-Tissue lesion (LBT). d. Large-Bottom-Skeleton lesion (LBSk).,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,mixed_visual_quantitative_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,figure:Fig. 4:p5,figure,Fig. 4,5,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,digitization/figures/source_pages/034d4e10__page-005.png,1530,1980,digitization/figures/crop_review/034d4e10__rate__figure-fig-4__page-5__crop-003.png,"42,24,1444,1935",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/034d4e10__rate__figure-fig-4_panel-<panel>.png,digitization/data/034d4e10__rate__figure-fig-4_panel-<panel>.csv,not_checked,not_checked,"Fig. 4. Representative images showing the tissue regeneration mechanism at 0, 3, 17, 60 and 90 days. a. Small-Top-Tissue lesion (STT) recovering homogeneously at many points. b. Small-Top-Skeleton lesion (STSk) recovering from the edge toward the center. c. Large-Bottom-Tissue lesion (LBT) recovering homogeneously at many points.",,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,table_transcription_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,table:Table 1:p6,table,Table 1,6,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,digitization/figures/source_pages/034d4e10__page-006.png,1530,1980,digitization/figures/crop_review/034d4e10__rate__table-table-1__page-6__crop-004.png,"42,24,1444,1935",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/034d4e10__rate__table-table-1_panel-<panel>.png,digitization/data/034d4e10__rate__table-table-1_panel-<panel>.csv,not_checked,not_checked,"TABLE 1. Means and standard deviations (in brackets) of tissue regeneration rates at each reef site for small-top-tissue, small-top-skeleton, large-top-tissue, large-top-skeleton, small-bottom-tissue, and small-bottom-skeleton lesions. Tissue regeneration rates are reported in cm2/day by monitoring day.",,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-04e10b24-rate,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,figure:Fig. 1:p3,figure,Fig. 1,3,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,digitization/figures/source_pages/04e10b24__page-003.png,1488,1963,digitization/figures/crop_review/04e10b24__rate__figure-fig-1__page-3__crop-001.png,"102,108,1286,1732",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/04e10b24__rate__figure-fig-1_panel-<panel>.png,digitization/data/04e10b24__rate__figure-fig-1_panel-<panel>.csv,not_checked,not_checked,Fig. 1. Fungia granulosa. A comparison of repair rates of three lesion sizes in large and small individuals during fall and spring experiments.,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,table_transcription_candidate,DIG-04e10b24-rate,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,table:Table 1:p4,table,Table 1,4,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,digitization/figures/source_pages/04e10b24__page-004.png,1488,1963,digitization/figures/crop_review/04e10b24__rate__table-table-1__page-4__crop-002.png,"666,153,722,1701",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/04e10b24__rate__table-table-1_panel-<panel>.png,digitization/data/04e10b24__rate__table-table-1_panel-<panel>.csv,not_checked,not_checked,Table 1. Fungia granulosa. Percent of large corals undergoing complete recovery during fall and spring at two different temperature regimes in the laboratory.,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,table_transcription_candidate,DIG-06ab1757-survival,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,survival,table:Table 1:p4,table,Table 1,4,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,digitization/figures/source_pages/06ab1757__page-004.png,1531,2006,digitization/figures/crop_review/06ab1757__survival__table-table-1__page-4__crop-001.png,"148,94,1235,1751",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/06ab1757__survival__table-table-1_panel-<panel>.png,digitization/data/06ab1757__survival__table-table-1_panel-<panel>.csv,not_checked,not_checked,"Table 1. Fate of feeding scars formed on healthy Porites rus plates (n = 10 per treatment; several plates contained more than one scar) partitioned by feeding treatment. Metrics include lesions progressing, scars healing, lesion progression rate, and feeding scar healing rate.",,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,mixed_visual_quantitative_candidate,DIG-06ab1757-survival,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,survival,figure:Fig. 2:p4,figure,Fig. 2,4,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,digitization/figures/source_pages/06ab1757__page-004.png,1531,2006,digitization/figures/crop_review/06ab1757__survival__figure-fig-2__page-4__crop-002.png,"148,94,666,1751",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/06ab1757__survival__figure-fig-2_panel-<panel>.png,digitization/data/06ab1757__survival__figure-fig-2_panel-<panel>.csv,not_checked,not_checked,"Fig. 2. Time series photographs of progressive tissue loss resembling white syndrome in Porites rus, originating from three feeding scars. Tissue continued to slough after the snail was removed; areas of tissue loss coalesced and additional tissue loss initiated along another feeding scar.",,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-070cf5f2-rate,070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,figure:Fig. 1:p1,figure,Fig. 1,1,literature/META_ANALYSIS_POOL/Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,digitization/figures/source_pages/070cf5f2__page-001.png,1453,1985,digitization/figures/crop_review/070cf5f2__rate__figure-fig-1__page-1__crop-001.png,"78,59,1302,1907",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/070cf5f2__rate__figure-fig-1_panel-<panel>.png,digitization/data/070cf5f2__rate__figure-fig-1_panel-<panel>.csv,not_checked,not_checked,"Fig. 1 Skeletal growth rate in damaged colonies of S. pistillata. The corals were divided into size groups according to geometric mean radius after breakage; bars show radius, standard deviations, decrease after breakage, and estimated days of growth required to regain original radius.",,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-070cf5f2-rate,070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,figure:Fig. 2:p2,figure,Fig. 2,2,literature/META_ANALYSIS_POOL/Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,digitization/figures/source_pages/070cf5f2__page-002.png,1453,1985,digitization/figures/crop_review/070cf5f2__rate__figure-fig-2__page-2__crop-002.png,"69,61,704,905",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/070cf5f2__rate__figure-fig-2_panel-<panel>.png,digitization/data/070cf5f2__rate__figure-fig-2_panel-<panel>.csv,not_checked,not_checked,Fig. 2 Comparison between the mean percentage increase in geometric mean radius per month of damaged corals and intact control corals belonging to the same size interval.,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-0ccdd954-rate,0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,rate,figure:Figure 2:p8,figure,Figure 2,8,literature/META_ANALYSIS_POOL/Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,digitization/figures/source_pages/0ccdd954__page-008.png,1530,1980,digitization/figures/crop_review/0ccdd954__rate__figure-figure-2__page-8__crop-001.png,"67,68,1397,1846",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/0ccdd954__rate__figure-figure-2_panel-<panel>.png,digitization/data/0ccdd954__rate__figure-figure-2_panel-<panel>.csv,not_checked,not_checked,Figure 2. Wound healing rates of Pocillopora meandrina. Wound healing rates (mm2 day-1; mean +/- SE) of wounded Pocillopora meandrina nubbins under different temperature and nutrient treatments. Points show data distribution; letters represent significant differences among treatments.,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,table_transcription_candidate,DIG-0ccdd954-rate,0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,rate,table:Table 1:p9,table,Table 1,9,literature/META_ANALYSIS_POOL/Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,digitization/figures/source_pages/0ccdd954__page-009.png,1530,1980,digitization/figures/crop_review/0ccdd954__rate__table-table-1__page-9__crop-002.png,"67,68,1397,1846",page_content_bbox_fallback,caption_bbox_not_found,all_unverified,digitization/figures/0ccdd954__rate__table-table-1_panel-<panel>.png,digitization/data/0ccdd954__rate__table-table-1_panel-<panel>.csv,not_checked,not_checked,Table 1. Linear mixed-effects model results for healing rate (mm2 day-1) of wounded corals with Kenward-Roger approximation for degrees of freedom.,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-12e9e864-rate,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,figure:Figure I:p2,figure,Figure I,2,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,digitization/figures/source_pages/12e9e864__page-002.png,1158,1740,digitization/figures/crop_review/12e9e864__rate__figure-figure-i__page-2__crop-001.png,"106,87,942,732",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/12e9e864__rate__figure-figure-i_panel-<panel>.png,digitization/data/12e9e864__rate__figure-figure-i_panel-<panel>.csv,not_checked,not_checked,"Figure I. (Left) Rates of regeneration of the two coral species expressed as percentage of lesions completely recovered. Open circles, Agaricia agaricites 1 cm2 tissue lesions; closed circles, A. agaricites 1 cm2 tissue and skeleton lesions; open squares, Porites astreoides 1 cm2 tissue lesions; closed squares, P. astreoides 1 cm2 tissue and skeleton lesions. Figure 2. (Right) Regeneration in A. agaricites expressed as mean surface area of all lesions.",,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
accepted_visual_candidate,auto_crop_proposal_created,needs_human_crop_box_qa,quantitative_plot_candidate,DIG-12e9e864-rate,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,figure:Figure 3:p3,figure,Figure 3,3,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,digitization/figures/source_pages/12e9e864__page-003.png,1158,1740,digitization/figures/crop_review/12e9e864__rate__figure-figure-3__page-3__crop-002.png,"108,87,943,561",caption_segment_content_bbox,caption_bbox_found,all_unverified,digitization/figures/12e9e864__rate__figure-figure-3_panel-<panel>.png,digitization/data/12e9e864__rate__figure-figure-3_panel-<panel>.csv,not_checked,not_checked,Figure 3. (Left) Regeneration in Porites astreoides expressed as mean surface area of all lesions. Figure 4. (Right) Regeneration expressed as percentage of lesions regenerating >75% of surface area. After about 70 days the number of lesions re-covering for 75% does not increase.,,Review crop proposal against source page; adjust crop box and panel label before treating as a final clip.
