queue_id,queue_audit_status,source_id,paper_title,response_type,local_relpath,candidate_descriptor,candidate_type,candidate_label,pdf_page,source_page_render,render_status,candidate_text,next_action
DIG-002a60bc-rate,audited_candidate_available,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,rate,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,figure:Figure 5:p9,figure,Figure 5,9,digitization/figures/source_pages/002a60bc__page-009.png,rendered,FIGURE 5. Percent of each wound healed (mean +/- SE; n = 10-11 per treatment) for massive Porites nubbins exposed to predation by Coralliophila violacea. Corals were exposed to nutrient enrichment and sediment addition.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-002a60bc-survival,audited_candidate_available,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,figure:Figure 4:p7,figure,Figure 4,7,digitization/figures/source_pages/002a60bc__page-007.png,rendered,"FIGURE 4. The percent tissue mortality (mean +/- SE; n = 10-11 per treatment) of massive Porites nubbins after the addition of Coralliophila violacea snails, averaged over three study dates. Panels show significant two-way interactions among nutrient enrichment, snail predation, and sediment addition.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-034d4e10-rate,audited_candidate_available,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,figure:Fig. 2:p4,figure,Fig. 2,4,digitization/figures/source_pages/034d4e10__page-004.png,rendered,Fig. 2. Means and standard deviations of tissue regeneration of small injuries. a. Small-Top-Tissue lesion (STT). b. Small-Top-Skeleton lesion (STSk). c. Small-Bottom-Tissue lesion (SBT). d. Small-Bottom-Skeleton lesion (SBSk).,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-034d4e10-rate,audited_candidate_available,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,figure:Fig. 3:p4,figure,Fig. 3,4,digitization/figures/source_pages/034d4e10__page-004.png,rendered,Fig. 3. Means and standard deviations of tissue regeneration of large injuries. a. Large-Top-Tissue lesion (LTT). b. Large-Top-Skeleton lesion (LTSk). c. Large-Bottom-Tissue lesion (LBT). d. Large-Bottom-Skeleton lesion (LBSk).,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-034d4e10-rate,audited_candidate_available,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,figure:Fig. 4:p5,figure,Fig. 4,5,digitization/figures/source_pages/034d4e10__page-005.png,rendered,"Fig. 4. Representative images showing the tissue regeneration mechanism at 0, 3, 17, 60 and 90 days. a. Small-Top-Tissue lesion (STT) recovering homogeneously at many points. b. Small-Top-Skeleton lesion (STSk) recovering from the edge toward the center. c. Large-Bottom-Tissue lesion (LBT) recovering homogeneously at many points.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-034d4e10-rate,audited_candidate_available,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,table:Table 1:p6,table,Table 1,6,digitization/figures/source_pages/034d4e10__page-006.png,rendered,"TABLE 1. Means and standard deviations (in brackets) of tissue regeneration rates at each reef site for small-top-tissue, small-top-skeleton, large-top-tissue, large-top-skeleton, small-bottom-tissue, and small-bottom-skeleton lesions. Tissue regeneration rates are reported in cm2/day by monitoring day.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-04e10b24-rate,audited_candidate_available,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,figure:Fig. 1:p3,figure,Fig. 1,3,digitization/figures/source_pages/04e10b24__page-003.png,rendered,Fig. 1. Fungia granulosa. A comparison of repair rates of three lesion sizes in large and small individuals during fall and spring experiments.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-04e10b24-rate,audited_candidate_available,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,table:Table 1:p4,table,Table 1,4,digitization/figures/source_pages/04e10b24__page-004.png,rendered,Table 1. Fungia granulosa. Percent of large corals undergoing complete recovery during fall and spring at two different temperature regimes in the laboratory.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-06ab1757-survival,audited_candidate_available,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,survival,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,table:Table 1:p4,table,Table 1,4,digitization/figures/source_pages/06ab1757__page-004.png,rendered,"Table 1. Fate of feeding scars formed on healthy Porites rus plates (n = 10 per treatment; several plates contained more than one scar) partitioned by feeding treatment. Metrics include lesions progressing, scars healing, lesion progression rate, and feeding scar healing rate.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-06ab1757-survival,audited_candidate_available,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,survival,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,figure:Fig. 2:p4,figure,Fig. 2,4,digitization/figures/source_pages/06ab1757__page-004.png,rendered,"Fig. 2. Time series photographs of progressive tissue loss resembling white syndrome in Porites rus, originating from three feeding scars. Tissue continued to slough after the snail was removed; areas of tissue loss coalesced and additional tissue loss initiated along another feeding scar.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
