queue_id,queue_audit_status,source_id,paper_title,response_type,source_file_status,local_relpath,candidate_rows_reviewed,verified_candidate_rows,replacement_candidate_rows,rejected_candidate_rows,blocked_rows,recommended_candidate_count,recommended_candidates,recommended_candidate_text,rejected_original_candidates,needs_manual_visual_review,recommended_action
DIG-002a60bc-rate,audited_candidate_available,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,1,0,1,0,0,1,figure:Figure 5:p9,figure:Figure 5:p9 :: FIGURE 5. Percent of each wound healed (mean +/- SE; n = 10-11 per treatment) for massive Porites nubbins exposed to predation by Coralliophila violacea. Corals were exposed to nutrient enrichment and sediment addition.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-002a60bc-survival,audited_candidate_available,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,1,0,1,0,0,1,figure:Figure 4:p7,"figure:Figure 4:p7 :: FIGURE 4. The percent tissue mortality (mean +/- SE; n = 10-11 per treatment) of massive Porites nubbins after the addition of Coralliophila violacea snails, averaged over three study dates. Panels show significant two-way interactions among nutrient enrichment, snail predation, and sediment addition.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-034d4e10-rate,audited_candidate_available,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,5,0,5,0,0,4,figure:Fig. 2:p4|figure:Fig. 3:p4|figure:Fig. 4:p5|table:Table 1:p6,"figure:Fig. 2:p4 :: Fig. 2. Means and standard deviations of tissue regeneration of small injuries. a. Small-Top-Tissue lesion (STT). b. Small-Top-Skeleton lesion (STSk). c. Small-Bottom-Tissue lesion (SBT). d. Small-Bottom-Skeleton lesion (SBSk). || figure:Fig. 3:p4 :: Fig. 3. Means and standard deviations of tissue regeneration of large injuries. a. Large-Top-Tissue lesion (LTT). b. Large-Top-Skeleton lesion (LTSk). c. Large-Bottom-Tissue lesion (LBT). d. Large-Bottom-Skeleton lesion (LBSk). || figure:Fig. 4:p5 :: Fig. 4. Representative images showing the tissue regeneration mechanism at 0, 3, 17, 60 and 90 days. a. Small-Top-Tissue lesion (STT) recovering homogeneously at many points. b. Small-Top-Skeleton lesion (STSk) recovering from the edge toward the center. c. Large-Bottom-Tissue lesion (LBT) recovering homogeneously at many points. || table:Table 1:p6 :: TABLE 1. Means and standard deviations (in brackets) of tissue regeneration rates at each reef site for small-top-tissue, small-top-skeleton, large-top-tissue, large-top-skeleton, small-bottom-tissue, and small-bottom-skeleton lesions. Tissue regeneration rates are reported in cm2/day by monitoring day.",,yes,Visually confirm rendered PDF page before clipping; OCR found only partial or in-text evidence.
DIG-04e10b24-rate,audited_candidate_available,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,4,2,2,0,0,2,figure:Fig. 1:p3|table:Table 1:p4,figure:Fig. 1:p3 :: Fig. 1. Fungia granulosa. A comparison of repair rates of three lesion sizes in large and small individuals during fall and spring experiments. || table:Table 1:p4 :: Table 1. Fungia granulosa. Percent of large corals undergoing complete recovery during fall and spring at two different temperature regimes in the laboratory.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-06ab1757-growth,no_valid_candidate_found,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,5,0,0,5,0,0,,,figure:Fig. 3:p6|figure:Fig. 2:p4|figure:Fig. 4B:p4|table:Table 1:p4|table:Table 2:p5,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-06ab1757-survival,audited_candidate_available,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,5,2,3,0,0,2,table:Table 1:p4|figure:Fig. 2:p4,"table:Table 1:p4 :: Table 1. Fate of feeding scars formed on healthy Porites rus plates (n = 10 per treatment; several plates contained more than one scar) partitioned by feeding treatment. Metrics include lesions progressing, scars healing, lesion progression rate, and feeding scar healing rate. || figure:Fig. 2:p4 :: Fig. 2. Time series photographs of progressive tissue loss resembling white syndrome in Porites rus, originating from three feeding scars. Tissue continued to slough after the snail was removed; areas of tissue loss coalesced and additional tissue loss initiated along another feeding scar.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-070cf5f2-rate,audited_candidate_available,070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,5,1,4,0,0,2,figure:Fig. 1:p1|figure:Fig. 2:p2,"figure:Fig. 1:p1 :: Fig. 1 Skeletal growth rate in damaged colonies of S. pistillata. The corals were divided into size groups according to geometric mean radius after breakage; bars show radius, standard deviations, decrease after breakage, and estimated days of growth required to regain original radius. || figure:Fig. 2:p2 :: Fig. 2 Comparison between the mean percentage increase in geometric mean radius per month of damaged corals and intact control corals belonging to the same size interval.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-0ccdd954-rate,audited_candidate_available,0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,5,2,3,0,0,2,figure:Figure 2:p8|table:Table 1:p9,figure:Figure 2:p8 :: Figure 2. Wound healing rates of Pocillopora meandrina. Wound healing rates (mm2 day-1; mean +/- SE) of wounded Pocillopora meandrina nubbins under different temperature and nutrient treatments. Points show data distribution; letters represent significant differences among treatments. || table:Table 1:p9 :: Table 1. Linear mixed-effects model results for healing rate (mm2 day-1) of wounded corals with Kenward-Roger approximation for degrees of freedom.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-12e9e864-rate,audited_candidate_available,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,5,3,2,0,0,3,figure:Figure I:p2|figure:Figure 3:p3|table:Table I:p3,"figure:Figure I:p2 :: Figure I. (Left) Rates of regeneration of the two coral species expressed as percentage of lesions completely recovered. Open circles, Agaricia agaricites 1 cm2 tissue lesions; closed circles, A. agaricites 1 cm2 tissue and skeleton lesions; open squares, Porites astreoides 1 cm2 tissue lesions; closed squares, P. astreoides 1 cm2 tissue and skeleton lesions. Figure 2. (Right) Regeneration in A. agaricites expressed as mean surface area of all lesions. || figure:Figure 3:p3 :: Figure 3. (Left) Regeneration in Porites astreoides expressed as mean surface area of all lesions. Figure 4. (Right) Regeneration expressed as percentage of lesions regenerating >75% of surface area. After about 70 days the number of lesions re-covering for 75% does not increase. || table:Table I:p3 :: Table I. Changes in size (area) of natural lesions on control colonies after a 140 days period.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-12e9e864-survival,no_valid_candidate_found,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,5,0,0,5,0,0,,,figure:Fig. I:p4|figure:Figure I:p2|figure:Figure 3:p3|table:Table 1:p3|table:Table I:p3,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
