queue_id,digitization_status,source_id,paper_title,response_type,source_file_status,local_relpath,pdf_sha256,pdf_page_count,caption_parse_status,candidate_rank,candidate_score,candidate_type,candidate_label,candidate_page,candidate_text,matched_terms,review_status,selected_for_clipping,reviewer,review_notes,required_clip_naming_rule,required_data_naming_rule
DIG-dde85c3e-growth,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,1,45,figure,Fig. 5,5,"Fig. 5. Acropora palmata. Surface area of lesions over time rounding the lesion does not grow over the lesion but showing recovery rate. Tissue lesions: closed circles, tissue+ extends vertically, chimney-shaped, enclosing the tufts of skeleton lesions: open circles algae growing on the lesion. The neoplasia as well as regeneration of lesions require calcification, which proves to interfere with the normal calcification of the branch. When energy has to be al- Foreign material, such as dolomite (CaMg (CO~)2) and located to an additional energy sink, i.e. abnormal cal- low-magnesium calcite (MgCO3), was present in the cification, available resources appear limited. This indi- samples of lesions of both types. This corroborates the cates how narrow the margins are, in terms of energy, for description of the regeneration process as involving metabolic processes and ultimately for survival. Potts simultaneously tissue growth and calcification of new (1977), working with Acroporapalifera Lamarck, suggested skeletal components over the damaged surface. The con- that exhaustion of metabolic reserves through energy trols always consisted of pure aragonite. spent in cleaning the coral su...",growth|calcification|skeletal|area,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__growth__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__growth__fig-<printed-label>_panel-<panel>.csv
DIG-dde85c3e-growth,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,2,15,figure,Fig. 3,4,Fig. 3. Acropora paImata. Growth rates of branches. 0 Horizontal bar of each data point denotes experimental period. Vertical bars show SD. Growth of controls: closed circles (connected by dashes). Growth of neo-,growth,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__growth__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__growth__fig-<printed-label>_panel-<panel>.csv
DIG-dde85c3e-growth,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,3,10,figure,Fig. 1,2,"Fig. 1. Acroporapalrnata. Neoplasia in corals. A: Colonies covered with white neoplasia (depth 1-2 m, southwest coast Curagao). B: Living neoplasm displays the scarcity of polyps at the characteristically smooth surface of the protuberance. Note swollen tissue at border between neoplasm and normal coral surface. Scale bar 0.4 cm. C: Skeletal surface of neoplasm (upper left) and normal branch (lower right). Note coenosteal structure of neoplasm. Scale bar 0.2 cm. D: Neoplasm on corallum ofAgaricia lamarcki (collected at 32 m, southwest coast Curacao). Note absence of normal polypary organization over the bulbous neoplasm. Scale bar l cm",skeletal,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__growth__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__growth__fig-<printed-label>_panel-<panel>.csv
DIG-dde85c3e-growth,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,4,0,figure,Fig. 4,4,"Fig. 4. Rates of regeneration of tissue lesions (t, dashed lines) and 80 tissue+skeleton lesions (ts, solid lines) expressed as percentage of / .- .... a23t lesions completely recovered. Z Coral species and depth of ex- _o 6 0 perimental colonies; Ap: Acropora ..a palmata 2 m; Pa: Porites astreoides 10m and 23 m; Ma: Montastrea Q~ annularis 10m; Aa: A garicia .c agarieites 10 m and 25 m. Original data points for A. palmata this report (tissue: open circles, tis- sue+skeleton: closed circles) and 0 ts for P. astreoides 10m Bak, un- 20 published data (tissue: open circles, tissue + skeleton: closed ..// ~ ....................... A . 2s t circles). Other lines adapted from 7 / ./ ~."""" """" / A a 25 ts Bak et al., 1977 and Bak and Ste- ward-van Es, 1980 20 40 60 80 100 120 140 DAYS",,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__growth__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__growth__fig-<printed-label>_panel-<panel>.csv
DIG-dde85c3e-rate,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,1,75,figure,Fig. 5,5,"Fig. 5. Acropora palmata. Surface area of lesions over time rounding the lesion does not grow over the lesion but showing recovery rate. Tissue lesions: closed circles, tissue+ extends vertically, chimney-shaped, enclosing the tufts of skeleton lesions: open circles algae growing on the lesion. The neoplasia as well as regeneration of lesions require calcification, which proves to interfere with the normal calcification of the branch. When energy has to be al- Foreign material, such as dolomite (CaMg (CO~)2) and located to an additional energy sink, i.e. abnormal cal- low-magnesium calcite (MgCO3), was present in the cification, available resources appear limited. This indi- samples of lesions of both types. This corroborates the cates how narrow the margins are, in terms of energy, for description of the regeneration process as involving metabolic processes and ultimately for survival. Potts simultaneously tissue growth and calcification of new (1977), working with Acroporapalifera Lamarck, suggested skeletal components over the damaged surface. The con- that exhaustion of metabolic reserves through energy trols always consisted of pure aragonite. spent in cleaning the coral su...",regeneration|recovery|lesion|tissue|area|rate|time,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__rate__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__rate__fig-<printed-label>_panel-<panel>.csv
DIG-dde85c3e-rate,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,2,25,figure,Fig. 4,4,"Fig. 4. Rates of regeneration of tissue lesions (t, dashed lines) and 80 tissue+skeleton lesions (ts, solid lines) expressed as percentage of / .- .... a23t lesions completely recovered. Z Coral species and depth of ex- _o 6 0 perimental colonies; Ap: Acropora ..a palmata 2 m; Pa: Porites astreoides 10m and 23 m; Ma: Montastrea Q~ annularis 10m; Aa: A garicia .c agarieites 10 m and 25 m. Original data points for A. palmata this report (tissue: open circles, tis- sue+skeleton: closed circles) and 0 ts for P. astreoides 10m Bak, un- 20 published data (tissue: open circles, tissue + skeleton: closed ..// ~ ....................... A . 2s t circles). Other lines adapted from 7 / ./ ~."""" """" / A a 25 ts Bak et al., 1977 and Bak and Ste- ward-van Es, 1980 20 40 60 80 100 120 140 DAYS",regeneration|tissue,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__rate__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__rate__fig-<printed-label>_panel-<panel>.csv
DIG-dde85c3e-rate,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,3,10,figure,Fig. 1,2,"Fig. 1. Acroporapalrnata. Neoplasia in corals. A: Colonies covered with white neoplasia (depth 1-2 m, southwest coast Curagao). B: Living neoplasm displays the scarcity of polyps at the characteristically smooth surface of the protuberance. Note swollen tissue at border between neoplasm and normal coral surface. Scale bar 0.4 cm. C: Skeletal surface of neoplasm (upper left) and normal branch (lower right). Note coenosteal structure of neoplasm. Scale bar 0.2 cm. D: Neoplasm on corallum ofAgaricia lamarcki (collected at 32 m, southwest coast Curacao). Note absence of normal polypary organization over the bulbous neoplasm. Scale bar l cm",tissue,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__rate__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__rate__fig-<printed-label>_panel-<panel>.csv
DIG-dde85c3e-rate,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,7,parsed,4,0,figure,Fig. 3,4,Fig. 3. Acropora paImata. Growth rates of branches. 0 Horizontal bar of each data point denotes experimental period. Vertical bars show SD. Growth of controls: closed circles (connected by dashes). Growth of neo-,,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/dde85c3e__rate__fig-<printed-label>_panel-<panel>.png,digitization/data/dde85c3e__rate__fig-<printed-label>_panel-<panel>.csv
DIG-12e9e864-rate,needs_figure_id,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,85a283634b3f69ddf03f9e9395e654856d7f09a83d96e7187fb7c62d952856c3,5,parsed,1,35,figure,Figure I,2,"Figure I. (Left) Rates of regeneration of the two coral species expressed as percentage of lesions completely recovered. Open circles, A. agariciles 1 cm"" tissue lesions, n = 25; closed circles, A. agaricites I cm"" tissue and skeleton lesions, n = 26; open squares, P. astreoides I cm"" tissue lesions, n = 22; closed squares, P. aslreoides 1 cm"" tissue and skeleton lesions, n = 25. Figure 2. (Right) Regeneration in A. agariciles expressed as mean surface area of all lesions. Triangles, 5 cm"" tissue and skeleton lesions, n = 24. For other symbols see Fig. I.",regeneration|tissue|area,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/12e9e864__rate__fig-<printed-label>_panel-<panel>.png,digitization/data/12e9e864__rate__fig-<printed-label>_panel-<panel>.csv
DIG-12e9e864-rate,needs_figure_id,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,85a283634b3f69ddf03f9e9395e654856d7f09a83d96e7187fb7c62d952856c3,5,parsed,2,35,figure,Figure 3,3,"Figure 3. (Left) Regeneration in P. astreoides expressed as mean surface area of all lesions. Tri- angles, 5 cm"" tissue and skeleton lesions, n = 25. For other symbols see Fig. I. Figure 4. (Right) Regeneration expressed as percentage of lesions regenerating '375% of surface area. After """"70 days the number of lesions re-covering for 75% does not increase. This is indicated by level of broken lines. For explanation of symbols see Fig. I.",regeneration|tissue|area,candidate_review_needed,,,Select the exact printed figure/table label and panel before assigning clip/data paths.,digitization/figures/12e9e864__rate__fig-<printed-label>_panel-<panel>.png,digitization/data/12e9e864__rate__fig-<printed-label>_panel-<panel>.csv
