reaudit_row_type,visual_reaudit_status,crop_readiness,extractability_class,queue_id,source_id,paper_title,response_type,candidate_descriptor,candidate_type,candidate_label,pdf_page,source_page_render,render_status,image_width,image_height,image_nonblank,candidate_text,caption_audit_status,caption_rejection_reason,original_candidate_type,original_candidate_label,original_candidate_page,audit_file,recommended_action
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,quantitative_plot_candidate,DIG-002a60bc-rate,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,rate,figure:Figure 5:p9,figure,Figure 5,9,digitization/figures/source_pages/002a60bc__page-009.png,already_rendered,1489,1956,yes,FIGURE 5. Percent of each wound healed (mean +/- SE; n = 10-11 per treatment) for massive Porites nubbins exposed to predation by Coralliophila violacea. Corals were exposed to nutrient enrichment and sediment addition.,accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,quantitative_plot_candidate,DIG-002a60bc-survival,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,figure:Figure 4:p7,figure,Figure 4,7,digitization/figures/source_pages/002a60bc__page-007.png,already_rendered,1489,1956,yes,"FIGURE 4. The percent tissue mortality (mean +/- SE; n = 10-11 per treatment) of massive Porites nubbins after the addition of Coralliophila violacea snails, averaged over three study dates. Panels show significant two-way interactions among nutrient enrichment, snail predation, and sediment addition.",accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,quantitative_plot_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,figure:Fig. 2:p4,figure,Fig. 2,4,digitization/figures/source_pages/034d4e10__page-004.png,already_rendered,1530,1980,yes,Fig. 2. Means and standard deviations of tissue regeneration of small injuries. a. Small-Top-Tissue lesion (STT). b. Small-Top-Skeleton lesion (STSk). c. Small-Bottom-Tissue lesion (SBT). d. Small-Bottom-Skeleton lesion (SBSk).,accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,quantitative_plot_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,figure:Fig. 3:p4,figure,Fig. 3,4,digitization/figures/source_pages/034d4e10__page-004.png,already_rendered,1530,1980,yes,Fig. 3. Means and standard deviations of tissue regeneration of large injuries. a. Large-Top-Tissue lesion (LTT). b. Large-Top-Skeleton lesion (LTSk). c. Large-Bottom-Tissue lesion (LBT). d. Large-Bottom-Skeleton lesion (LBSk).,accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,mixed_visual_quantitative_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,figure:Fig. 4:p5,figure,Fig. 4,5,digitization/figures/source_pages/034d4e10__page-005.png,already_rendered,1530,1980,yes,"Fig. 4. Representative images showing the tissue regeneration mechanism at 0, 3, 17, 60 and 90 days. a. Small-Top-Tissue lesion (STT) recovering homogeneously at many points. b. Small-Top-Skeleton lesion (STSk) recovering from the edge toward the center. c. Large-Bottom-Tissue lesion (LBT) recovering homogeneously at many points.",accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,table_transcription_candidate,DIG-034d4e10-rate,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,table:Table 1:p6,table,Table 1,6,digitization/figures/source_pages/034d4e10__page-006.png,already_rendered,1530,1980,yes,"TABLE 1. Means and standard deviations (in brackets) of tissue regeneration rates at each reef site for small-top-tissue, small-top-skeleton, large-top-tissue, large-top-skeleton, small-bottom-tissue, and small-bottom-skeleton lesions. Tissue regeneration rates are reported in cm2/day by monitoring day.",accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,quantitative_plot_candidate,DIG-04e10b24-rate,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,figure:Fig. 1:p3,figure,Fig. 1,3,digitization/figures/source_pages/04e10b24__page-003.png,already_rendered,1488,1963,yes,Fig. 1. Fungia granulosa. A comparison of repair rates of three lesion sizes in large and small individuals during fall and spring experiments.,accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,table_transcription_candidate,DIG-04e10b24-rate,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,table:Table 1:p4,table,Table 1,4,digitization/figures/source_pages/04e10b24__page-004.png,already_rendered,1488,1963,yes,Table 1. Fungia granulosa. Percent of large corals undergoing complete recovery during fall and spring at two different temperature regimes in the laboratory.,accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,table_transcription_candidate,DIG-06ab1757-survival,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,survival,table:Table 1:p4,table,Table 1,4,digitization/figures/source_pages/06ab1757__page-004.png,already_rendered,1531,2006,yes,"Table 1. Fate of feeding scars formed on healthy Porites rus plates (n = 10 per treatment; several plates contained more than one scar) partitioned by feeding treatment. Metrics include lesions progressing, scars healing, lesion progression rate, and feeding scar healing rate.",accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
accepted_visual_candidate,source_page_image_verified,ready_for_manual_crop_or_table_transcription,mixed_visual_quantitative_candidate,DIG-06ab1757-survival,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,survival,figure:Fig. 2:p4,figure,Fig. 2,4,digitization/figures/source_pages/06ab1757__page-004.png,already_rendered,1531,2006,yes,"Fig. 2. Time series photographs of progressive tissue loss resembling white syndrome in Porites rus, originating from three feeding scars. Tissue continued to slough after the snail was removed; areas of tissue loss coalesced and additional tissue loss initiated along another feeding scar.",accepted,,,,,,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
