table_name,csv_line,source_id,paper_title,local_relpath,response_type,source_file_status,source_pdf_sha256,workplan_crosswalk_status,source_match_status,figure_or_table_label,page,panel_label,extraction_provenance,qa_status,units_field,units_value,variance_type_field,variance_type_value,sample_size_field,sample_size_value,value_fields,missing_required_fields,review_status,recommended_action,reviewer,review_notes
EXTRACTION_RATES.csv,2,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,local_pdf_available,77e9f3f18ad7e535ce5606fdbfd3e838c9cd78f55901d64d1bcbb582af2ba371,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rate_Unit,Exponential Slope (k),Variance_Type,None,Sample_Size,32,Rate_Value=-0.048,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_RATES.csv,3,09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,rate,local_pdf_available,bee397b4ad131f60e58309ac7b1648a3fa95b2d73296add0dd24d2ebec48eae8,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rate_Unit,mm2 d-1,Variance_Type,SD,Sample_Size,170,Rate_Value=13.0,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_RATES.csv,4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,rate,local_pdf_available,e1c5f050c0b5b71a4aa23afe7d1db5c164601ddcc9054bd3276c1d2819f56008,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rate_Unit,mm2 d-1,Variance_Type,SD,Sample_Size,46,Rate_Value=4.7,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_RATES.csv,5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,rate,local_pdf_available,17a366539176f1535aaa85551c2333737f856476ef16ba8c0aa645fb5c120abb,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rate_Unit,Exponential Slope (k),Variance_Type,95% CL,Sample_Size,25,Rate_Value=-0.076,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_RATES.csv,6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,local_pdf_available,8aef847ed9ed2d10f5cb9cba9affb6da70aa93540c796ac3b9752dcb202056d1,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rate_Unit,mm d-1,Variance_Type,SD,Sample_Size,5,Rate_Value=0.11,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_RATES.csv,7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,rate,local_pdf_available,2b6c91f0ad2cbd84f6bfca8d8361d9b528a9d865b6f70ff9a73b8d2660075bf9,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rate_Unit,mm2 d-1,Variance_Type,SE,Sample_Size,30,Rate_Value=2.8,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_RATES.csv,8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,local_pdf_available,7699130874ecf1ca00ceadb5707ad11ed1ba29dd51c24929e93dde27ebebee49,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rate_Unit,% d-1,Variance_Type,SE,Sample_Size,60,Rate_Value=3.1,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,2,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,local_pdf_available,1cc24104a68e64c296bee5ac19098ce87b4ec3220194033a085af6665b24e654,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Egg Number/Polyp,Var_Type,SE,Sample_Size,57,Control_Mean=6.2; Control_Var=0.08; Wounded_Mean=5.1; Wounded_Var=0.07,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,3,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,local_pdf_available,1cc24104a68e64c296bee5ac19098ce87b4ec3220194033a085af6665b24e654,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Egg Number/Polyp,Var_Type,SE,Sample_Size,57,Control_Mean=6.0; Control_Var=0.08; Wounded_Mean=5.0; Wounded_Var=0.06,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,4,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,reproduction,local_pdf_available,7ec41c46c5640cf2400b4d31f64cf29e9cae08433f05c799a200f258aeb768c5,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Oocytes/Septum,Var_Type,SD,Sample_Size,18,Control_Mean=14.5; Control_Var=2.5; Wounded_Mean=0.9; Wounded_Var=1.1,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,local_pdf_available,d82fd98f1fbe1f38bb88c7c61e2e56414ef2e6688b39c850443acc90f379dce2,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Eggs/Polyp,Var_Type,SD,Sample_Size,225,Control_Mean=69.9; Control_Var=46; Wounded_Mean=35.0; Wounded_Var=40,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,local_pdf_available,d82fd98f1fbe1f38bb88c7c61e2e56414ef2e6688b39c850443acc90f379dce2,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Eggs/Polyp,Var_Type,SD,Sample_Size,261,Control_Mean=29.2; Control_Var=37; Wounded_Mean=7.6; Wounded_Var=15,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,7,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",reproduction,local_pdf_available,11bd5bb55b227526bcbba7ab77d3016a564ca8c47e16df793f492941b9b24cc1,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Reproductive Potential (IRP),Var_Type,SE,Sample_Size,36,Control_Mean=43.94; Control_Var=4.57; Wounded_Mean=59.58; Wounded_Var=4.55,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,8,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,local_pdf_available,675d73643373ad95e31df5ffad012447b9394b18a543a2ead7cdcbaf142ed60e,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Eggs/20 mesenteries,Var_Type,None,Sample_Size,29,Control_Mean=13.0; Control_Var=0; Wounded_Mean=6.0; Wounded_Var=0,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,9,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",reproduction,local_pdf_available,ec4395af1d7c353e489982cbf6cbcac0f50578514d783a08fb630079b7ff9fff,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,% Colonies with Gametes,Var_Type,None,Sample_Size,10,Control_Mean=80; Control_Var=0; Wounded_Mean=0; Wounded_Var=0,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
