source_id,paper_title,response_type,queue_id,original_candidate_rank,original_candidate_type,original_candidate_label,original_candidate_page,audit_status,corrected_candidate_type,corrected_candidate_label,corrected_candidate_page,corrected_candidate_text,reason,needs_manual_visual_review,evidence_method
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,growth,DIG-d110a8f5-growth,1,figure,Fig. 1,3,replace,figure,Fig. 3,4,"Fig. 3 Mean daily growth (cm, SE) of branches from fragmented and unfragmented staghorn colonies. White bars represent growth from the initial sampling period (24-39 d after fragmentation), and black bars represent growth from the complete sampling period (90-129 d after fragmentation). Data from both experiments were pooled for analysis.",Fig. 1 is a real photo caption but not the best printed growth-response data; Fig. 3 directly reports daily branch growth after fragmentation.,false,pdftotext -layout pages 3-4
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,growth,DIG-d110a8f5-growth,2,figure,Fig. 2,4,keep,figure,Fig. 2,4,Fig. 2 Amount of tissue and skeleton (linear length) of staghorn branch tips and branches used in experiment 1 (a) and 2 (b). White bars represent new coral produced by fragmented donor branches; striped bars represent total linear length of all surviving branch tips; black bars represent new coral produced by unfragmented branches in control colonies.,Printed caption on stated page and relevant to growth/productivity and surviving branch-tip output.,false,pdftotext -layout page 4
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,survival,DIG-d110a8f5-survival,1,figure,Fig. 1,3,replace,figure,Fig. 2,4,Fig. 2 Amount of tissue and skeleton (linear length) of staghorn branch tips and branches used in experiment 1 (a) and 2 (b). White bars represent new coral produced by fragmented donor branches; striped bars represent total linear length of all surviving branch tips; black bars represent new coral produced by unfragmented branches in control colonies.,Fig. 1 is a photo caption; Fig. 2 is the only printed figure summarizing surviving branch-tip output.,false,pdftotext -layout pages 3-4
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,survival,DIG-d110a8f5-survival,2,figure,Fig. 2,4,keep,figure,Fig. 2,4,Fig. 2 Amount of tissue and skeleton (linear length) of staghorn branch tips and branches used in experiment 1 (a) and 2 (b). White bars represent new coral produced by fragmented donor branches; striped bars represent total linear length of all surviving branch tips; black bars represent new coral produced by unfragmented branches in control colonies.,Printed caption on stated page; striped bars summarize total length of surviving branch tips.,false,pdftotext -layout page 4
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,DIG-070cf5f2-rate,1,figure,Fig. 4,1,replace,figure,Fig. 1,1,"Fig. 1 Skeletal growth rate in damaged colonies of S. pistillata. The corals were divided into size groups according to geometric mean radius after breakage; bars show radius, standard deviations, decrease after breakage, and estimated days of growth required to regain original radius.","Original Fig. 4 caption is from an unrelated neighboring Nature article, not the coral regeneration paper.",false,pdftotext -layout page 1
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,DIG-070cf5f2-rate,2,figure,Figure I,2,replace,figure,Fig. 1,1,"Fig. 1 Skeletal growth rate in damaged colonies of S. pistillata. The corals were divided into size groups according to geometric mean radius after breakage; bars show radius, standard deviations, decrease after breakage, and estimated days of growth required to regain original radius.",Original text is prose describing Figure I on page 2; the printed Fig. 1 caption is on page 1 and is rate-relevant.,false,pdftotext -layout pages 1-2
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,DIG-070cf5f2-rate,3,figure,Figure 2,2,replace,figure,Fig. 2,2,Fig. 2 Comparison between the mean percentage increase in geometric mean radius per month of damaged corals and intact control corals belonging to the same size interval.,Original text is prose describing Figure 2; corrected to the printed Fig. 2 caption on the same page.,false,pdftotext -layout page 2
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,DIG-070cf5f2-rate,4,figure,Fig. I,2,replace,figure,Fig. 1,1,"Fig. 1 Skeletal growth rate in damaged colonies of S. pistillata. The corals were divided into size groups according to geometric mean radius after breakage; bars show radius, standard deviations, decrease after breakage, and estimated days of growth required to regain original radius.","Original text is an inline reference to Fig. I, not a printed caption on page 2.",false,pdftotext -layout pages 1-2
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,rate,DIG-070cf5f2-rate,5,figure,Fig. 2,2,keep,figure,Fig. 2,2,Fig. 2 Comparison between the mean percentage increase in geometric mean radius per month of damaged corals and intact control corals belonging to the same size interval.,Printed caption on stated page and relevant to regeneration/growth rate comparison.,false,pdftotext -layout page 2
f7335f31-f560-4d42-9f0d-52fdbec8ece6,Meesters et al 1992 sedimentation and lesion position.pdf,rate,DIG-f7335f31-rate,1,figure,Fig. 2,4,keep,figure,Fig. 2,4,Fig. 2. Regeneration of the four species used in the long-term sediment stress experiment. Lesion size is given as the mean size of all lesions at a certain time. Fitted regression lines are drawn in graphs. Low: low sedimentation site; High: high sedimentation site.,Printed caption on stated page and directly reports lesion regeneration over time.,false,pdftotext -layout page 4
