source_table,data_file,csv_line,source_id,author,year,species,response_type,plot_panel,condition,value,value_unit,variance_type,variance_value,sample_size,row_label,qa_status,notes
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,2,dde85c3e-6c0d-4057-9a5a-116138865992,Bak,1983,Acropora palmata,rate,A_rate,reported,-0.048,Exponential Slope (k),None,0,32,Bak 1983 | Acropora palmata | Exponential Slope (k),needs_source_provenance_review,Standard 1cm2 lesion
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,3,09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis,2011,Porites lutea,rate,A_rate,reported,13.0,mm2 d-1,SD,7.0,170,Denis 2011 | Porites lutea | mm2 d-1,needs_source_provenance_review,Initial rate range 6-20
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren,1997,Favia favus,rate,A_rate,reported,4.7,mm2 d-1,SD,3.1,46,Oren 1997 | Favia favus | mm2 d-1,needs_source_provenance_review,Range 1.6 - 7.8
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Meesters,1997,Montastraea annularis,rate,A_rate,reported,-0.076,Exponential Slope (k),95% CL,0.01,25,Meesters 1997 | Montastraea annularis | Exponential...,needs_source_provenance_review,Steepest slope in smallest lesions
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov,2005,Porites lutea,rate,A_rate,reported,0.11,mm d-1,SD,0.05,5,Titlyanov 2005 | Porites lutea | mm d-1,needs_source_provenance_review,Tissue spreading rate
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks,2019,Montastraea cavernosa,rate,A_rate,reported,2.8,mm2 d-1,SE,0.002,30,Horricks 2019 | Montastraea cavernosa | mm2 d-1,needs_source_provenance_review,Modeled closure rate
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall,2001,Acropora hyacinthus,rate,A_rate,reported,3.1,% d-1,SE,0.13,60,Hall 2001 | Acropora hyacinthus | % d-1,needs_source_provenance_review,Scraping healed fastest
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,2,2b8676ad-34ad-450c-8649-095d5be68458,Hall,1998,Acropora hyacinthus,reproduction,C_reproduction,control,6.2,Egg Number/Polyp,SE,0.08,57,Hall 1998 | Acropora hyacinthus | Egg Number/Polyp,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,2,2b8676ad-34ad-450c-8649-095d5be68458,Hall,1998,Acropora hyacinthus,reproduction,C_reproduction,wounded,5.1,Egg Number/Polyp,SE,0.07,57,Hall 1998 | Acropora hyacinthus | Egg Number/Polyp,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,3,2b8676ad-34ad-450c-8649-095d5be68458,Hall,1998,Acropora gemmifera,reproduction,C_reproduction,control,6.0,Egg Number/Polyp,SE,0.08,57,Hall 1998 | Acropora gemmifera | Egg Number/Polyp,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,3,2b8676ad-34ad-450c-8649-095d5be68458,Hall,1998,Acropora gemmifera,reproduction,C_reproduction,wounded,5.0,Egg Number/Polyp,SE,0.06,57,Hall 1998 | Acropora gemmifera | Egg Number/Polyp,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,4,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren,2001,Favia favus,reproduction,C_reproduction,control,14.5,Oocytes/Septum,SD,2.5,18,Oren 2001 | Favia favus | Oocytes/Septum,needs_source_provenance_review,Large E-10 lesions at 1cm distance
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,4,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren,2001,Favia favus,reproduction,C_reproduction,wounded,0.9,Oocytes/Septum,SD,1.1,18,Oren 2001 | Favia favus | Oocytes/Septum,needs_source_provenance_review,Large E-10 lesions at 1cm distance
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel,1994,Montastraea annularis (Bumpy),reproduction,C_reproduction,control,69.9,Eggs/Polyp,SD,46,225,Van Veghel 1994 | Montastraea annularis (Bumpy) |...,needs_source_provenance_review,Control sampled >20cm away
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel,1994,Montastraea annularis (Bumpy),reproduction,C_reproduction,wounded,35.0,Eggs/Polyp,SD,40,225,Van Veghel 1994 | Montastraea annularis (Bumpy) |...,needs_source_provenance_review,Control sampled >20cm away
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel,1994,Montastraea annularis (Massive),reproduction,C_reproduction,control,29.2,Eggs/Polyp,SD,37,261,Van Veghel 1994 | Montastraea annularis (Massive) |...,needs_source_provenance_review,Significant reduction in fecundity
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel,1994,Montastraea annularis (Massive),reproduction,C_reproduction,wounded,7.6,Eggs/Polyp,SD,15,261,Van Veghel 1994 | Montastraea annularis (Massive) |...,needs_source_provenance_review,Significant reduction in fecundity
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,7,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,reproduction,C_reproduction,control,43.94,Reproductive Potential (IRP),SE,4.57,36,Ward 1995 | Pocillopora damicornis | Reproductive...,needs_source_provenance_review,Counter-intuitive increase in fecundity
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,7,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,reproduction,C_reproduction,wounded,59.58,Reproductive Potential (IRP),SE,4.55,36,Ward 1995 | Pocillopora damicornis | Reproductive...,needs_source_provenance_review,Counter-intuitive increase in fecundity
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,8,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong,1992,Siderastrea radians,reproduction,C_reproduction,control,13.0,Eggs/20 mesenteries,None,0,29,Soong 1992 | Siderastrea radians | Eggs/20 mesenteries,needs_source_provenance_review,Paired comparison within colony
