source_table,data_file,csv_line,source_id,author,year,species,response_type,plot_status,raw_value_summary,qa_status,notes
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,2,dde85c3e-6c0d-4057-9a5a-116138865992,Bak,1983,Acropora palmata,rate,plotted_rate_value,Rate_Value=-0.048; Rate_Unit=Exponential Slope (k); Sample_Size=32,needs_source_provenance_review,Standard 1cm2 lesion
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,3,09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis,2011,Porites lutea,rate,plotted_rate_value,Rate_Value=13.0; Rate_Unit=mm2 d-1; Sample_Size=170,needs_source_provenance_review,Initial rate range 6-20
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,4,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren,1997,Favia favus,rate,plotted_rate_value,Rate_Value=4.7; Rate_Unit=mm2 d-1; Sample_Size=46,needs_source_provenance_review,Range 1.6 - 7.8
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,5,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Meesters,1997,Montastraea annularis,rate,plotted_rate_value,Rate_Value=-0.076; Rate_Unit=Exponential Slope (k); Sample_Size=25,needs_source_provenance_review,Steepest slope in smallest lesions
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,6,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov,2005,Porites lutea,rate,plotted_rate_value,Rate_Value=0.11; Rate_Unit=mm d-1; Sample_Size=5,needs_source_provenance_review,Tissue spreading rate
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,7,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks,2019,Montastraea cavernosa,rate,plotted_rate_value,Rate_Value=2.8; Rate_Unit=mm2 d-1; Sample_Size=30,needs_source_provenance_review,Modeled closure rate
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,8,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall,2001,Acropora hyacinthus,rate,plotted_rate_value,Rate_Value=3.1; Rate_Unit=% d-1; Sample_Size=60,needs_source_provenance_review,Scraping healed fastest
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,2,2b8676ad-34ad-450c-8649-095d5be68458,Hall,1998,Acropora hyacinthus,reproduction,plotted_control_wounded_means,Outcome_Type=Egg Number/Polyp; Control_Mean=6.2; Wounded_Mean=5.1; Sample_Size=57,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,3,2b8676ad-34ad-450c-8649-095d5be68458,Hall,1998,Acropora gemmifera,reproduction,plotted_control_wounded_means,Outcome_Type=Egg Number/Polyp; Control_Mean=6.0; Wounded_Mean=5.0; Sample_Size=57,needs_source_provenance_review,Sampled near vs away from injury
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,4,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren,2001,Favia favus,reproduction,plotted_control_wounded_means,Outcome_Type=Oocytes/Septum; Control_Mean=14.5; Wounded_Mean=0.9; Sample_Size=18,needs_source_provenance_review,Large E-10 lesions at 1cm distance
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel,1994,Montastraea annularis (Bumpy),reproduction,plotted_control_wounded_means,Outcome_Type=Eggs/Polyp; Control_Mean=69.9; Wounded_Mean=35.0; Sample_Size=225,needs_source_provenance_review,Control sampled >20cm away
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel,1994,Montastraea annularis (Massive),reproduction,plotted_control_wounded_means,Outcome_Type=Eggs/Polyp; Control_Mean=29.2; Wounded_Mean=7.6; Sample_Size=261,needs_source_provenance_review,Significant reduction in fecundity
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,7,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,reproduction,plotted_control_wounded_means,Outcome_Type=Reproductive Potential (IRP); Control_Mean=43.94; Wounded_Mean=59.58; Sample_Size=36,needs_source_provenance_review,Counter-intuitive increase in fecundity
