location_row_id,source_id,paper_title,changed_location_fields,approx_basis,approx_confidence
loc_001,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,coast_or_region_centroid,low
loc_002,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,reef_centroid,medium
loc_003,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,approx_location_notes,,
loc_008,9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_009,d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,approx_location_notes,,
loc_013,28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",approx_location_notes,,
loc_016,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_017,c849a042-644e-4b4f-a530-33cfb800d9a9,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,town_or_lab_centroid,medium
loc_019,2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,medium
loc_020,348d7203-b68d-472c-89da-e3e6704b2f50,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_021,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_022,ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_031,6a14a9e9-da4e-425f-bf9d-59fa573487e1,"Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,bay_centroid,medium
loc_036,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,medium
loc_039,4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_040,45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,approx_location_notes,,
loc_042,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_045,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,medium
loc_047,3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",approx_location_notes,,
loc_049,070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,town_or_lab_centroid,medium
loc_050,6b96575e-9bf7-46f2-a12e-73b565f46629,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,island_centroid,medium
loc_051,f7335f31-f560-4d42-9f0d-52fdbec8ece6,Meesters et al 1992 sedimentation and lesion position.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,coast_or_region_centroid,low
loc_052,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_053,398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,study_extent_midpoint,medium
loc_055,8c205a55-4093-46c5-a7c2-e356c8bf6a7c,Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_056,b2eaa7a6-c475-4f8e-bec2-2a52585da7c3,Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,reef_centroid,high
loc_058,d17e3c0b-32a1-4c10-94fa-7558d22f726e,Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,coast_or_region_centroid,low
loc_059,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_060,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_064,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,study_extent_midpoint,medium
loc_067,fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,approx_location_notes,,
loc_072,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,approx_location_notes,,
loc_076,347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,approx_location_notes,,
loc_077,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_079,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,island_centroid,low
loc_081,d48f4420-bee1-4bd3-95e6-7f646095131b,Wesseling et al. - 2001 - Partial Mortality in Porites Corals Variation among Philippine Reefs.pdf,approx_location_notes,,
loc_083,9cbae935-6259-4ba6-a2ec-44d3f3bc0902,Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,approx_location_notes,,
loc_087,c50bc867-17ea-4393-80b1-b34f18d5fde2,Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,approx_location_notes,,
loc_089,d86a557e-5735-4326-9f08-979e13c7ee6d,Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,medium
loc_091,bcc5b4a2-3f38-42ed-8309-63964483f263,Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,island_centroid,medium
loc_092,2f44d6fc-1aa4-4747-a000-1c5be042d723,D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,town_or_lab_centroid,medium
loc_093,83a15da3-d64e-494a-94ee-a253c2392c96,"Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,coast_or_region_centroid,low
loc_096,d9c94f19-8bd1-4d12-b7e2-d2962add9961,Furby et al. - 2014 - Incidence of lesions on Fungiidae corals in the eastern Red Sea is related to water temperature and.pdf,approx_location_notes,,
loc_099,586216bb-828d-498e-b006-03caade92e8c,Jayewardene and Birkeland - 2006 - Fish predation on Hawaiian corals.pdf,approx_location_notes,,
loc_106,3077a17c-6c27-4f2e-9b9c-6efea0b17328,Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro‐fragmentation in the scleractinian.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,study_extent_midpoint,medium
