source_id,paper_title,missing_location_raw,missing_exact_coords_latlon,missing_best_coords_latlon,missing_depth,missing_growth_form,missing_tissue_type,missing_area_mm2,missing_temperature_c,missing_sample_size,remaining_issue_count,remaining_issues
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,0,1,0,0,0,0,0,1,0,2,missing_exact_coords_latlon; missing_temperature_c
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",0,1,0,0,0,0,0,1,0,2,missing_exact_coords_latlon; missing_temperature_c
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,0,0,0,0,0,0,1,0,0,1,missing_area_mm2
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",0,0,0,0,1,0,0,0,0,1,missing_growth_form
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,0,1,0,0,0,1,1,1,0,4,missing_exact_coords_latlon; missing_tissue_type; missing_area_mm2; missing_temperature_c
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,0,0,0,1,0,0,0,1,0,2,missing_depth; missing_temperature_c
ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,0,0,0,0,0,0,1,0,0,1,missing_area_mm2
740435e0-2577-4691-baa4-77cc09e904e9,Cox - 2014 - Corallivory The Coral’s Point of View.pdf,1,1,1,1,0,1,1,1,1,8,missing_location_raw; missing_exact_coords_latlon; missing_best_coords_latlon; missing_depth; missing_tissue_type; missing_area_mm2; missing_temperature_c; missing_sample_size
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,0,0,0,0,0,0,1,0,0,1,missing_area_mm2
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",0,1,0,0,1,0,1,0,0,3,missing_exact_coords_latlon; missing_growth_form; missing_area_mm2
