source_id,paper_title,final_status,extraction_readiness,response_rate,response_growth,response_reproduction,response_survival,moderator_environment,moderator_traits,study_type,study_year,location_raw,site_name,country_territory,water_body,latitude_raw,longitude_raw,latitude,longitude,depth_min_m,depth_max_m,species,growth_form,tissue_type,colony_size_cm,symbiont_status,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position,temperature_c,temp_manip,ph_or_pco2,nutrient_enrich,light_par,light_regime,sedimentation,flow_regime,sample_size,replication_level,randomization,blocking,control_description,notes,notebook_covariate_status,query_batch_id,query_attempts,latitude_approx,longitude_approx,approx_coordinate_basis,approx_coordinate_confidence,approx_location_notes,latitude_best,longitude_best,best_coordinate_basis,best_coordinate_confidence
5e605749-8df3-44d9-8113-3b61c21f4386,Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,exclude_scope,not_for_extraction,0,0,0,0,0,0,field,1976-1978,"Goat Island, near the Leigh Marine Laboratory off the north coast of New Zealand",Goat Island and Sponge Garden,New Zealand,,38° 16'S,174° 48'E,-38.266667,174.800000,12,18,"Stylopus sp., Hymedesmia sp. (orange), Hymedesmia sp. (red), Microciona sp., Anchinoe sp., Stylopus sp. (pink), Tedania sp. (orange), Chondropsis sp., Aplysilla rosea, Chelonaplysilla sp., Eurypon sp.",thinly encrusting,sponge tissue,,,experimental,scraped almost clean of tissue from the rock to simulate urchin grazing,tissue removal,10000; 10-4200,,,,1,surface of the sponge,,,,,,,,,55,5 sponge patches per species,,,undisturbed sponge patches,Regeneration rates were measured after clearing tissue to simulate grazing. Sponges recovered space at 22 to 2900 times their natural undisturbed growth rates.,parsed,batch_001,1,,,,,,-38.266667,174.800000,reported_exact,high
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,include_primary,needs_digitization,1,0,0,1,0,0,field,1976-1977,"fringing reef 700-800 m northwest of the entrance of Piscadera Bay, southwest coast of Curacao",,Netherlands Antilles,,,,,,18,25,"Agaricia agaricites f. purpurea, Porites astreoides","massive, encrusting, plating",living surfaces,150-1350,,experimental,method: Bak et al. 1977,"tissue, tissue and skeleton","100, 500",,,,147,horizontal plane,,,,,,,,,147,22 to 26 lesions per treatment group,,,Eleven control colonies of each species,"Regeneration of 1 cm2 and 5 cm2 lesions studied over 140 days in situ. [repair: Coordinates and temperature were not reported; growth forms were inferred from the standard morphologies of Porites astreoides (massive/encrusting) and Agaricia agaricites (encrusting/plating).] [agent repair: Multiple depth bands were explicitly reported. Lesion areas were reported as 1 cm2 and 5 cm2, converted here to 100 mm2 and 500 mm2. Coordinates and temperature were not recoverable.]",parsed,batch_002,1,12.132222,-68.968611,reef_centroid,medium,Fringing reef about 700-800 m northwest of Piscadera Bay entrance; proxy point at the bay mouth.,12.132222,-68.968611,reef_centroid,medium
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",include_primary,needs_digitization,1,1,0,0,0,0,field,1977-1978,"southwest, leeward coast of Curacao",,Netherlands Antilles,Caribbean Sea,,,,,1,2,Acropora palmata,branched,branch,,,experimental,compressed air; scraping protruding skeletal elements,"tissue, tissue and skeleton",100,,,,32,upper side of the branch at a distance of 4 to 9 cm from the tip,,,,,,,,,32,"22 tissue lesions, 10 tissue + skeleton lesions",,,Branches of normal colonies,"Studied regeneration of 1 cm2 lesions alongside effects of natural neoplasia on growth. All A. palmata recovered from all lesions within 80 d. [repair: Coordinates and experimental or ambient temperatures were not explicitly reported in the study.] [agent repair: Depth was explicitly reported as 1-2 m. Lesion area was 1 cm2, converted here to 100 mm2. Growth form was branching. Coordinates and temperature were not explicitly reported.]",parsed,batch_003,1,12.13,-69.13,coast_or_region_centroid,low,Broad southwest/leeward Curaçao reef zone; exact site not named in the source.,12.13,-69.13,coast_or_region_centroid,low
e5029ad6-d2ad-4e7a-86eb-d54975b0d760,Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,exclude_review,not_for_extraction,0,0,0,0,0,0,review,,,,,,,,,,,,various,various,,,,experimental,"fragmentation using wire cutters, pliers, tin snips, chisels, dremel tool, or scalpel",fragmentation,,,,,,,,,,,,,,,,,,,,Comprehensive review of coral aquaculture including asexual fragmentation and sexual propagation techniques for ornamental trade and reef restoration.,parsed,batch_004,1,,,,,,,,,
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,include_primary,ready_extract,1,0,0,1,1,0,mesocosm,2014,Heron Island reef flat,,Australia,Great Barrier Reef,23°26′36.2′′S,151°54′43.1′′E,-23.443389,151.911972,0.3,0.3,Acropora aspera,branching,apical tips,20,,experimental,removal of apical tips (~3 cm of the apical region),tissue and skeleton,,50% of colony branches,,30,,apical region,"26, 32",increased to 32 °C during daylight hours,,,700-1500,full sunlight with no direct shading,,flow-through seawater with high turnover rate and internal pumps,20,"10 colony fragments per mesocosm (5 injured, 5 intact)",randomly sampled and randomly assigned,,Ambient seawater temperature (26 °C) and tips left intact,"Monitored GFP fluorescence, linear extension, and gene expression for catalase, HSP70, HSP90. [repair: Lesion area was not reported; the study only notes the removal of approximately 3 cm of the apical region.] [agent repair: Damage is described as apical-region removal rather than an explicit lesion area.]",parsed,batch_005,1,,,,,,-23.443389,151.911972,reported_exact,high
7b6c3c16-42d6-411f-8069-1ae430f0761d,Brown et al. - 2021 - Extended phenotypes on coral reefs cryptic phenotypes modulate coral-vermetid interactions.pdf,exclude_scope,not_for_extraction,0,0,0,0,1,0,field,2015,"shallow back reef of Mo’orea, French Polynesia",Mo’orea back reef,French Polynesia,,17°28.511’ S,149°48.857’ W,-17.475183,-149.814283,1.7,2.3,Porites spp.,massive,,75.9,Symbiodiniaceae type C15,,,,,,,,,,,,,,,,,,80,10 reefs with and 10 without vermetids; 4 cores removed per reef,,,corals transplanted to reefs of the same type (with or without vermetids) as their origin,Reciprocal transplant experiment to evaluate the role of plasticity vs. heritable diversity on phenotypic traits and performance of corals exposed to vermetid gastropods.,parsed,batch_006,1,,,,,,-17.475183,-149.814283,reported_exact,high
c50bc867-17ea-4393-80b1-b34f18d5fde2,Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,exclude_scope,not_for_extraction,0,0,0,0,0,0,observational,,western Atlantic,,,Atlantic Ocean,,,,,,,"Montastraea annularis, Montastraea faveolata, Colpophyllia natans",,,,,natural predation,biting by Sparisoma viride (stoplight parrotfish),tissue and skeleton,,,,,,,,,,,,,,,,,,,,Proposes terms 'spot biting' and 'focused biting' to differentiate coral injuries caused by stoplight parrotfish.,parsed,batch_007,1,,,,,Only the broad western Atlantic is named; no defensible local centroid was available.,,,,
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",include_primary,ready_extract,1,1,0,0,1,0,laboratory,2014,"Fort Wetherill State Park in Jamestown, RI",Fort Wetherill State Park,USA,,41° 28’ 40” N,71° 21’ 34” W,41.477778,-71.359444,6,10,Astrangia poculata,,single polyp,,symbiotic and aposymbiotic,experimental,"single polyp removed using a scalpel, cleared of tissue using a Waterpik, surrounding skeleton filed to a uniform basal skeletal height",tissue and skeleton,38.4,,,,1,centrally located in the colony,"9, 18, 24",temperature increase or decrease from 18°C at a rate of 1°C every 12 h,,,37.5,10 h d−1 using T5 HO fluorescent lighting,,flow-through aquarium system,159,"40 colonies of each symbiont state at 18 °C (39 aposymbiotic), 20 colonies of each symbiont state at 9 °C and 24 °C",randomly placed into treatment groups,paired controlling for colony mass; randomized placement to control for tank microclimate,18 °C treatment served as ambient/acclimation temperature,"Assessed how symbiotic state (symbiotic vs. aposymbiotic) and temperature deviations (winter 9 °C, elevated 24 °C) affected wound healing and tissue loss. [repair: Growth form was not explicitly reported in the text and cannot be unambiguously inferred for Astrangia poculata.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]",parsed,batch_008,1,,,,,,41.477778,-71.359444,reported_exact,high
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,include_primary,needs_digitization,1,1,0,0,1,0,laboratory,2014,Fort Wetherill State Park in Jamestown RI,Fort Wetherill State Park,USA,,41 28′40″N,71 21′34″W,41.477778,-71.359444,6,10,Astrangia poculata,solitary,single polyp and coenenchyme,,symbiotic or aposymbiotic,experimental,"single polyp and surrounding connective tissue removed using a scalpel, wound site cleaned via Waterpik",tissue,34.28,,,,1,center of the colony,18,,,fed (frozen copepod slurry 50 g/L) vs starved,,10-hr light cycles (14 hr dark) via T5 HO fluorescent lighting,,,224,28 paired symbiotic and aposymbiotic colonies per treatment group,sorted randomly into one of four treatment groups,paired by approximate mass,un-wounded fed and un-wounded starved colonies,"Assessed how symbiotic state (symbiotic vs. aposymbiotic) and nutritional state (fed vs. starved) affected wound healing, colony tissue cover, and polyp activity. [repair: Growth form was not explicitly reported in the text and cannot be unambiguously inferred for Astrangia poculata.] [agent repair: Growth form inferred from Astrangia poculata, which is a solitary coral. Growth-form label was not explicit in the text, but the inference is unambiguous.]",parsed,batch_009,1,,,,,,41.477778,-71.359444,reported_exact,high
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,include_primary,ready_extract,1,1,0,0,0,1,field,2009,back reef along the north shore of Moorea,,French Polynesia,,17° 30’ S,149° 50’W,-17.500000,-149.833333,2,3,"Porites spp., Pocillopora meandrina","massive, branching","perforate, imperforate","<5 (Porites), <7 (Pocillopora)",,experimental,pressurized seawater from a 60 ml syringe; snub-nose pliers to abrade,"tissue, tissue and skeleton","35, 105, 108",,,1-5,1,top of each coral,29.00,,,,1200,,,,64,8 nubbins in each of 4 treatments per taxon,allocated haphazardly,cages on cinderblocks held 2 replicate corals of same taxon and treatment,undamaged controls,"Simulated damage caused by fishes belonging to 3 functional feeding guilds: excavators, scrapers, and browsers. [repair: The study explicitly contrasts two taxa with different skeletal porosities, identifying Porites as perforate and Pocillopora as imperforate.]",parsed,batch_010,4,,,,,,-17.500000,-149.833333,reported_exact,high
