source_id,paper_title,final_status,extraction_readiness,response_rate,response_growth,response_reproduction,response_survival,moderator_environment,moderator_traits,study_type,study_year,location_raw,site_name,country_territory,water_body,latitude_raw,longitude_raw,latitude,longitude,depth_min_m,depth_max_m,species,growth_form,tissue_type,colony_size_cm,symbiont_status,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position,temperature_c,temp_manip,ph_or_pco2,nutrient_enrich,light_par,light_regime,sedimentation,flow_regime,sample_size,replication_level,randomization,blocking,control_description,notes,notebook_covariate_status,query_batch_id,query_attempts,latitude_approx,longitude_approx,approx_coordinate_basis,approx_coordinate_confidence,approx_location_notes,latitude_best,longitude_best,best_coordinate_basis,best_coordinate_confidence
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,include_primary,needs_digitization,1,0,0,1,0,0,field,1976-1977,"fringing reef 700-800 m northwest of the entrance of Piscadera Bay, southwest coast of Curacao",,Netherlands Antilles,,,,,,18,25,"Agaricia agaricites f. purpurea, Porites astreoides","massive, encrusting, plating",living surfaces,150-1350,,experimental,method: Bak et al. 1977,"tissue, tissue and skeleton","100, 500",,,,147,horizontal plane,,,,,,,,,147,22 to 26 lesions per treatment group,,,Eleven control colonies of each species,"Regeneration of 1 cm2 and 5 cm2 lesions studied over 140 days in situ. [repair: Coordinates and temperature were not reported; growth forms were inferred from the standard morphologies of Porites astreoides (massive/encrusting) and Agaricia agaricites (encrusting/plating).] [agent repair: Multiple depth bands were explicitly reported. Lesion areas were reported as 1 cm2 and 5 cm2, converted here to 100 mm2 and 500 mm2. Coordinates and temperature were not recoverable.]",parsed,batch_002,1,12.132222,-68.968611,reef_centroid,medium,Fringing reef about 700-800 m northwest of Piscadera Bay entrance; proxy point at the bay mouth.,12.132222,-68.968611,reef_centroid,medium
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",include_primary,needs_digitization,1,1,0,0,0,0,field,1977-1978,"southwest, leeward coast of Curacao",,Netherlands Antilles,Caribbean Sea,,,,,1,2,Acropora palmata,branched,branch,,,experimental,compressed air; scraping protruding skeletal elements,"tissue, tissue and skeleton",100,,,,32,upper side of the branch at a distance of 4 to 9 cm from the tip,,,,,,,,,32,"22 tissue lesions, 10 tissue + skeleton lesions",,,Branches of normal colonies,"Studied regeneration of 1 cm2 lesions alongside effects of natural neoplasia on growth. All A. palmata recovered from all lesions within 80 d. [repair: Coordinates and experimental or ambient temperatures were not explicitly reported in the study.] [agent repair: Depth was explicitly reported as 1-2 m. Lesion area was 1 cm2, converted here to 100 mm2. Growth form was branching. Coordinates and temperature were not explicitly reported.]",parsed,batch_003,1,12.13,-69.13,coast_or_region_centroid,low,Broad southwest/leeward Curaçao reef zone; exact site not named in the source.,12.13,-69.13,coast_or_region_centroid,low
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,include_primary,ready_extract,1,0,0,1,1,0,mesocosm,2014,Heron Island reef flat,,Australia,Great Barrier Reef,23°26′36.2′′S,151°54′43.1′′E,-23.443389,151.911972,0.3,0.3,Acropora aspera,branching,apical tips,20,,experimental,removal of apical tips (~3 cm of the apical region),tissue and skeleton,,50% of colony branches,,30,,apical region,"26, 32",increased to 32 °C during daylight hours,,,700-1500,full sunlight with no direct shading,,flow-through seawater with high turnover rate and internal pumps,20,"10 colony fragments per mesocosm (5 injured, 5 intact)",randomly sampled and randomly assigned,,Ambient seawater temperature (26 °C) and tips left intact,"Monitored GFP fluorescence, linear extension, and gene expression for catalase, HSP70, HSP90. [repair: Lesion area was not reported; the study only notes the removal of approximately 3 cm of the apical region.] [agent repair: Damage is described as apical-region removal rather than an explicit lesion area.]",parsed,batch_005,1,,,,,,-23.443389,151.911972,reported_exact,high
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",include_primary,ready_extract,1,1,0,0,1,0,laboratory,2014,"Fort Wetherill State Park in Jamestown, RI",Fort Wetherill State Park,USA,,41° 28’ 40” N,71° 21’ 34” W,41.477778,-71.359444,6,10,Astrangia poculata,,single polyp,,symbiotic and aposymbiotic,experimental,"single polyp removed using a scalpel, cleared of tissue using a Waterpik, surrounding skeleton filed to a uniform basal skeletal height",tissue and skeleton,38.4,,,,1,centrally located in the colony,"9, 18, 24",temperature increase or decrease from 18°C at a rate of 1°C every 12 h,,,37.5,10 h d−1 using T5 HO fluorescent lighting,,flow-through aquarium system,159,"40 colonies of each symbiont state at 18 °C (39 aposymbiotic), 20 colonies of each symbiont state at 9 °C and 24 °C",randomly placed into treatment groups,paired controlling for colony mass; randomized placement to control for tank microclimate,18 °C treatment served as ambient/acclimation temperature,"Assessed how symbiotic state (symbiotic vs. aposymbiotic) and temperature deviations (winter 9 °C, elevated 24 °C) affected wound healing and tissue loss. [repair: Growth form was not explicitly reported in the text and cannot be unambiguously inferred for Astrangia poculata.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]",parsed,batch_008,1,,,,,,41.477778,-71.359444,reported_exact,high
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,include_primary,needs_digitization,1,1,0,0,1,0,laboratory,2014,Fort Wetherill State Park in Jamestown RI,Fort Wetherill State Park,USA,,41 28′40″N,71 21′34″W,41.477778,-71.359444,6,10,Astrangia poculata,solitary,single polyp and coenenchyme,,symbiotic or aposymbiotic,experimental,"single polyp and surrounding connective tissue removed using a scalpel, wound site cleaned via Waterpik",tissue,34.28,,,,1,center of the colony,18,,,fed (frozen copepod slurry 50 g/L) vs starved,,10-hr light cycles (14 hr dark) via T5 HO fluorescent lighting,,,224,28 paired symbiotic and aposymbiotic colonies per treatment group,sorted randomly into one of four treatment groups,paired by approximate mass,un-wounded fed and un-wounded starved colonies,"Assessed how symbiotic state (symbiotic vs. aposymbiotic) and nutritional state (fed vs. starved) affected wound healing, colony tissue cover, and polyp activity. [repair: Growth form was not explicitly reported in the text and cannot be unambiguously inferred for Astrangia poculata.] [agent repair: Growth form inferred from Astrangia poculata, which is a solitary coral. Growth-form label was not explicit in the text, but the inference is unambiguous.]",parsed,batch_009,1,,,,,,41.477778,-71.359444,reported_exact,high
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,include_primary,ready_extract,1,1,0,0,0,1,field,2009,back reef along the north shore of Moorea,,French Polynesia,,17° 30’ S,149° 50’W,-17.500000,-149.833333,2,3,"Porites spp., Pocillopora meandrina","massive, branching","perforate, imperforate","<5 (Porites), <7 (Pocillopora)",,experimental,pressurized seawater from a 60 ml syringe; snub-nose pliers to abrade,"tissue, tissue and skeleton","35, 105, 108",,,1-5,1,top of each coral,29.00,,,,1200,,,,64,8 nubbins in each of 4 treatments per taxon,allocated haphazardly,cages on cinderblocks held 2 replicate corals of same taxon and treatment,undamaged controls,"Simulated damage caused by fishes belonging to 3 functional feeding guilds: excavators, scrapers, and browsers. [repair: The study explicitly contrasts two taxa with different skeletal porosities, identifying Porites as perforate and Pocillopora as imperforate.]",parsed,batch_010,4,,,,,,-17.500000,-149.833333,reported_exact,high
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,include_primary,needs_digitization,1,0,0,1,0,0,field,1989,"fringing coral reef adjacent to the H. Steinitz Marine Biology Laboratory, Eilat, Gulf of Eilat, Red Sea",H. Steinitz Marine Biology Laboratory,Israel,Red Sea,,,,,10,10,Fungia granulosa,solitary,,3-9,,experimental,broken into fragments with the aid of a hammer and chisel,fragmentation,,10-90%,,,,"radially along the septa, or perpendicular to the septal edges",,,,,,,,,64,7 to 14 corals per treatment per size class,,divided into two size classes by live wet mass,"undamaged, intact controls","Studied regeneration after experimental breakage. Recovery depended on fracture orientation (parallel vs perpendicular to septa), fragment size, and percent breakage. [repair: Coordinates, tissue type (perforate/imperforate), precise initial lesion area, and experimental temperatures were not explicitly reported in the study.] [agent repair: Depth was explicitly reported as 10 m. Growth form was solitary. No explicit coordinates, tissue type, lesion area, or temperature were recoverable.]",parsed,batch_011,1,29.500000,34.916667,site_facility_centroid,high,H. Steinitz Marine Biology Laboratory / adjacent Eilat fringing-reef study area used as the locality proxy.,29.500000,34.916667,site_facility_centroid,high
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,include_primary,needs_digitization,1,1,0,0,0,0,laboratory,2024,"northshore lagoon reef, Mo'orea",Richard B. Gump South Pacific Research Station,French Polynesia,,17°30'S,149°50'W,-17.500000,-149.833333,,,Pocillopora spp.,branching,surface tissue,>20,,experimental,airbrush fitted with a circular stencil to remove surface tissue,tissue,"148, 382",,,,1,upper surface of fragments,,,,2 g of TetraMarine Saltwater Flakes three times per day,,ambient light,,flow-through aquaria supplied with unfiltered seawater at ~6 L h-1,72,"4 fragments per treatment per tank across 6 tanks (3 with fish, 3 without)",fragments randomly distributed across tanks and assigned to treatments; fish randomly introduced to half the tanks,,fragments with no wound; tanks without fish,"Tested whether coral-associated yellowtail damselfish (Dascyllus flavicaudus) facilitate wound healing, calcification, and photosynthetic recovery in Pocillopora spp. [repair: Numeric depth bounds and specific experimental or ambient temperatures were not explicitly reported in the study.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]",parsed,batch_014,1,,,,,"Exact coordinates reported in source (17°30'S, 149°50'W); no approximate point added.",-17.500000,-149.833333,reported_exact,high
ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,include_primary,needs_digitization,1,0,0,1,1,1,field,2017,"four sites on O‘ahu, Hawai‘i","Lanikai, Kāne‘ohe Bay, Kewalo Shallow, Kewalo Deep",USA,Pacific Ocean,"21.3842 N, 21.4564 N, 21.2930 N, 21.2898 N","157.7077 W, 157.7945 W, 157.8663 W, 157.8628 W",21.289800,-157.862800,1,8,Pocillopora meandrina,branching,branch,13.7-44.3,,experimental,breaking branches using bone cutters,tissue and skeleton,,,,,108,branch,26.77-27.25,,,,,,,,54,"12, 20, 6, and 16 colonies across 4 sites; 2 sequential wounds per colony",,,pre-wounding observations of colony health used as a baseline,"Investigated the effects of colony size, depth, and disturbance history (bleaching) on the wound repair of broken branches. Larger colonies and shallower colonies healed faster. [repair: Lesion area was not explicitly reported; the study only provided the mean wound diameter of 13.4 mm.]",parsed,batch_016,1,,,,,,21.289800,-157.862800,reported_exact,high
740435e0-2577-4691-baa4-77cc09e904e9,Cox - 2014 - Corallivory The Coral’s Point of View.pdf,include_primary,needs_digitization,0,0,0,0,0,0,review,,,,,,,,,,,,various,various,,,,,,,,,,,,,,,,,,,,,,,,,,"Review chapter synthesizing the impacts of corallivory on coral physiology, population dynamics, community structure, and defense mechanisms.",parsed,batch_017,1,,,,,,,,,
