source_id,title,type,url,normalized_title,in_screening_final,in_primary_covariates,in_all_source_covariates,in_all_response_source_index,in_rate_source_index,in_extraction_workplan,in_digitization_queue,in_any_source_table,dataset_table_count
fb42b8e8-f3b2-4435-a918-95afe4883b65,Aronson_2001_WhitebanddiseaseCaribbean.pdf,pdf,,aronson2001whitebanddiseasecaribbeanpdf,0,0,0,0,0,0,0,0,0
57604503-4026-4a41-85c3-8b2af395335a,Arshad_2024_topical_probiotic_hydrogels_burns.pdf,pdf,,arshad2024topicalprobiotichydrogelsburnspdf,0,0,0,0,0,0,0,0,0
5e605749-8df3-44d9-8113-3b61c21f4386,Ayling_1983_Growth_and_regeneration_rates_in_thinly_encrusting_Demospon..._doi-10.2307-1541200.pdf,pdf,,ayling1983growthandregenerationratesinthinlyencrustingdemospondoi1023071541200pdf,1,0,1,0,0,0,0,1,6
cf2e6b65-032a-4cbb-96ea-906749830924,Azevedo_2011_Theregenerativecapacityofthezebrafi.pdf,pdf,,azevedo2011theregenerativecapacityofthezebrafipdf,0,0,0,0,0,0,0,0,0
b0be66ea-1ed4-4fc1-ab89-76a780d248ab,Baird_2009_Coralbleachingtheroleofthehost.pdf,pdf,,baird2009coralbleachingtheroleofthehostpdf,0,0,0,0,0,0,0,0,0
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak_1980_Regeneration_of_superficial_damage_in_the_scleractinian_cora....pdf,pdf,,bak1980regenerationofsuperficialdamageinthescleractiniancorapdf,1,1,1,1,1,1,1,1,39
dde85c3e-6c0d-4057-9a5a-116138865992,Bak_1983_Neoplasia_regeneration_and_growth_in_the_reef-building_cora..._doi-10.1007-bf00395810.pdf,pdf,,bak1983neoplasiaregenerationandgrowthinthereefbuildingcoradoi101007bf00395810pdf,1,1,1,1,1,1,1,1,39
e5029ad6-d2ad-4e7a-86eb-d54975b0d760,Barton_2017_Coral_propagation_a_review_of_techniques_for_ornamental_tra..._doi-10.1111-raq.12135.pdf,pdf,,barton2017coralpropagationareviewoftechniquesforornamentaltradoi101111raq12135pdf,1,0,1,0,0,0,0,1,6
be3a5dc5-fba3-48d1-a931-fa48d54552c8,Barton_2019_ThelifecycleoftheiAcroporaico.pdf,pdf,,barton2019thelifecycleoftheiacroporaicopdf,0,0,0,0,0,0,0,0,0
f2a11355-63c1-4b5a-a0fc-4684ea680128,Barton_2020_BiologicalcontrolstomanageiAcropor.pdf,pdf,,barton2020biologicalcontrolstomanageiacroporpdf,0,0,0,0,0,0,0,0,0
6e58d54a-e63b-450c-9908-818a1df0c460,Baumgarten_2015_ThegenomeofiAiptasiaiaseaane.pdf,pdf,,baumgarten2015thegenomeofiaiptasiaiaseaanepdf,0,0,0,0,0,0,0,0,0
0f6e8b7a-8d4e-4dc5-a9cd-864dfd44eb0b,Bay_Palumbi_2014_multilocus_heat_resistance.pdf,pdf,,baypalumbi2014multilocusheatresistancepdf,0,0,0,0,0,0,0,0,0
f0d0b89e-fa8a-45e8-a73b-adbaf1ff13fc,Bayraktarov_2019_Motivationssuccessandcostofcoral.pdf,pdf,,bayraktarov2019motivationssuccessandcostofcoralpdf,0,0,0,0,0,0,0,0,0
0736b18e-01bd-48b8-a10e-77d8a94b491d,Becker_2020_Nutrientandsedimentloadingaffectmul.pdf,pdf,,becker2020nutrientandsedimentloadingaffectmulpdf,0,0,0,0,0,0,0,0,0
b2240dee-1178-44da-9814-86dc54f9628c,Bellwood_1990_Afunctionalanalysisofgrazinginparr.pdf,pdf,,bellwood1990afunctionalanalysisofgrazinginparrpdf,0,0,0,0,0,0,0,0,0
4759f206-92eb-434a-a822-28c26aa7d8be,Berenshtein_2015_Effectofoxygenoncoralfanningbymut.pdf,pdf,,berenshtein2015effectofoxygenoncoralfanningbymutpdf,0,0,0,0,0,0,0,0,0
561f543d-7624-4bf0-9c0e-cd1d2f13a56c,Blanchoud_2022_WholeBodyregenerationMethodsandpro.pdf,pdf,,blanchoud2022wholebodyregenerationmethodsandpropdf,0,0,0,0,0,0,0,0,0
6ca216e7-8798-40c8-b90e-53a91f6c656f,Bode_1996_Theinterstitialcelllineageofhydra.pdf,pdf,,bode1996theinterstitialcelllineageofhydrapdf,0,0,0,0,0,0,0,0,0
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso_2017_Exposure_to_elevated_sea-surface_temperatures_below_the_blea..._doi-10.7717-peerj.3719.pdf,pdf,,bonesso2017exposuretoelevatedseasurfacetemperaturesbelowthebleadoi107717peerj3719pdf,1,1,1,1,1,1,0,1,26
17678182-7115-4240-8398-b3c821ff069f,Boström-Einarsson_2020_CoralrestorationAsystematicreview.pdf,pdf,,bostromeinarsson2020coralrestorationasystematicreviewpdf,0,0,0,0,0,0,0,0,0
743ada59-e8b2-4f32-b1f2-64ab9d50e8b3,Box_2007_Effectofmacroalgalcompetitionongrow.pdf,pdf,,box2007effectofmacroalgalcompetitionongrowpdf,0,0,0,0,0,0,0,0,0
7b6c3c16-42d6-411f-8069-1ae430f0761d,Brown et al. - 2021 - Extended phenotypes on coral reefs cryptic phenotypes modulate coral-vermetid interactions.pdf,pdf,,brownetal2021extendedphenotypesoncoralreefscrypticphenotypesmodulatecoralvermetidinteractionspdf,1,0,1,0,0,0,0,1,7
c50bc867-17ea-4393-80b1-b34f18d5fde2,Bruckner_2000_Parrotfish_predation_on_live_coral_spot_biting_and_focus..._doi-10.1007-s003380050225.pdf,pdf,,bruckner2000parrotfishpredationonlivecoralspotbitingandfocusdoi101007s003380050225pdf,1,0,1,0,0,0,0,1,9
e22974a1-a127-4975-813a-73a9676c00da,Bruckner_2017_PredationbyfeedingaggregationsofDru.pdf,pdf,,bruckner2017predationbyfeedingaggregationsofdrupdf,0,0,0,0,0,0,0,0,0
afb1ba05-9842-42a8-9b5c-f75c290f3d4b,Bruno_2007_Thermalstressandcoralcoverasdrivers.pdf,pdf,,bruno2007thermalstressandcoralcoverasdriverspdf,0,0,0,0,0,0,0,0,0
3294ac22-2081-4f0f-a1b0-c03432acbefa,Bryant_2017_Identificationofregenerativeroadblock.pdf,pdf,,bryant2017identificationofregenerativeroadblockpdf,0,0,0,0,0,0,0,0,0
47fa818d-033c-40b3-8a72-44042b8f0b7a,Burgo_2025_Thestructureandcompositionofmacroal.pdf,pdf,,burgo2025thestructureandcompositionofmacroalpdf,0,0,0,0,0,0,0,0,0
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,Burmester_2017_Temperature_and_symbiosis_affect_lesion_recovery_in_experime..._doi-10.3354-meps12114.pdf,pdf,,burmester2017temperatureandsymbiosisaffectlesionrecoveryinexperimedoi103354meps12114pdf,1,1,1,1,1,1,0,1,22
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester_2018_The_impact_of_autotrophic_versus_heterotrophic_nutritional_p..._doi-10.1002-ece3.4531.pdf,pdf,,burmester2018theimpactofautotrophicversusheterotrophicnutritionalpdoi101002ece34531pdf,1,1,1,1,1,1,1,1,31
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron_2014_Effects_of_simulated_fish_predation_on_small_colonies_of_mas..._doi-10.3354-meps10862.pdf,pdf,,cameron2014effectsofsimulatedfishpredationonsmallcoloniesofmasdoi103354meps10862pdf,1,1,1,1,1,1,0,1,27
ebf75858-cc3e-459d-a8a6-3bc79db9c130,Camp_2018_HowcanSupercoralsfacilitateglobal.pdf,pdf,,camp2018howcansupercoralsfacilitateglobalpdf,0,0,0,0,0,0,0,0,0
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick_1990_Regeneration_after_experimental_breakage_in_the_solitary_ree..._doi-10.1016-0022-0981_90_90093-r.pdf,pdf,,chadwick1990regenerationafterexperimentalbreakageinthesolitaryreedoi101016002209819090093rpdf,1,1,1,1,1,1,1,1,32
859d6fbb-936e-4398-a4e1-ef8ff046cc61,Chase_2020_Damselfishesalleviatetheimpactsofse.pdf,pdf,,chase2020damselfishesalleviatetheimpactsofsepdf,0,0,0,0,0,0,0,0,0
