source_id,paper_title,location_raw,location_standardized,site_name,reef_or_bay,island_or_coast,country_territory,water_body,latitude,longitude,depth_min_m,depth_max_m,location_type,coordinate_basis,coordinate_confidence,location_notes,latitude_approx,longitude_approx,approx_coordinate_basis,approx_coordinate_confidence,approx_location_notes,latitude_best,longitude_best,best_coordinate_basis,best_coordinate_confidence,location_row_id
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",Curacao,,,,,Netherlands Antilles,Caribbean Sea,,,1,2,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.13,-69.13,coast_or_region_centroid,low,Broad southwest/leeward Curaçao reef zone; exact site not named in the source.,12.13,-69.13,coast_or_region_centroid,low,loc_001
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,Curacao,,,,,Netherlands Antilles,,,,18,25,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.132222,-68.968611,reef_centroid,medium,Fringing reef about 700-800 m northwest of Piscadera Bay entrance; proxy point at the bay mouth.,12.132222,-68.968611,reef_centroid,medium,loc_002
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,northern shore of Moorea; Richard B. Gump Marine Research Station,,Richard B. Gump Marine Research Station,,,French Polynesia,Cook's Bay,-17.487250,-149.886930,,,unknown,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge [worker confirmed existing coordinates are exact],,,,,"Exact coordinates reported in source (17.48725° S, 149.88693° W); no approximate point added.",-17.487250,-149.886930,reported_exact,high,loc_003
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,"Heron Island reef flat, Great Barrier Reef, Australia",,,,,Australia,Great Barrier Reef,-23.443389,151.911972,0.3,0.3,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-23.443389,151.911972,reported_exact,high,loc_004
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","Fort Wetherill State Park, Jamestown, Rhode Island, USA",,Fort Wetherill State Park,,,USA,,41.477778,-71.359444,6,10,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,41.477778,-71.359444,reported_exact,high,loc_005
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,"Fort Wetherill State Park, Jamestown, Rhode Island, USA",,Fort Wetherill State Park,,,USA,,41.477778,-71.359444,6,10,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,41.477778,-71.359444,reported_exact,high,loc_006
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,"Moorea, French Polynesia",,,,,French Polynesia,,-17.500000,-149.833333,2,3,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-17.500000,-149.833333,reported_exact,high,loc_007
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,"Eilat, Red Sea, Israel",,H. Steinitz Marine Biology Laboratory,,,Israel,Red Sea,,,10,10,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,29.500000,34.916667,site_facility_centroid,high,H. Steinitz Marine Biology Laboratory / adjacent Eilat fringing-reef study area used as the locality proxy.,29.500000,34.916667,site_facility_centroid,high,loc_008
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,"northshore lagoon reef, Mo'orea",,Richard B. Gump South Pacific Research Station,,,French Polynesia,,-17.500000,-149.833333,,,unknown,reported_exact,high,Primary paper without extracted location row yet.; NotebookLM covariate merge Notebook covariate final merge [worker confirmed existing coordinates are exact],,,,,"Exact coordinates reported in source (17°30'S, 149°50'W); no approximate point added.",-17.500000,-149.833333,reported_exact,high,loc_009
ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Oahu Hawaii,,"Lanikai, Kāne‘ohe Bay, Kewalo Shallow, Kewalo Deep",,,USA,Pacific Ocean,21.289800,-157.862800,1,8,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,21.289800,-157.862800,reported_exact,high,loc_010
740435e0-2577-4691-baa4-77cc09e904e9,Cox - 2014 - Corallivory The Coral’s Point of View.pdf,,,,,,,,,,,,unknown,not_yet_resolved,low,Primary paper without extracted location row yet.; NotebookLM covariate merge Notebook covariate final merge,,,,,,,,,,loc_011
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,"Dos Mosquises, Los Roques National Park, Venezuela",,S1 (horseshoe reef) and S2 (fringing reef lagoon),,,Venezuela,,11.976667,-66.882500,1,1.5,field_site,reported_exact,high,"Autofilled from reported coordinates in PDF text: 11° 58' 36"" N, 66° 52' 57"" W.; NotebookLM covariate merge Notebook covariate final merge",,,,,,11.976667,-66.882500,reported_exact,high,loc_012
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",Fort Wetherill Rhode Island,,Fort Wetherill National Park,,,USA,,,,6,10,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,41.477778,-71.359444,site_facility_centroid,high,"Exact coordinates are reported in the paper; approximate duplicate intentionally omitted. Fort Wetherill State Park proxy, aligned with other Astrangia studies from the same site.",41.477778,-71.359444,site_facility_centroid,high,loc_013
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata,Reunion Island reef flats,,Planch’Alizé and Kiosque,,,Réunion,Indian Ocean,-21.116667,55.533333,1,2,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-21.116667,55.533333,reported_exact,high,loc_014
09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Reunion Island.pdf,Reunion Island shallow reef flats,,"Planch’Alizé, Trou d’Eau, Varangue, Kiosque",,,Réunion,south-western Indian Ocean,-21.116667,55.533333,1,2,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-21.116667,55.533333,reported_exact,high,loc_015
3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","Oceanário de Lisboa, Portugal",,Oceanário de Lisboa,,,Portugal,,,,,,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,38.763503,-9.093783,site_facility_centroid,high,"Oceanário de Lisboa, Doca dos Olivais, Parque das Nações, Lisbon; used the aquarium location as the study-site proxy for captive corals.",38.763503,-9.093783,site_facility_centroid,high,loc_016
c849a042-644e-4b4f-a530-33cfb800d9a9,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,"Eilat, Red Sea",,,,,Israel,Red Sea,,,,,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,29.500000,34.916667,town_or_lab_centroid,medium,Only Eilat/Red Sea was given; used the Eilat marine-lab / north-beach reef area as a conservative proxy.,29.500000,34.916667,town_or_lab_centroid,medium,loc_017
b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,"Moorea, French Polynesia",,,,,French Polynesia,,-17.500000,-149.833333,3,4,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-17.500000,-149.833333,reported_exact,high,loc_018
2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,"Moorea, French Polynesia",,Richard B. Gump South Pacific Research Station,,,French Polynesia,,,,2,3,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,-17.487250,-149.886930,site_facility_centroid,medium,Back-reef study on Moorea proxied to the Richard B. Gump station / Cook's Bay centroid from local Moorea records.,-17.487250,-149.886930,site_facility_centroid,medium,loc_019
348d7203-b68d-472c-89da-e3e6704b2f50,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,"Curacao, Netherlands Antilles",,Curaçao Seaquarium,,,Netherlands Antilles,Caribbean,,,2,4,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.083611,-68.895833,site_facility_centroid,high,Curaçao Seaquarium fringing reef site.,12.083611,-68.895833,site_facility_centroid,high,loc_020
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,"Curacao, Netherlands Antilles",,Carmabi buoy 2,,,Netherlands Antilles,Caribbean,,,4,6,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.126389,-68.976111,site_facility_centroid,high,Carmabi buoy 2 on Curaçao's southwest coast.,12.126389,-68.976111,site_facility_centroid,high,loc_021
ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,"Sdot-Yam, Mediterranean coast of Israel",,Sdot-Yam,,,Israel,Mediterranean Sea,,,3,6,unknown,not_yet_resolved,low,NotebookLM covariate merge Notebook covariate final merge,32.496167,34.887167,site_facility_centroid,high,Sdot-Yam locality; retained the site point already associated with the study locality as the approximate coordinate.,32.496167,34.887167,site_facility_centroid,high,loc_022
