genus_raw,genus,worms_aphia_id,worms_status,worms_valid_name,worms_valid_aphia_id,family,order,class,phylum,taxonomy_source,taxonomy_lookup_status,skeletal_porosity,skeletal_porosity_source,skeletal_porosity_status,notes
Acropora,Acropora,205469,accepted,Acropora,205469,Acroporidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Acropora?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Agaricia,Agaricia,204464,accepted,Agaricia,204464,Agariciidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Agaricia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Astrangia,Astrangia,135126,accepted,Astrangia,135126,Astrangiidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Astrangia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Astroides,Astroides,135107,accepted,Astroides,135107,Dendrophylliidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Astroides?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Balanophyllia,Balanophyllia,135108,accepted,Balanophyllia,135108,Dendrophylliidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Balanophyllia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Colpophyllia,Colpophyllia,267334,accepted,Colpophyllia,267334,Faviidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Colpophyllia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Diploria,Diploria,267392,accepted,Diploria,267392,Faviidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Diploria?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Echinopora,Echinopora,205519,accepted,Echinopora,205519,Merulinidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Echinopora?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Favia,Favia,718691,accepted,Favia,718691,Faviidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Favia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Fungia,Fungia,206375,accepted,Fungia,206375,Fungiidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Fungia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Galaxea,Galaxea,205332,accepted,Galaxea,205332,Euphylliidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Galaxea?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Goniastrea,Goniastrea,205082,accepted,Goniastrea,205082,Merulinidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Goniastrea?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Leptopsammia,Leptopsammia,135113,accepted,Leptopsammia,135113,Dendrophylliidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Leptopsammia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Madracis,Madracis,135125,accepted,Madracis,135125,Pocilloporidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Madracis?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Meandrina,Meandrina,206740,accepted,Meandrina,206740,Meandrinidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Meandrina?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Montastraea,Montastraea,204717,accepted,Montastraea,204717,Montastraeidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Montastraea?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Montastrea,Montastraea,248068,misspelling - incorrect subsequent spelling,Montastraea,204717,Montastraeidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Montastrea?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Montipora,Montipora,203834,accepted,Montipora,203834,Acroporidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Montipora?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Oculina,Oculina,135124,accepted,Oculina,135124,Oculinidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Oculina?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Orbicella,Orbicella,758259,accepted,Orbicella,758259,Merulinidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Orbicella?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Pocillopora,Pocillopora,206938,accepted,Pocillopora,206938,Pocilloporidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Pocillopora?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Porites,Porites,206485,accepted,Porites,206485,Poritidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Porites?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Psammocora,Psammocora,204148,accepted,Psammocora,204148,Psammocoridae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Psammocora?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Siderastrea,Siderastrea,204291,accepted,Siderastrea,204291,Rhizangiidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Siderastrea?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Stephanocoenia,Stephanocoenia,267860,accepted,Stephanocoenia,267860,Astrocoeniidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Stephanocoenia?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
Stylophora,Stylophora,204068,accepted,Stylophora,204068,Pocilloporidae,Scleractinia,Hexacorallia,Cnidaria,https://www.marinespecies.org/rest/AphiaRecordsByName/Stylophora?like=false&marine_only=true,worms_scleractinia_match,,,not_in_taxon_lookup,
