queue_id,digitization_status,source_id,paper_title,response_type,source_file_status,local_relpath,figure_or_table_label,page,panel_label,expected_metric,x_axis,y_axis,units,variance_type,sample_size_source,clip_path,digitized_data_path,digitizer,qa_reviewer,qa_status,notes
DIG-0001,blocked_missing_local_pdf,d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,growth,missing_local_pdf,,,,,growth,,,,,,,,,,blocked,Retrieve the local PDF before figure/table identification and clipping.
DIG-0002,blocked_missing_local_pdf,d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,rate,missing_local_pdf,,,,,rate,,,,,,,,,,blocked,Retrieve the local PDF before figure/table identification and clipping.
DIG-0003,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0004,needs_figure_id,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0005,needs_figure_id,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0006,needs_figure_id,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,,,,survival,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0007,needs_figure_id,daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0008,needs_figure_id,daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0009,needs_figure_id,9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0010,needs_figure_id,9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,,,,survival,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0011,needs_figure_id,ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0012,needs_figure_id,ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,,,,survival,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0013,needs_figure_id,034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0014,needs_figure_id,28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0015,needs_figure_id,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0016,needs_figure_id,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0017,needs_figure_id,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",survival,local_pdf_available,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",,,,survival,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0018,needs_figure_id,c849a042-644e-4b4f-a530-33cfb800d9a9,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0019,needs_figure_id,c849a042-644e-4b4f-a530-33cfb800d9a9,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0020,needs_figure_id,ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0021,needs_figure_id,ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,,,,survival,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0022,needs_figure_id,e2191f69-a271-4c74-be4c-ebe977248362,Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0023,needs_figure_id,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0024,needs_figure_id,33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0025,needs_figure_id,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0026,needs_figure_id,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0027,needs_figure_id,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,reproduction,local_pdf_available,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,,,,reproduction,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0028,needs_figure_id,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0029,needs_figure_id,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0030,needs_figure_id,5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0031,needs_figure_id,4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0032,needs_figure_id,4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0033,needs_figure_id,45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0034,needs_figure_id,45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,,,,survival,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0035,needs_figure_id,acf00158-0890-4388-9a0e-da9194664ef6,Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0036,needs_figure_id,04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0037,needs_figure_id,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0038,needs_figure_id,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,,,,rate,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0039,needs_figure_id,a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0040,needs_figure_id,a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,,,,survival,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
DIG-0041,needs_figure_id,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,,,,growth,,,,,,,,,,not_started,"Identify the exact figure/table label, page, panel, axes, units, variance, and sample-size source before clipping."
