priority_rank,recommended_action,extraction_status,requires_digitization,source_id,paper_title,local_relpath,source_file_status,current_folder,final_status,extraction_readiness,response_type,covariate_missing_count,covariate_missing_fields,notebook_present,local_present,existing_extraction_match,figure_queue_needed,final_rationale
1,extract_from_tables_or_text,not_started,0,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,growth,1,depth,1,1,no_author_year_match,0,"[Include in Bins 1, 2] A robust primary data source providing extractable quantitative outcomes and variance for both growth costs and tissue regeneration probabilities under thermal stress."
1,extract_from_tables_or_text,not_started,0,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,rate,1,depth,1,1,no_author_year_match,0,"[Include in Bins 1, 2] A robust primary data source providing extractable quantitative outcomes and variance for both growth costs and tissue regeneration probabilities under thermal stress."
1,extract_from_tables_or_text,not_started,0,12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,rate,1,area_mm2,1,1,no_author_year_match,0,"[Include in Bin 1] The paper provides excellent primary temporal data for skeletal regeneration and tissue repair during heat stress, with cleanly reported SE and sample sizes."
1,extract_from_tables_or_text,not_started,0,12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,survival,1,area_mm2,1,1,no_author_year_match,0,"[Include in Bin 1] The paper provides excellent primary temporal data for skeletal regeneration and tissue repair during heat stress, with cleanly reported SE and sample sizes."
1,extract_from_tables_or_text,not_started,0,9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,growth,1,growth_form,1,1,no_author_year_match,0,"[Include in Bins 1, 2] This study successfully isolates the impacts of temperature and symbioses on wound closure and organismal mass, providing clearly reported initial wound sizes, SE, and sample sizes."
1,extract_from_tables_or_text,not_started,0,9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,rate,1,growth_form,1,1,no_author_year_match,0,"[Include in Bins 1, 2] This study successfully isolates the impacts of temperature and symbioses on wound closure and organismal mass, providing clearly reported initial wound sizes, SE, and sample sizes."
1,extract_from_tables_or_text,started,0,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,growth,0,,1,1,source_id_match,0,"[Include in Bins 1, 2] Exceptional primary data source that provides raw, extractable quantitative means, SE, and sample sizes for both wound healing trajectories and whole-colony calcification tradeoffs."
1,extract_from_tables_or_text,not_started,0,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,rate,0,,1,1,no_author_year_match,0,"[Include in Bins 1, 2] Exceptional primary data source that provides raw, extractable quantitative means, SE, and sample sizes for both wound healing trajectories and whole-colony calcification tradeoffs."
1,extract_from_tables_or_text,started,0,09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,rate,0,,1,1,source_id_match,0,"[Include in Bin 1] Provides highly standardized, extractable quantitative data on continuous tissue regeneration rates. || [Include in Bin 1] Highly precise primary data source modeling continuous tissue regeneration dynamics under seasonal variations, but effect sizes will need to be digitized from the figures."
1,extract_from_tables_or_text,not_started,0,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,local_pdf_available,META_ANALYSIS_POOL,include_primary,ready_extract,growth,1,temperature_c,1,1,no_author_year_match,0,Primary Porites lutea study directly linking growth to regeneration capacity.
