source_id,paper_title,final_status,extraction_readiness,local_relpath,current_folder,notebook_present,local_present,local_file_exists,expected_folder_group,folder_status,local_presence_status
5e605749-8df3-44d9-8113-3b61c21f4386,Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",include_primary,needs_digitization,"literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
,Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
e5029ad6-d2ad-4e7a-86eb-d54975b0d760,Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,exclude_review,not_for_extraction,literature/EXCLUDED_FINAL/Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
,Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,include_primary,ready_extract,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
7b6c3c16-42d6-411f-8069-1ae430f0761d,Brown et al. - 2021 - Extended phenotypes on coral reefs cryptic phenotypes modulate coral-vermetid interactions.pdf,exclude_scope,not_for_extraction,,,1,0,0,EXCLUDED_FINAL,ok,ok
c50bc867-17ea-4393-80b1-b34f18d5fde2,Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
,Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
,Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
,Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",include_primary,ready_extract,"literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,include_primary,ready_extract,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
4e3fb9f0-e78a-40f5-abc2-01412b9ab7fb,Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
d86a557e-5735-4326-9f08-979e13c7ee6d,Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Coral-Damsel-Wounding-Manuscript.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
deff576c-ed14-48e7-884a-51d6447654a4,Coral_Regeneration_Review_Annual_Review_Marine_Science_10_31_2025.pdf,exclude_review,not_for_extraction,,,1,0,0,EXCLUDED_FINAL,ok,ok
,Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
