deleted_flat_relpath,organized_relpath,filename_match_count,tracked_blob_sha,organized_blob_sha,hash_status
literature/Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,literature/EXCLUDED_FINAL/Ayling - 1983 - GROWTH AND REGENERATION RATES IN THINLY ENCRUSTING DEMOSPONGIAE FROM TEMPERATE WATERS.pdf,1,e241c3eed6115d4abde433e350ef42ad6f766d8c,e241c3eed6115d4abde433e350ef42ad6f766d8c,hash_match
"literature/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",1,b2e63f72898705002ac8d2add86e9c2d02d5ae11,b2e63f72898705002ac8d2add86e9c2d02d5ae11,hash_match
literature/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,1,22b5be10deb714ce9b19466ef0da4678efc35274,22b5be10deb714ce9b19466ef0da4678efc35274,hash_match
literature/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,1,825546934021db291e8ac73a032925e62c8b231c,825546934021db291e8ac73a032925e62c8b231c,hash_match
literature/Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,literature/EXCLUDED_FINAL/Barrientos-Lujan et al. - 2019 - Ecological and functional diversity of gastropods .pdf,1,35175c863731fd5fe370fa6fccaf0f0d415b92f4,35175c863731fd5fe370fa6fccaf0f0d415b92f4,hash_match
literature/Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,literature/EXCLUDED_FINAL/Barton et al. - 2017 - Coral propagation a review of techniques for ornamental trade and reef restoration.pdf,1,6dfa8f448978ab26a22674c15ef35e7e4388a50f,6dfa8f448978ab26a22674c15ef35e7e4388a50f,hash_match
literature/Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,literature/EXCLUDED_FINAL/Biscéré et al. - 2018 - Enhancement of coral calcification via the interpl.pdf,1,35b298a59c162a7ecd75652dfee0b1d7b5d629db,35b298a59c162a7ecd75652dfee0b1d7b5d629db,hash_match
literature/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,1,5978f607fb7e1f63d80c6b927f009e8c96fedac0,5978f607fb7e1f63d80c6b927f009e8c96fedac0,hash_match
literature/Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,literature/EXCLUDED_FINAL/Bruckner et al. - 2000 - Parrotfish predation on live coral “spot biting” and “focused biting”.pdf,1,8bdcc223da8eacf994227ac303b5062c0b01748a,8bdcc223da8eacf994227ac303b5062c0b01748a,hash_match
literature/Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,literature/EXCLUDED_FINAL/Brush - 2024 - Ecology of Fishes and Invertebrates Inhabiting the.pdf,1,a8c9e8e704458f30830912494f434c906dcfecf7,a8c9e8e704458f30830912494f434c906dcfecf7,hash_match
