_source_file,source_id,paper_title,local_relpath,response_type,qa_status,figure_or_table_label,page,panel_label,Author,Year,Species,Wound_Area_mm2,Rate_Value,Rate_Unit,Variance_Type,Variance_Value,Sample_Size,Location,Stressor,Notes,Outcome_Type,Control_Mean,Control_Var,Wounded_Mean,Wounded_Var,Var_Type,Control_Total,Control_Dead,Wounded_Total,Wounded_Dead,Duration_Days
EXTRACTION_RATES.csv,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,needs_source_provenance_review,,,,Bak,1983,Acropora palmata,100,-0.048,Exponential Slope (k),None,0,32,Curacao,None,Standard 1cm2 lesion,,,,,,,,,,,
EXTRACTION_RATES.csv,09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,rate,needs_source_provenance_review,,,,Denis,2011,Porites lutea,330,13.0,mm2 d-1,SD,7.0,170,Reunion Island,Seasonal Variation,Initial rate range 6-20,,,,,,,,,,,
EXTRACTION_RATES.csv,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,rate,needs_source_provenance_review,,,,Oren,1997,Favia favus,110,4.7,mm2 d-1,SD,3.1,46,"Eilat, Red Sea",Lesion Shape,Range 1.6 - 7.8,,,,,,,,,,,
EXTRACTION_RATES.csv,1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,rate,needs_source_provenance_review,,,,Meesters,1997,Montastraea annularis,83,-0.076,Exponential Slope (k),95% CL,0.01,25,Curacao,Lesion Size,Steepest slope in smallest lesions,,,,,,,,,,,
EXTRACTION_RATES.csv,b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,needs_source_provenance_review,,,,Titlyanov,2005,Porites lutea,0,0.11,mm d-1,SD,0.05,5,"Okinawa, Japan",Light Intensity,Tissue spreading rate,,,,,,,,,,,
EXTRACTION_RATES.csv,65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,rate,needs_source_provenance_review,,,,Horricks,2019,Montastraea cavernosa,159,2.8,mm2 d-1,SE,0.002,30,Grenada,None,Modeled closure rate,,,,,,,,,,,
EXTRACTION_RATES.csv,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,needs_source_provenance_review,,,,Hall,2001,Acropora hyacinthus,330,3.1,% d-1,SE,0.13,60,Lizard Island,Injury Type,Scraping healed fastest,,,,,,,,,,,
EXTRACTION_FITNESS.csv,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,needs_source_provenance_review,,,,Hall,1998,Acropora hyacinthus,,,,,,57,,Experimental Wounding,Sampled near vs away from injury,Egg Number/Polyp,6.2,0.08,5.1,0.07,SE,,,,,
EXTRACTION_FITNESS.csv,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,reproduction,needs_source_provenance_review,,,,Hall,1998,Acropora gemmifera,,,,,,57,,Experimental Wounding,Sampled near vs away from injury,Egg Number/Polyp,6.0,0.08,5.0,0.06,SE,,,,,
EXTRACTION_FITNESS.csv,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,reproduction,needs_source_provenance_review,,,,Oren,2001,Favia favus,,,,,,18,,Monthly Repeated Lesion,Large E-10 lesions at 1cm distance,Oocytes/Septum,14.5,2.5,0.9,1.1,SD,,,,,
