queue_id,queue_audit_status,source_id,paper_title,response_type,source_file_status,local_relpath,candidate_rows_reviewed,verified_candidate_rows,replacement_candidate_rows,rejected_candidate_rows,blocked_rows,recommended_candidate_count,recommended_candidates,recommended_candidate_text,rejected_original_candidates,needs_manual_visual_review,recommended_action
DIG-06ab1757-growth,no_valid_candidate_found,06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,5,0,0,5,0,0,,,figure:Fig. 3:p6|figure:Fig. 2:p4|figure:Fig. 4B:p4|table:Table 1:p4|table:Table 2:p5,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-12e9e864-survival,no_valid_candidate_found,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,5,0,0,5,0,0,,,figure:Fig. I:p4|figure:Figure I:p2|figure:Figure 3:p3|table:Table 1:p3|table:Table I:p3,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-1d237b2c-growth,no_valid_candidate_found,1d237b2c-1d5d-479a-985a-bde3d28a4fce,Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,2,0,0,2,0,0,,,figure:FIG. 1:p4|figure:FIG. 3:p6,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-33d2bc0d-survival,no_valid_candidate_found,33d2bc0d-ec51-4225-a216-bf74b34fa89d,Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p3|figure:Fig. 2:p5|figure:Fig. 3:p5|figure:Fig. 4:p6|table:Table 2:p7,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-3f852e08-survival,no_valid_candidate_found,3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p4|figure:Fig. 2:p5|figure:Fig. 3:p6|figure:Fig. 3b:p7|figure:Fig. 4:p7,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-45fcfd8e-growth,no_valid_candidate_found,45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p2|figure:Fig. 2:p3|figure:Fig. 3:p5|table:Table 1:p5|table:Table 2:p5,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-a67392b0-survival,no_valid_candidate_found,a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,4,0,0,4,0,0,,,figure:FIG. 1:p3|figure:FIG. 2:p5|figure:FIG. 3:p6|figure:FIG. 5:p7,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-ad751939-survival,no_valid_candidate_found,ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p2|table:Table 1:p4|table:Table 2:p4|figure:Fig. 2C:p5|table:Table 1:p5,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-d17e3c0b-rate,no_valid_candidate_found,d17e3c0b-32a1-4c10-94fa-7558d22f726e,Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,2,0,0,2,0,0,,,table:Table 2:p4|table:Table 1:p3,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-ec19aed9-survival,no_valid_candidate_found,ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p4|table:Table 1:p4|table:Table 1:p4|figure:Fig. 2:p5|figure:Fig. 3:p6,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
