source_id,paper_title,local_relpath,species,growth_form,tissue_type,colony_size_cm,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,"Agaricia agaricites f. purpurea, Porites astreoides","massive, encrusting, plating",living surfaces,150-1350,experimental,method: Bak et al. 1977,"tissue, tissue and skeleton","100, 500",,,,147,horizontal plane
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",Acropora palmata,branched,branch,,experimental,compressed air; scraping protruding skeletal elements,"tissue, tissue and skeleton",100,,,,32,upper side of the branch at a distance of 4 to 9 cm from the tip
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,Acropora aspera,branching,apical tips,20,experimental,removal of apical tips (~3 cm of the apical region),tissue and skeleton,,50% of colony branches,,30,,apical region
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",Astrangia poculata,,single polyp,,experimental,"single polyp removed using a scalpel, cleared of tissue using a Waterpik, surrounding skeleton filed to a uniform basal skeletal height",tissue and skeleton,38.4,,,,1,centrally located in the colony
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,Astrangia poculata,solitary,single polyp and coenenchyme,,experimental,"single polyp and surrounding connective tissue removed using a scalpel, wound site cleaned via Waterpik",tissue,34.28,,,,1,center of the colony
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,"Porites spp., Pocillopora meandrina","massive, branching","perforate, imperforate","<5 (Porites), <7 (Pocillopora)",experimental,pressurized seawater from a 60 ml syringe; snub-nose pliers to abrade,"tissue, tissue and skeleton","35, 105, 108",,,1-5,1,top of each coral
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,Fungia granulosa,solitary,,3-9,experimental,broken into fragments with the aid of a hammer and chisel,fragmentation,,10-90%,,,,"radially along the septa, or perpendicular to the septal edges"
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,literature/META_ANALYSIS_POOL/Coral-Damsel-Wounding-Manuscript.pdf,Pocillopora spp.,branching,surface tissue,>20,experimental,airbrush fitted with a circular stencil to remove surface tissue,tissue,"148, 382",,,,1,upper surface of fragments
ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Pocillopora meandrina,branching,branch,13.7-44.3,experimental,breaking branches using bone cutters,tissue and skeleton,,,,,108,branch
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,Montastraea annularis,massive,imperforate,30-60 cm2 area,experimental,scratching the coral surface with a hard-nylon brush; jetting out the tissue from the polyps using a syringe,"tissue, tissue and skeleton",,,,,32,top and bottom of the colonies
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf","literature/META_ANALYSIS_POOL/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",Astrangia poculata,,visible polyp and coenenchyme tissue,8.48-11.78 cm2 live surface area,experimental,"removed visible polyp and coenenchyme tissue with a Waterpik, eroded raised corallite structure relatively flat with a diamond coated file",tissue and skeleton,,"25%, 50%, and 75% of total colony live surface area",,,1 or 2,"1, 2, or 3 quadrants of the coral surface"
09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,Porites lutea,massive,perforate,68,experimental,grinding stone (Dremel) powered by a pneumatic drill,tissue and skeleton,330,,,3,,top of the colonies
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,Acropora muricata,branching,branch,,experimental,grinding stone,tissue and skeleton,104,,,3,1,mid-height on the side of each branch
