source_id,paper_title,local_relpath,species,growth_form,tissue_type,colony_size_cm,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,"Porites porites, Porites astreoides",branching,fragment,"1x1, 5x5",experimental,air brush,tissue,"10, 250",10% of surface area,,,1,
2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,"Acropora robusta, Acropora hyacinthus, Acropora palifera, Pocillopora damicornis, Porites mayeri, Porites lichen, Goniastrea retiformis, Acropora cytherea, Porites australiensis, Acropora millepora, Acropora gemmifera, Montipora tuberculosa","arborescent, tabular, submassive, bushy, massive, digitate, corymbose, foliaceous","perforate, imperforate",18-68,natural and experimental,"compressed air from an air gun, hammer and chisel","tissue loss, scraping (tissue and skeleton), branch removal","330, 400","8%, 16%, 25%",,1-2,"1, 2, 3","center and edge of colony, base and tips of branches"
58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf","literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",Porites spp.,massive,perforate,5-7,experimental,Waterpik and 1 cm diameter circular stencil,tissue,78.5,,,,2,tops of the corals
65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,Montastraea cavernosa,massive/submassive,polyp core samples,,experimental,diamond coring drill bit attached to a pneumatic drill,tissue and skeleton,"158.7, 159.8",,,3,"1, 4",tops of targeted colonies
5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,literature/META_ANALYSIS_POOL/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,"Porites sp., Favia favus, Acropora eurystoma, Stylophora pistillata","massive, branching",colony and fragment,"58.2 cm2 (colonies), 65.1 cm2 (fragments)",experimental,regulator air-pick,tissue,"314, 350",5-6%,,,1,"top of the colony, base of the branch"
45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,"Pocillopora meandrina, Porites compressa, Porites lobata","branching, massive",nubbins (branches),"1-2, 4-5",natural,fish bites by Arothron meleagris and Cantherhines dumerilii,tissue and skeleton,90,,,,up to 4 bites per tile,"tips of colony branches/fingers, across colony surface"
4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,Porites compressa,finger-like,nubbin,"1, 2, 4",experimental,7-inch wire cutter,tissue and skeleton,90,,,10,1,tips
acf00158-0890-4388-9a0e-da9194664ef6,Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,literature/META_ANALYSIS_POOL/Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,Acropora cervicornis,branching,fragment,2.66-2.82,experimental,band saw,tissue and skeleton,"32, 35",,,,1,tips
04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,Fungia granulosa,solitary,,"<5, >5",experimental,air pick attached to an underwater regulator,tissue,,"10%, 30%, 50%",,surface tissue,1,midsection of the coral outward
40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,Pocillopora verrucosa,branching,branch,"1.3-4.2 (lab), 3-3.5 (field)","experimental, natural","snub-nose pliers, fish bites",tissue and skeleton,"96, 16-81",,,1-2,"1, 2, 3","haphazard locations, apices of branches"
a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,literature/META_ANALYSIS_POOL/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,Acropora elseyi,branching,nubbin,,natural,fish bites,partial predation,,,,,,
cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,Montastrea annularis,massive,colony,,experimental,method Bak et al. 1977,tissue,80,,,,1,horizontal plane of the colony
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",Acropora palmata,branching,colony and fragment,20-193,natural and experimental,"storms, ship grounding, manual branch removal","fragmentation, branch removal",,,,,1-3,
3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",Acropora palmata,branching,colony and fragment,,"anthropogenic, natural","boat grounding, Tropical Storm Gordon",fragmentation,"0-500, 500-1000, 1000-2000, >2000",,,,,
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,Acropora cervicornis,branching,branch,30-295,experimental,clipped using pliers,fragmentation,,,,,2,branch tips
