source_id,paper_title,local_relpath,species,growth_form,tissue_type,colony_size_cm,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position
a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,Favia favus,massive,colony,6-40,experimental,air-pick jet,tissue,"87, 182, 274, 958",,"35, 59, 83, 282",soft tissue removed with minor damage to underlying skeleton,1,upper surface
d7f996dc-c00b-423c-b424-965cd78f9d1b,Page and Willis - 2008 - Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initia.pdf,literature/META_ANALYSIS_POOL/Page and Willis - 2008 - Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initia.pdf,"Acropora muricata, Pocillopora damicornis, Porites cylindrica",branching,branch,,experimental,airgun attached to a SCUBA tank,tissue,400,,,tissue,1,"mid-branch, basal"
3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,Pocillopora spp.,branching,"colony, nubbin",4,"experimental, natural","pliers, Arothron meleagris fish bites",tissue and skeleton,47,"25%, 50%, 75% of branch tips",,0.1-5 mm,15.2,branch tips
6f750c49-3261-482c-ade2-373835f7cf40,Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,literature/META_ANALYSIS_POOL/Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,Porites panamensis,"columnar, massive",colony,>40 cm2,experimental,hand drill,tissue and skeleton,38.5,,,0.5 cm,1,upper surface
06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,"Porites cylindrica, Porites rus","branching, plating","colony, fragment",4-8,"natural, experimental",Coralliophila violacea snail feeding,tissue,,,,tissue loss over dead skeleton,,"margin of active lesion, healthy tissue"
0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,Pocillopora meandrina,branching,nubbin,,experimental,eight mm snub nose pliers,tissue and skeleton,45.2,,,2 mm,1,branch tip
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Porites spp.,massive,"colony, fragment",>10,experimental,Coralliophila violacea snail feeding,tissue,32.8,,,tissue,1,
33d2bc0d-ec51-4225-a216-bf74b34fa89d,Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,literature/META_ANALYSIS_POOL/Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,"Montastraea faveolata, Montastraea franksi",massive,colony,,natural,parrotfish grazing,tissue,,,,,>=6,
fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,Montastraea annularis,massive,colony,"176 to 9,020 cm2 surface area",natural,parrotfish grazing,tissue and skeleton,,,,skeletal exposure,11 to 135 bites,central locations
6da70b1c-7428-4a76-904c-b69d981f2824,Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,literature/META_ANALYSIS_POOL/Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,Orbicella annularis,boulder,colony,14.5,experimental,chisel,tissue,370,2.9%,72.3,3 mm,1,center of the colony
